Time (s);WE(1).Potential (V);WE(1).Current (A);Corrected time (s);Index;Current range
5.54179798600831;-0.8001708984375;-0.30743408203125;0;1;100 mA
5.55179798598306;-0.8001708984375;-0.227264404296875;0.00999999997475243;2;100 mA
5.56179798595781;-0.79925537109375;-0.1884765625;0.0199999999495049;3;100 mA
5.57179798593256;-0.79925537109375;-0.16448974609375;0.0299999999242573;4;100 mA
5.58179798590731;-0.7989501953125;-0.147796630859375;0.0399999998990097;5;100 mA
5.59179798588207;-0.7989501953125;-0.135284423828125;0.0499999998737621;6;100 mA
5.60179798585682;-0.799560546875;-0.125518798828125;0.0599999998485146;7;100 mA
5.61179798583157;-0.79833984375;-0.117584228515625;0.069999999823267;8;100 mA
5.62179798580632;-0.79864501953125;-0.110992431640625;0.0799999997980194;9;100 mA
5.63179798578108;-0.7989501953125;-0.10540771484375;0.0899999997727718;10;100 mA
5.64179798575583;-0.79925537109375;-0.1005859375;0.0999999997475243;11;100 mA
5.65179798573058;-0.799560546875;-0.096343994140625;0.109999999722277;12;100 mA
5.66179798570533;-0.799560546875;-0.092620849609375;0.119999999697029;13;100 mA
5.67179798568009;-0.799560546875;-0.08929443359375;0.129999999671782;14;100 mA
5.68179798565484;-0.79925537109375;-0.0863037109375;0.139999999646534;15;100 mA
5.69179798562959;-0.79925537109375;-0.083587646484375;0.149999999621286;16;100 mA
5.70179798560434;-0.7989501953125;-0.08111572265625;0.159999999596039;17;100 mA
5.7117979855791;-0.79864501953125;-0.078826904296875;0.169999999570791;18;100 mA
5.72179798555385;-0.79925537109375;-0.076751708984375;0.179999999545544;19;100 mA
5.7317979855286;-0.799560546875;-0.0748291015625;0.189999999520296;20;100 mA
5.74179798550335;-0.7989501953125;-0.073028564453125;0.199999999495049;21;100 mA
5.75179798547811;-0.7989501953125;-0.07135009765625;0.209999999469801;22;100 mA
5.76179798545286;-0.79925537109375;-0.069793701171875;0.219999999444553;23;100 mA
5.77179798542761;-0.7989501953125;-0.068328857421875;0.229999999419306;24;100 mA
5.78179798540236;-0.79925537109375;-0.06695556640625;0.239999999394058;25;100 mA
5.79179798537712;-0.799560546875;-0.065673828125;0.249999999368811;26;100 mA
5.80179798535187;-0.79925537109375;-0.064453125;0.259999999343563;27;100 mA
5.81179798532662;-0.79864501953125;-0.06329345703125;0.269999999318316;28;100 mA
5.82179798530137;-0.79925537109375;-0.06219482421875;0.279999999293068;29;100 mA
5.83179798527613;-0.799560546875;-0.0611572265625;0.28999999926782;30;100 mA
5.84179798525088;-0.799560546875;-0.060150146484375;0.299999999242573;31;100 mA
5.85179798522563;-0.79925537109375;-0.059234619140625;0.309999999217325;32;100 mA
5.86179798520038;-0.7989501953125;-0.05828857421875;0.319999999192078;33;100 mA
5.87179798517514;-0.799560546875;-0.05743408203125;0.32999999916683;34;100 mA
5.88179798514989;-0.79925537109375;-0.056640625;0.339999999141583;35;100 mA
5.89179798512464;-0.79925537109375;-0.05584716796875;0.349999999116335;36;100 mA
5.90179798509939;-0.7989501953125;-0.055084228515625;0.359999999091087;37;100 mA
5.91179798507414;-0.79925537109375;-0.054351806640625;0.36999999906584;38;100 mA
5.9217979850489;-0.79925537109375;-0.05364990234375;0.379999999040592;39;100 mA
5.93179798502365;-0.79864501953125;-0.052978515625;0.389999999015345;40;100 mA
5.9417979849984;-0.79925537109375;-0.05230712890625;0.399999998990097;41;100 mA
5.95179798497315;-0.79925537109375;-0.051727294921875;0.40999999896485;42;100 mA
5.96179798494791;-0.79925537109375;-0.051116943359375;0.419999998939602;43;100 mA
5.97179798492266;-0.79925537109375;-0.050537109375;0.429999998914354;44;100 mA
5.98179798489741;-0.7989501953125;-0.049957275390625;0.439999998889107;45;100 mA
5.99179798487216;-0.79925537109375;-0.049395751953125;0.449999998863859;46;100 mA
6.00179798484692;-0.79925537109375;-0.0488800048828125;0.459999998838612;47;100 mA
6.01179798482167;-0.7989501953125;-0.048358154296875;0.469999998813364;48;100 mA
6.02179798479642;-0.7989501953125;-0.047869873046875;0.479999998788116;49;100 mA
6.03179798477117;-0.7989501953125;-0.0473968505859375;0.489999998762869;50;100 mA
6.04179798474593;-0.79925537109375;-0.0469268798828125;0.499999998737621;51;100 mA
6.05179798472068;-0.7989501953125;-0.0464874267578125;0.509999998712374;52;100 mA
6.06179798469543;-0.7989501953125;-0.0460418701171875;0.519999998687126;53;100 mA
6.07179798467018;-0.79925537109375;-0.0456146240234375;0.529999998661879;54;100 mA
6.08179798464494;-0.79925537109375;-0.0452056884765625;0.539999998636631;55;100 mA
6.09179798461969;-0.79925537109375;-0.0447967529296875;0.549999998611383;56;100 mA
6.10179798459444;-0.7989501953125;-0.0444122314453125;0.559999998586136;57;100 mA
6.11179798456919;-0.799560546875;-0.0440185546875;0.569999998560888;58;100 mA
6.12179798454395;-0.79925537109375;-0.043646240234375;0.579999998535641;59;100 mA
6.1317979845187;-0.79925537109375;-0.0432891845703125;0.589999998510393;60;100 mA
6.14179798449345;-0.79925537109375;-0.0429229736328125;0.599999998485146;61;100 mA
6.1517979844682;-0.799560546875;-0.04259033203125;0.609999998459898;62;100 mA
6.16179798444296;-0.7989501953125;-0.042242431640625;0.61999999843465;63;100 mA
6.17179798441771;-0.799560546875;-0.0419219970703125;0.629999998409403;64;100 mA
6.18179798439246;-0.799560546875;-0.0415985107421875;0.639999998384155;65;100 mA
6.19179798436721;-0.79925537109375;-0.0412841796875;0.649999998358908;66;100 mA
6.20179798434197;-0.79864501953125;-0.040985107421875;0.65999999833366;67;100 mA
6.21179798431672;-0.79925537109375;-0.040673828125;0.669999998308413;68;100 mA
6.22179798429147;-0.79925537109375;-0.04039306640625;0.679999998283165;69;100 mA
6.23179798426622;-0.7989501953125;-0.040093994140625;0.689999998257917;70;100 mA
6.24179798424097;-0.79925537109375;-0.0398101806640625;0.69999999823267;71;100 mA
6.25179798421573;-0.799560546875;-0.039544677734375;0.709999998207422;72;100 mA
