Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range
1;1;6.08630298463356;0.00298156738281249;0.000292968749999997;1 A
1;2;6.09850298460276;0.00545349121093749;0.0003662109375;1 A
1;3;6.11070298457196;0.00794372558593751;0.00042724609375;1 A
1;4;6.12290298454116;0.0103668212890625;0.000479125976562494;1 A
1;5;6.13510298451035;0.012823486328125;0.000500488281250003;1 A
1;6;6.14730298447955;0.0152801513671875;0.0005340576171875;1 A
1;7;6.15950298444875;0.01776123046875;0.000567626953124997;1 A
1;8;6.17170298441795;0.020196533203125;0.000598144531249997;1 A
1;9;6.18390298438715;0.0226776123046875;0.000607299804687503;1 A
1;10;6.19610298435634;0.0251220703125;0.000628662109374997;1 A
1;11;6.20830298432554;0.0275787353515625;0.000653076171875003;1 A
1;12;6.22050298429474;0.030047607421875;0.000665283203125006;1 A
1;13;6.23270298426394;0.032513427734375;0.000680541992187506;1 A
1;14;6.24490298423314;0.034979248046875;0.000701904296875;1 A
1;15;6.25710298420233;0.037420654296875;0.000711059570312506;1 A
1;16;6.26930298417153;0.0398895263671875;0.0007171630859375;1 A
1;17;6.28150298414073;0.042303466796875;0.000732421875;1 A
1;18;6.29370298410993;0.0448028564453125;0.000753784179687494;1 A
1;19;6.30590298407913;0.04725341796875;0.000765991210937497;1 A
1;20;6.31810298404832;0.0497222900390625;0.000762939453125;1 A
1;21;6.33030298401752;0.0521240234375;0.000772094726562506;1 A
1;22;6.34250298398672;0.054534912109375;0.000799560546874994;1 A
1;23;6.35470298395592;0.0570068359375;0.000805664062500003;1 A
1;24;6.36690298392512;0.059478759765625;0.000811767578124997;1 A
1;25;6.37910298389431;0.06195068359375;0.000820922851562503;1 A
1;26;6.39130298386351;0.064453125;0.000836181640625003;1 A
1;27;6.40350298383271;0.066864013671875;0.000836181640625003;1 A
1;28;6.41570298380191;0.069366455078125;0.000857543945312497;1 A
1;29;6.42790298377111;0.071807861328125;0.0008697509765625;1 A
1;30;6.4401029837403;0.07427978515625;0.000875854492187494;1 A
1;31;6.4523029837095;0.076751708984375;0.0008697509765625;1 A
1;32;6.4645029836787;0.0792236328125;0.000881958007812503;1 A
1;33;6.4767029836479;0.0816650390625;0.0009002685546875;1 A
1;34;6.48890298361709;0.084075927734375;0.000909423828125006;1 A
1;35;6.50110298358629;0.086578369140625;0.00091552734375;1 A
1;36;6.51330298355549;0.089019775390625;0.000924682617187506;1 A
1;37;6.52550298352469;0.09149169921875;0.0009307861328125;1 A
1;38;6.53770298349389;0.093994140625;0.000939941406250006;1 A
1;39;6.54990298346308;0.096435546875;0.000955200195312506;1 A
1;40;6.56210298343228;0.098846435546875;0.000967407226562494;1 A
1;41;6.57430298340148;0.101318359375;0.000979614257812497;1 A
1;42;6.58650298337068;0.103851318359375;0.000982666015624994;1 A
1;43;6.59870298333988;0.10626220703125;0.000988769531250003;1 A
1;44;6.61090298330907;0.108734130859375;0.0010101318359375;1 A
1;45;6.62310298327827;0.111114501953125;0.001025390625;1 A
