Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range
1;1;5.94929698497947;0.00301208496093749;0.000195312500000003;1 A
1;2;5.96149698494867;0.00546874999999999;0.0002593994140625;1 A
1;3;5.97369698491786;0.007916259765625;0.000292968749999997;1 A
1;4;5.98589698488706;0.0103790283203125;0.000323486328124997;1 A
1;5;5.99809698485626;0.01280517578125;0.0003509521484375;1 A
1;6;6.01029698482546;0.0153045654296875;0.000375366210937506;1 A
1;7;6.02249698479466;0.0177459716796875;0.000405883789062506;1 A
1;8;6.03469698476385;0.02020263671875;0.000424194335937503;1 A
1;9;6.04689698473305;0.022662353515625;0.000445556640624997;1 A
1;10;6.05909698470225;0.0251190185546875;0.000469970703125003;1 A
1;11;6.07129698467145;0.027593994140625;0.000482177734375006;1 A
1;12;6.08349698464065;0.0300445556640625;0.000497436523437506;1 A
1;13;6.09569698460984;0.0324951171875;0.000518798828125;1 A
1;14;6.10789698457904;0.0349517822265625;0.000524902343749994;1 A
1;15;6.12009698454824;0.03743896484375;0.000527954101562506;1 A
1;16;6.13229698451744;0.0398956298828125;0.000546264648437503;1 A
1;17;6.14449698448664;0.04234619140625;0.0005645751953125;1 A
1;18;6.15669698445583;0.04478759765625;0.000576782226562503;1 A
1;19;6.16889698442503;0.047247314453125;0.000582885742187497;1 A
1;20;6.18109698439423;0.04970703125;0.000588989257812506;1 A
1;21;6.19329698436343;0.052093505859375;0.000598144531249997;1 A
1;22;6.20549698433263;0.05462646484375;0.000607299804687503;1 A
1;23;6.21769698430182;0.057098388671875;0.000616455078124994;1 A
1;24;6.22989698427102;0.0595703125;0.000634765625000006;1 A
1;25;6.24209698424022;0.061981201171875;0.000646972656249994;1 A
1;26;6.25429698420942;0.06439208984375;0.000653076171875003;1 A
1;27;6.26649698417862;0.066864013671875;0.000665283203125006;1 A
1;28;6.27869698414781;0.069366455078125;0.000677490234374994;1 A
1;29;6.29089698411701;0.07177734375;0.000680541992187506;1 A
1;30;6.30309698408621;0.074310302734375;0.000689697265624997;1 A
1;31;6.31529698405541;0.07672119140625;0.000701904296875;1 A
1;32;6.32749698402461;0.079193115234375;0.000714111328125003;1 A
1;33;6.3396969839938;0.0816650390625;0.000723266601562494;1 A
1;34;6.351896983963;0.08404541015625;0.000729370117187503;1 A
1;35;6.3640969839322;0.086578369140625;0.000738525390624994;1 A
1;36;6.3762969839014;0.08905029296875;0.000750732421874997;1 A
1;37;6.3884969838706;0.09149169921875;0.000759887695312503;1 A
1;38;6.40069698383979;0.093963623046875;0.000769042968749994;1 A
1;39;6.41289698380899;0.09637451171875;0.000781249999999997;1 A
1;40;6.42509698377819;0.098846435546875;0.000790405273437503;1 A
1;41;6.43729698374739;0.101287841796875;0.000790405273437503;1 A
1;42;6.44949698371659;0.103790283203125;0.000799560546874994;1 A
1;43;6.46169698368578;0.106170654296875;0.000814819335937494;1 A
1;44;6.47389698365498;0.1087646484375;0.000820922851562503;1 A
1;45;6.48609698362418;0.111114501953125;0.000823974609375;1 A
1;46;6.49829698359338;0.113555908203125;0.0008392333984375;1 A
1;47;6.51049698356258;0.11602783203125;0.0008544921875;1 A
1;48;6.52269698353177;0.1185302734375;0.000860595703124994;1 A
1;49;6.53489698350097;0.120941162109375;0.000878906250000006;1 A
1;50;6.54709698347017;0.123443603515625;0.000885009765625;1 A
1;51;6.55929698343937;0.125823974609375;0.000891113281249994;1 A
1;52;6.57149698340857;0.12835693359375;0.0009002685546875;1 A
1;53;6.58369698337776;0.130828857421875;0.000912475585937503;1 A
1;54;6.59589698334696;0.133270263671875;0.000924682617187506;1 A
1;55;6.60809698331616;0.135711669921875;0.000933837890624997;1 A
1;56;6.62029698328536;0.138214111328125;0.000939941406250006;1 A
1;57;6.63249698325455;0.140625;0.000946044921875;1 A
1;58;6.64469698322375;0.143157958984375;0.000967407226562494;1 A
1;59;6.65689698319295;0.14556884765625;0.000973510742187503;1 A
1;60;6.66909698316215;0.148040771484375;0.000985717773437506;1 A
1;61;6.68129698313135;0.150543212890625;0.0009918212890625;1 A
1;62;6.69349698310054;0.15301513671875;0.001007080078125;1 A
1;63;6.70569698306974;0.15545654296875;0.0010101318359375;1 A
