Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
141.058679643861;-0.43310546875;0;1;-0.249420166015625;1 A;
141.059979643858;-0.493072509765625;0.00129999999671782;2;-0.24951171875;1 A;
141.061279643855;-0.529144287109375;0.00259999999343563;3;-0.249725341796875;1 A;
141.062579643851;-0.553924560546875;0.00389999999015345;4;-0.249664306640625;1 A;
141.063879643848;-0.5728759765625;0.00519999998687126;5;-0.249725341796875;1 A;
141.065179643845;-0.587799072265625;0.00649999998358908;6;-0.249755859375;1 A;
141.066479643841;-0.601165771484375;0.00779999998030689;7;-0.249725341796875;1 A;
141.067779643838;-0.613067626953125;0.00909999997702471;8;-0.249755859375;1 A;
141.069079643835;-0.62347412109375;0.0103999999737425;9;-0.249786376953125;1 A;
141.070379643832;-0.632568359375;0.0116999999704603;10;-0.24981689453125;1 A;
141.071679643828;-0.641082763671875;0.0129999999671782;11;-0.249755859375;1 A;
141.072979643825;-0.649627685546875;0.014299999963896;12;-0.249755859375;1 A;
141.074279643822;-0.6583251953125;0.0155999999606138;13;-0.249755859375;1 A;
141.075579643818;-0.66693115234375;0.0168999999573316;14;-0.249786376953125;1 A;
141.076879643815;-0.675537109375;0.0181999999540494;15;-0.249786376953125;1 A;
141.078179643812;-0.683990478515625;0.0194999999507672;16;-0.249755859375;1 A;
141.079479643809;-0.69244384765625;0.020799999947485;17;-0.249725341796875;1 A;
141.080779643805;-0.70074462890625;0.0220999999442029;18;-0.249786376953125;1 A;
141.082079643802;-0.708770751953125;0.0233999999409207;19;-0.249786376953125;1 A;
141.083379643799;-0.71661376953125;0.0246999999376385;20;-0.24969482421875;1 A;
141.084679643795;-0.72412109375;0.0259999999343563;21;-0.24981689453125;1 A;
141.085979643792;-0.73114013671875;0.0272999999310741;22;-0.249786376953125;1 A;
141.087279643789;-0.73773193359375;0.0285999999277919;23;-0.249786376953125;1 A;
141.088579643786;-0.743865966796875;0.0298999999245098;24;-0.249786376953125;1 A;
141.089879643782;-0.749481201171875;0.0311999999212276;25;-0.249755859375;1 A;
141.091179643779;-0.75439453125;0.0324999999179454;26;-0.249786376953125;1 A;
141.092479643776;-0.7586669921875;0.0337999999146632;27;-0.249786376953125;1 A;
141.093779643772;-0.76263427734375;0.035099999911381;28;-0.2498779296875;1 A;
141.095079643769;-0.76568603515625;0.0363999999080988;29;-0.249847412109375;1 A;
141.096379643766;-0.7672119140625;0.0376999999048167;30;-0.2498779296875;1 A;
141.097679643763;-0.7672119140625;0.0389999999015345;31;-0.249847412109375;1 A;
141.098979643759;-0.76629638671875;0.0402999998982523;32;-0.2498779296875;1 A;
141.100279643756;-0.76446533203125;0.0415999998949701;33;-0.2498779296875;1 A;
141.101579643753;-0.7635498046875;0.0428999998916879;34;-0.2498779296875;1 A;
141.102879643749;-0.76324462890625;0.0441999998884057;35;-0.249847412109375;1 A;
141.104179643746;-0.762939453125;0.0454999998851235;36;-0.249847412109375;1 A;
141.105479643743;-0.7623291015625;0.0467999998818414;37;-0.249908447265625;1 A;
141.10677964374;-0.76171875;0.0480999998785592;38;-0.2498779296875;1 A;
141.108079643736;-0.76171875;0.049399999875277;39;-0.249847412109375;1 A;
141.109379643733;-0.76141357421875;0.0506999998719948;40;-0.24981689453125;1 A;
141.11067964373;-0.76141357421875;0.0519999998687126;41;-0.2498779296875;1 A;
141.111979643726;-0.7611083984375;0.0532999998654304;42;-0.2498779296875;1 A;
141.113279643723;-0.7611083984375;0.0545999998621483;43;-0.24981689453125;1 A;
141.11457964372;-0.7611083984375;0.0558999998588661;44;-0.249847412109375;1 A;
