Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range;Overload
1;1;6.3882579838712;0.002911376953125;0.002581787109375;1 A;
1;2;6.39638798385067;0.00536499023437501;0.0033905029296875;1 A;
1;3;6.40451798383015;0.00779113769531251;0.00406494140624999;1 A;
1;4;6.41264798380962;0.01025390625;0.00469055175781249;1 A;
1;5;6.42077798378909;0.0126617431640625;0.0052490234375;1 A;
1;6;6.42890798376857;0.0151153564453125;0.0058319091796875;1 A;
1;7;6.43703798374804;0.0175537109375;0.006329345703125;1 A;
1;8;6.44516798372752;0.0200103759765625;0.0069091796875;1 A;
1;9;6.45329798370699;0.0224273681640625;0.00739135742187499;1 A;
1;10;6.46142798368646;0.0248870849609375;0.00798950195312501;1 A;
1;11;6.46955798366594;0.027294921875;0.0084564208984375;1 A;
1;12;6.47768798364541;0.0297637939453125;0.00907287597656251;1 A;
1;13;6.48581798362488;0.0322052001953125;0.0095794677734375;1 A;
1;14;6.49394798360436;0.034625244140625;0.010198974609375;1 A;
1;15;6.50207798358383;0.0370819091796875;0.010693359375;1 A;
1;16;6.5102079835633;0.0395050048828125;0.0113739013671875;1 A;
1;17;6.51833798354278;0.0419708251953125;0.011883544921875;1 A;
1;18;6.52646798352225;0.0444091796875;0.01259765625;1 A;
1;19;6.53459798350173;0.0468414306640625;0.0131378173828125;1 A;
1;20;6.5427279834812;0.0492462158203125;0.01390380859375;1 A;
1;21;6.55085798346067;0.051666259765625;0.014453125;1 A;
1;22;6.55898798344015;0.054107666015625;0.015240478515625;1 A;
1;23;6.56711798341962;0.0565185546875;0.01583251953125;1 A;
1;24;6.57524798339909;0.0589599609375;0.0166412353515625;1 A;
1;25;6.58337798337857;0.0614013671875;0.0173309326171875;1 A;
1;26;6.59150798335804;0.063873291015625;0.018133544921875;1 A;
1;27;6.59963798333752;0.0662841796875;0.0189208984375;1 A;
1;28;6.60776798331699;0.068756103515625;0.0196929931640625;1 A;
1;29;6.61589798329646;0.071197509765625;0.02056884765625;1 A;
1;30;6.62402798327594;0.0736083984375;0.0213348388671875;1 A;
1;31;6.63215798325541;0.076080322265625;0.0223724365234375;1 A;
1;32;6.64028798323488;0.0784912109375;0.0231109619140625;1 A;
1;33;6.64841798321436;0.0809326171875;0.024176025390625;1 A;
1;34;6.65654798319383;0.083343505859375;0.02498779296875;1 A;
1;35;6.66467798317331;0.0858154296875;0.026171875;1 A;
1;36;6.67280798315278;0.08819580078125;0.026995849609375;1 A;
1;37;6.68093798313225;0.0906982421875;0.02821044921875;1 A;
1;38;6.68906798311173;0.093170166015625;0.0291595458984375;1 A;
1;39;6.6971979830912;0.095550537109375;0.0303955078125;1 A;
1;40;6.70532798307067;0.0980224609375;0.03143310546875;1 A;
1;41;6.71345798305015;0.100433349609375;0.0326507568359375;1 A;
1;42;6.72158798302962;0.102874755859375;0.033837890625;1 A;
1;43;6.7297179830091;0.10528564453125;0.03514404296875;1 A;
1;44;6.73784798298857;0.107818603515625;0.036328125;1 A;
1;45;6.74597798296804;0.11016845703125;0.0377105712890625;1 A;
1;46;6.75410798294752;0.11260986328125;0.038934326171875;1 A;
1;47;6.76223798292699;0.115081787109375;0.0404510498046875;1 A;
1;48;6.77036798290646;0.11749267578125;0.04169921875;1 A;
1;49;6.77849798288594;0.11993408203125;0.0433868408203125;1 A;
1;50;6.78662798286541;0.12237548828125;0.0446441650390625;1 A;
1;51;6.79475798284489;0.12481689453125;0.0464019775390625;1 A;
