Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range;Overload
1;1;6.0656109846858;0.00293579101562499;0.00279541015625;;1 A;
1;2;6.06910098467699;0.005389404296875;0.00379333496093751;;1 A;
1;3;6.07259098466818;0.00781860351562499;0.00469055175781249;;1 A;
1;4;6.07608098465937;0.0102630615234375;0.00536499023437501;;1 A;
1;5;6.07957098465056;0.0127105712890625;0.006085205078125;;1 A;
1;6;6.08306098464175;0.0151519775390625;0.00673828125000001;;1 A;
1;7;6.08655098463294;0.017584228515625;0.0073822021484375;;1 A;
1;8;6.09004098462412;0.020068359375;0.0081146240234375;;1 A;
1;9;6.09353098461531;0.022491455078125;0.008740234375;;1 A;
1;10;6.0970209846065;0.0249237060546875;0.00943603515624999;;1 A;
1;11;6.10051098459769;0.0273590087890625;0.0100830078125;;1 A;
1;12;6.10400098458888;0.0298126220703125;0.0107574462890625;;1 A;
1;13;6.10749098458007;0.0322662353515625;0.01151123046875;;1 A;
1;14;6.11098098457126;0.03470458984375;0.012225341796875;;1 A;
1;15;6.11447098456244;0.037152099609375;0.0128326416015625;;1 A;
1;16;6.11796098455363;0.039581298828125;0.0136260986328125;;1 A;
1;17;6.12145098454482;0.042041015625;0.0143707275390625;;1 A;
1;18;6.12494098453601;0.0444732666015625;0.015155029296875;;1 A;
1;19;6.1284309845272;0.046905517578125;0.0160003662109375;;1 A;
1;20;6.13192098451839;0.0493743896484375;0.0166748046875;;1 A;
1;21;6.13541098450958;0.051727294921875;0.0175079345703125;;1 A;
1;22;6.13890098450076;0.054229736328125;0.018414306640625;;1 A;
1;23;6.14239098449195;0.056610107421875;0.0193145751953125;;1 A;
1;24;6.14588098448314;0.05902099609375;0.020196533203125;;1 A;
1;25;6.14937098447433;0.061492919921875;0.021063232421875;;1 A;
1;26;6.15286098446552;0.063934326171875;0.0220001220703125;;1 A;
1;27;6.15635098445671;0.066375732421875;0.0231658935546875;;1 A;
1;28;6.1598409844479;0.06884765625;0.02406005859375;;1 A;
1;29;6.16333098443909;0.071258544921875;0.025146484375;;1 A;
1;30;6.16682098443027;0.073699951171875;0.0260345458984375;;1 A;
1;31;6.17031098442146;0.076141357421875;0.0271270751953125;;1 A;
1;32;6.17380098441265;0.07861328125;0.02845458984375;;1 A;
1;33;6.17729098440384;0.081024169921875;0.0295654296875;;1 A;
1;34;6.18078098439503;0.08349609375;0.0307281494140625;;1 A;
1;35;6.18427098438622;0.0859375;0.03201904296875;;1 A;
1;36;6.18776098437741;0.08837890625;0.0332305908203125;;1 A;
1;37;6.19125098436859;0.090789794921875;0.0346527099609375;;1 A;
1;38;6.19474098435978;0.09326171875;0.036041259765625;;1 A;
1;39;6.19823098435097;0.095733642578125;0.03729248046875;;1 A;
1;40;6.20172098434216;0.098175048828125;0.0387664794921875;;1 A;
1;41;6.20521098433335;0.1005859375;0.0403045654296875;;1 A;
1;42;6.20870098432454;0.10302734375;0.0419342041015625;;1 A;
1;43;6.21219098431573;0.105438232421875;0.0434722900390625;;1 A;
1;44;6.21568098430691;0.107940673828125;0.044927978515625;;1 A;
1;45;6.2191709842981;0.1103515625;0.0466583251953125;;1 A;
1;46;6.22266098428929;0.112823486328125;0.04844970703125;;1 A;
1;47;6.22615098428048;0.115234375;0.050140380859375;;1 A;
1;48;6.22964098427167;0.117645263671875;0.05194091796875;;1 A;
1;49;6.23313098426286;0.120147705078125;0.05364990234375;;1 A;
1;50;6.23662098425405;0.12255859375;0.055511474609375;;1 A;
1;51;6.24011098424523;0.125030517578125;0.0577392578125;;1 A;
1;52;6.24360098423642;0.12744140625;0.059600830078125;;1 A;
1;53;6.24709098422761;0.12994384765625;0.0616455078125;;1 A;
1;54;6.2505809842188;0.132354736328125;0.06353759765625;;1 A;
1;55;6.25407098420999;0.134796142578125;0.065704345703125;;1 A;
1;56;6.25756098420118;0.137237548828125;0.068084716796875;;1 A;
1;57;6.26105098419237;0.1396484375;0.070343017578125;;1 A;
1;58;6.26454098418355;0.142120361328125;0.072357177734375;;1 A;
1;59;6.26803098417474;0.14453125;0.074615478515625;;1 A;
1;60;6.27152098416593;0.147003173828125;0.076812744140625;;1 A;
1;61;6.27501098415712;0.1494140625;0.079254150390625;;1 A;
1;62;6.27850098414831;0.15185546875;0.081573486328125;;1 A;
1;63;6.2819909841395;0.154296875;0.083526611328125;;1 A;
1;64;6.28548098413069;0.15673828125;0.0860595703125;;1 A;
1;65;6.28897098412187;0.159210205078125;0.088714599609375;;1 A;
1;66;6.29246098411306;0.16168212890625;0.09149169921875;;1 A;
1;67;6.29595098410425;0.164093017578125;0.094451904296875;;1 A;
1;68;6.29944098409544;0.16656494140625;0.096923828125;;1 A;
1;69;6.30293098408663;0.1689453125;0.099822998046875;;1 A;
1;70;6.30642098407782;0.171478271484375;0.1031494140625;;1 A;
1;71;6.30991098406901;0.173858642578125;0.105987548828125;;1 A;
1;72;6.31340098406019;0.17626953125;0.109130859375;;1 A;
