Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range
1;107;7.45352098118167;0.26153564453125;0.180572509765625;;1 A
1;108;7.46572098115087;0.263916015625;0.1822509765625;;1 A
1;109;7.47792098112006;0.26641845703125;0.18475341796875;;1 A
1;110;7.49012098108926;0.268829345703125;0.1864013671875;;1 A
1;111;7.50232098105846;0.271240234375;0.187469482421875;;1 A
1;112;7.51452098102766;0.27374267578125;0.18902587890625;;1 A
1;113;7.52672098099686;0.27618408203125;0.191070556640625;;1 A
1;114;7.53892098096605;0.278594970703125;0.192626953125;;1 A
1;115;7.55112098093525;0.281036376953125;0.193511962890625;;1 A
1;116;7.56332098090445;0.283477783203125;0.1949462890625;;1 A
1;117;7.57552098087365;0.285888671875;0.196502685546875;;1 A
1;118;7.58772098084285;0.288330078125;0.19775390625;;1 A
1;119;7.59992098081204;0.290771484375;0.198638916015625;;1 A
1;120;7.61212098078124;0.293243408203125;0.199951171875;;1 A
1;121;7.62432098075044;0.29571533203125;0.201080322265625;;1 A
1;122;7.63652098071964;0.29815673828125;0.201629638671875;;1 A
1;123;7.64872098068884;0.300537109375;0.202423095703125;;1 A
1;124;7.66092098065803;0.303009033203125;0.203857421875;;1 A
1;125;7.67312098062723;0.305419921875;0.204559326171875;;1 A
1;126;7.68532098059643;0.307861328125;0.2047119140625;;1 A
1;127;7.69752098056563;0.310302734375;0.205352783203125;;1 A
1;128;7.70972098053483;0.312744140625;0.206512451171875;;1 A
1;129;7.72192098050402;0.31524658203125;0.20703125;;1 A
1;130;7.73412098047322;0.317626953125;0.207122802734375;;1 A
1;131;7.74632098044242;0.320068359375;0.207611083984375;;1 A
1;132;7.75852098041162;0.322479248046875;0.20819091796875;;1 A
1;133;7.77072098038082;0.324920654296875;0.20849609375;;1 A
1;134;7.78292098035001;0.327423095703125;0.208526611328125;;1 A
1;135;7.79512098031921;0.329803466796875;0.208953857421875;;1 A
1;136;7.80732098028841;0.332275390625;0.209228515625;;1 A
1;137;7.81952098025761;0.334747314453125;0.20892333984375;;1 A
1;138;7.83172098022681;0.33721923828125;0.208984375;;1 A
1;139;7.843920980196;0.33953857421875;0.209503173828125;;1 A
1;140;7.8561209801652;0.342041015625;0.209503173828125;;1 A
1;141;7.8683209801344;0.344482421875;0.2088623046875;;1 A
1;142;7.8805209801036;0.346923828125;0.208587646484375;;1 A
1;143;7.8927209800728;0.349395751953125;0.208740234375;;1 A
1;144;7.90492098004199;0.351806640625;0.208587646484375;;1 A
1;145;7.91712098001119;0.354248046875;0.2078857421875;;1 A
1;146;7.92932097998039;0.356689453125;0.20758056640625;;1 A
1;147;7.94152097994959;0.359130859375;0.2073974609375;;1 A
1;148;7.95372097991878;0.361541748046875;0.20684814453125;;1 A
1;149;7.96592097988798;0.364013671875;0.206329345703125;;1 A
1;150;7.97812097985718;0.366424560546875;0.206024169921875;;1 A
