Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range
1;1;6.14152298449415;0.0029327392578125;0.000711059570312506;;1 A
1;2;6.16592298443254;0.00537719726562499;0.00091552734375;;1 A
1;3;6.19032298437094;0.00778808593749999;0.0011322021484375;;1 A
1;4;6.21472298430933;0.01024169921875;0.0012786865234375;;1 A
1;5;6.23912298424773;0.0126861572265625;0.00147399902343751;;1 A
1;6;6.26352298418612;0.0151336669921875;0.00160827636718749;;1 A
1;7;6.28792298412452;0.0175628662109375;0.00177917480468751;;1 A
1;8;6.31232298406292;0.0200042724609375;0.00192871093749999;;1 A
1;9;6.33672298400131;0.0224395751953125;0.00208740234375;;1 A
1;10;6.36112298393971;0.024920654296875;0.00224609375;;1 A
1;11;6.3855229838781;0.0273529052734375;0.002392578125;;1 A
1;12;6.4099229838165;0.02977294921875;0.00256958007812499;;1 A
1;13;6.4343229837549;0.03218994140625;0.002703857421875;;1 A
1;14;6.45872298369329;0.03468017578125;0.00289306640625001;;1 A
1;15;6.48312298363169;0.037091064453125;0.003033447265625;;1 A
1;16;6.50752298357008;0.0395782470703125;0.00324401855468751;;1 A
1;17;6.53192298350848;0.0420074462890625;0.003387451171875;;1 A
1;18;6.55632298344688;0.0444305419921875;0.00360107421875;;1 A
1;19;6.58072298338527;0.0468902587890625;0.003753662109375;;1 A
1;20;6.60512298332367;0.04931640625;0.0039794921875;;1 A
1;21;6.62952298326206;0.05169677734375;0.00416259765625;;1 A
1;22;6.65392298320046;0.054168701171875;0.00437011718749999;;1 A
1;23;6.67832298313886;0.05657958984375;0.0045806884765625;;1 A
1;24;6.70272298307725;0.05902099609375;0.004791259765625;;1 A
1;25;6.72712298301565;0.061431884765625;0.00502929687500001;;1 A
1;26;6.75152298295404;0.06390380859375;0.00522460937499999;;1 A
1;27;6.77592298289244;0.06640625;0.00550231933593751;;1 A
1;28;6.80032298283083;0.068817138671875;0.00570068359375001;;1 A
1;29;6.82472298276923;0.071258544921875;0.006011962890625;;1 A
1;30;6.84912298270763;0.073699951171875;0.00621643066406249;;1 A
