Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A)
4;8835;113.693097712953;0.00159301757812499;0.00548095703125
4;8836;113.705297712922;0.0041015625;0.00542297363281249
4;8837;113.717497712891;0.0065032958984375;0.00542602539062501
4;8838;113.72969771286;0.0089874267578125;0.005413818359375
4;8839;113.741897712829;0.01143798828125;0.0053863525390625
4;8840;113.754097712799;0.0139007568359375;0.00536499023437501
4;8841;113.766297712768;0.0163299560546875;0.00534667968749999
4;8842;113.778497712737;0.0188201904296875;0.0053436279296875
4;8843;113.790697712706;0.021258544921875;0.005328369140625
4;8844;113.802897712675;0.02374267578125;0.00531921386718751
4;8845;113.815097712645;0.0261993408203125;0.00530395507812501
4;8846;113.827297712614;0.0286529541015625;0.005267333984375
4;8847;113.839497712583;0.0310821533203125;0.00524291992187501
4;8848;113.851697712552;0.033538818359375;0.0052642822265625
4;8849;113.863897712521;0.03603515625;0.00522766113281251
4;8850;113.87609771249;0.0384674072265625;0.0052215576171875
4;8851;113.88829771246;0.040924072265625;0.005206298828125
4;8852;113.900497712429;0.043377685546875;0.00519409179687499
4;8853;113.912697712398;0.045867919921875;0.0051910400390625
4;8854;113.924897712367;0.0483001708984375;0.00517578125
4;8855;113.937097712336;0.050689697265625;0.00517883300781249
4;8856;113.949297712306;0.053192138671875;0.005157470703125
4;8857;113.961497712275;0.055633544921875;0.00513305664062499
4;8858;113.973697712244;0.058074951171875;0.0051116943359375
4;8859;113.985897712213;0.060577392578125;0.00508728027343749
4;8860;113.998097712182;0.063018798828125;0.00510559082031251
4;8861;114.010297712152;0.065399169921875;0.0050628662109375
4;8862;114.022497712121;0.06793212890625;0.005047607421875
4;8863;114.03469771209;0.07037353515625;0.00504455566406251
4;8864;114.046897712059;0.072845458984375;0.0050506591796875
4;8865;114.059097712028;0.0753173828125;0.00501098632812499
4;8866;114.071297711998;0.0777587890625;0.0050079345703125
4;8867;114.083497711967;0.08026123046875;0.0050018310546875
4;8868;114.095697711936;0.082672119140625;0.00499572753906249
4;8869;114.107897711905;0.085113525390625;0.0049713134765625
4;8870;114.120097711874;0.08758544921875;0.00494995117187499
4;8871;114.132297711844;0.090118408203125;0.0049560546875
4;8872;114.144497711813;0.092559814453125;0.00493774414062501
4;8873;114.156697711782;0.095001220703125;0.004925537109375
4;8874;114.168897711751;0.097442626953125;0.004913330078125
4;8875;114.18109771172;0.099884033203125;0.00490722656250001
4;8876;114.19329771169;0.102386474609375;0.00488891601562499
4;8877;114.205497711659;0.104766845703125;0.00487670898437501
4;8878;114.217697711628;0.1072998046875;0.00487060546875
4;8879;114.229897711597;0.109710693359375;0.00485839843749999
4;8880;114.242097711566;0.11212158203125;0.00484313964843749
4;8881;114.254297711536;0.114654541015625;0.00485839843749999
4;8882;114.266497711505;0.11712646484375;0.0048553466796875
4;8883;114.278697711474;0.11956787109375;0.00482177734375
4;8884;114.290897711443;0.121978759765625;0.00481262207031249
4;8885;114.303097711412;0.12445068359375;0.0048095703125
4;8886;114.315297711382;0.126953125;0.004779052734375
4;8887;114.327497711351;0.129425048828125;0.00476989746093751
4;8888;114.33969771132;0.1318359375;0.00475463867187501
4;8889;114.351897711289;0.13427734375;0.0047576904296875
4;8890;114.364097711258;0.136749267578125;0.004742431640625
4;8891;114.376297711228;0.13922119140625;0.0047271728515625
4;8892;114.388497711197;0.14166259765625;0.00473632812499999
4;8893;114.400697711166;0.144195556640625;0.00473632812499999
4;8894;114.412897711135;0.146575927734375;0.0047119140625
4;8895;114.425097711104;0.149017333984375;0.004718017578125
4;8896;114.437297711074;0.1514892578125;0.0046966552734375
4;8897;114.449497711043;0.15399169921875;0.0046661376953125
4;8898;114.461697711012;0.156402587890625;0.00466003417968749
4;8899;114.473897710981;0.158843994140625;0.00464782714843751
4;8900;114.48609771095;0.161285400390625;0.004638671875
4;8901;114.49829771092;0.163787841796875;0.00462646484375
4;8902;114.510497710889;0.16619873046875;0.004638671875
4;8903;114.522697710858;0.168731689453125;0.00461730957031251
4;8904;114.534897710827;0.171173095703125;0.0046112060546875
4;8905;114.547097710796;0.173614501953125;0.00463256835937501
4;8906;114.559297710766;0.17608642578125;0.004595947265625
4;8907;114.571497710735;0.17852783203125;0.0045745849609375
4;8908;114.583697710704;0.18096923828125;0.00455627441406251
4;8909;114.595897710673;0.1834716796875;0.00455322265624999
4;8910;114.608097710642;0.1859130859375;0.004534912109375
4;8911;114.620297710612;0.18841552734375;0.00452880859375
4;8912;114.632497710581;0.190826416015625;0.00451049804687501
4;8913;114.64469771055;0.193328857421875;0.00450439453125
4;8914;114.656897710519;0.195770263671875;0.00449523925781251
4;8915;114.669097710488;0.19818115234375;0.00451049804687501
4;8916;114.681297710458;0.200714111328125;0.00452270507812499
4;8917;114.693497710427;0.203125;0.0045013427734375
4;8918;114.705697710396;0.20556640625;0.00447998046875001
4;8919;114.717897710365;0.20806884765625;0.0044586181640625
4;8920;114.730097710334;0.210479736328125;0.0044586181640625
4;8921;114.742297710304;0.21295166015625;0.0044403076171875
4;8922;114.754497710273;0.2154541015625;0.0044281005859375
4;8923;114.766697710242;0.217864990234375;0.00443115234374999
4;8924;114.778897710211;0.2203369140625;0.0044097900390625
4;8925;114.79109771018;0.222747802734375;0.0043914794921875
4;8926;114.80329771015;0.225189208984375;0.00438537597656249
4;8927;114.815497710119;0.227691650390625;0.00438232421875
4;8928;114.827697710088;0.23016357421875;0.0043792724609375
4;8929;114.839897710057;0.232666015625;0.00437011718749999
4;8930;114.852097710026;0.2349853515625;0.00437316894531251
4;8931;114.864297709996;0.23748779296875;0.004351806640625
4;8932;114.876497709965;0.239959716796875;0.00434265136718751
4;8933;114.888697709934;0.242431640625;0.004315185546875
4;8934;114.900897709903;0.244903564453125;0.0043182373046875
4;8935;114.913097709872;0.24737548828125;0.00432739257812501
4;8936;114.925297709842;0.24981689453125;0.0042724609375
4;8937;114.937497709811;0.252227783203125;0.0042572021484375
4;8938;114.94969770978;0.254791259765625;0.00426330566406249
4;8939;114.961897709749;0.2572021484375;0.00424804687499999
