Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A)
2;3049;31.2324979211455;0.00166015625;0.1353759765625
2;3050;31.240627921125;0.00409851074218751;0.136444091796875
2;3051;31.2487579211045;0.00653991699218751;0.137237548828125
2;3052;31.2568879210839;0.0089752197265625;0.1380615234375
2;3053;31.2650179210634;0.0114105224609375;0.139129638671875
2;3054;31.2731479210429;0.0138580322265625;0.140167236328125
2;3055;31.2812779210224;0.0162811279296875;0.14117431640625
2;3056;31.2894079210018;0.0187225341796875;0.141937255859375
2;3057;31.2975379209813;0.0211639404296875;0.14312744140625
2;3058;31.3056679209608;0.0236053466796875;0.14447021484375
2;3059;31.3137979209403;0.02603759765625;0.145904541015625
2;3060;31.3219279209197;0.0284881591796875;0.14703369140625
2;3061;31.3300579208992;0.0309173583984375;0.148468017578125
2;3062;31.3381879208787;0.033355712890625;0.1495361328125
2;3063;31.3463179208582;0.0357879638671875;0.150970458984375
2;3064;31.3544479208376;0.038226318359375;0.152130126953125
2;3065;31.3625779208171;0.04066162109375;0.15380859375
2;3066;31.3707079207966;0.04310302734375;0.155120849609375
2;3067;31.378837920776;0.0455474853515625;0.156707763671875
2;3068;31.3869679207555;0.047979736328125;0.158233642578125
2;3069;31.395097920735;0.05035400390625;0.159698486328125
2;3070;31.4032279207145;0.052825927734375;0.1612548828125
2;3071;31.4113579206939;0.05523681640625;0.16290283203125
2;3072;31.4194879206734;0.057647705078125;0.16461181640625
2;3073;31.4276179206529;0.060028076171875;0.166534423828125
2;3074;31.4357479206324;0.06256103515625;0.168243408203125
2;3075;31.4438779206118;0.06494140625;0.170196533203125
2;3076;31.4520079205913;0.06744384765625;0.171966552734375
2;3077;31.4601379205708;0.06982421875;0.174346923828125
2;3078;31.4682679205503;0.072265625;0.175994873046875
2;3079;31.4763979205297;0.074737548828125;0.178375244140625
2;3080;31.4845279205092;0.0771484375;0.180145263671875
2;3081;31.4926579204887;0.07958984375;0.1822509765625
2;3082;31.5007879204682;0.082000732421875;0.1842041015625
2;3083;31.5089179204476;0.084442138671875;0.18646240234375
2;3084;31.5170479204271;0.08685302734375;0.188568115234375
2;3085;31.5251779204066;0.089385986328125;0.191131591796875
2;3086;31.5333079203861;0.091827392578125;0.193359375
2;3087;31.5414379203655;0.094207763671875;0.195892333984375
2;3088;31.549567920345;0.096649169921875;0.198211669921875
2;3089;31.5576979203245;0.09912109375;0.200927734375
2;3090;31.5658279203039;0.101593017578125;0.203460693359375
2;3091;31.5739579202834;0.103912353515625;0.2060546875
2;3092;31.5820879202629;0.106414794921875;0.208831787109375
2;3093;31.5902179202424;0.10882568359375;0.211456298828125
2;3094;31.5983479202218;0.11126708984375;0.21453857421875
2;3095;31.6064779202013;0.113739013671875;0.217071533203125
2;3096;31.6146079201808;0.116180419921875;0.2203369140625
2;3097;31.6227379201603;0.118560791015625;0.222808837890625
2;3098;31.6308679201397;0.121002197265625;0.2261962890625
2;3099;31.6389979201192;0.12347412109375;0.22894287109375
