Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A)
4;5655;52.4142808676667;0.096710205078125;-0.0029449462890625
4;5656;52.4224108676461;0.094268798828125;-0.00294189453125
4;5657;52.4305408676256;0.091888427734375;-0.00295410156250001
4;5658;52.4386708676051;0.089385986328125;-0.0029571533203125
4;5659;52.4468008675846;0.087005615234375;-0.002978515625
4;5660;52.454930867564;0.084564208984375;-0.00296936035156251
4;5661;52.4630608675435;0.082122802734375;-0.0029937744140625
4;5662;52.471190867523;0.079681396484375;-0.00299682617187499
4;5663;52.4793208675025;0.077178955078125;-0.00301208496093749
4;5664;52.4874508674819;0.07470703125;-0.00303039550781251
4;5665;52.4955808674614;0.072418212890625;-0.00304260253906249
4;5666;52.5037108674409;0.0699462890625;-0.0030548095703125
4;5667;52.5118408674203;0.067474365234375;-0.0030792236328125
4;5668;52.5199708673998;0.06500244140625;-0.00309143066406251
4;5669;52.5281008673793;0.0626220703125;-0.00311889648437499
4;5670;52.5362308673588;0.060089111328125;-0.003143310546875
4;5671;52.5443608673382;0.0577392578125;-0.0031768798828125
4;5672;52.5524908673177;0.05535888671875;-0.0032012939453125
4;5673;52.5606208672972;0.0528564453125;-0.00323486328125
4;5674;52.5687508672767;0.050384521484375;-0.0032501220703125
4;5675;52.5768808672561;0.0479949951171875;-0.00328979492187501
4;5676;52.5850108672356;0.0455474853515625;-0.00330810546875
4;5677;52.5931408672151;0.0430908203125;-0.0033416748046875
4;5678;52.6012708671946;0.0406524658203125;-0.00336608886718751
4;5679;52.609400867174;0.038226318359375;-0.00340576171875
4;5680;52.6175308671535;0.035791015625;-0.00341796875
4;5681;52.625660867133;0.033367919921875;-0.00347290039062501
4;5682;52.6337908671125;0.0308929443359375;-0.00350341796875001
4;5683;52.6419208670919;0.0284820556640625;-0.00354614257812499
4;5684;52.6500508670714;0.0260467529296875;-0.00357666015624999
4;5685;52.6581808670509;0.0235809326171875;-0.0036346435546875
4;5686;52.6663108670303;0.0211669921875;-0.00367431640625
4;5687;52.6744408670098;0.018719482421875;-0.00372924804687499
4;5688;52.6825708669893;0.0162811279296875;-0.00377807617187501
4;5689;52.6907008669688;0.0138458251953125;-0.0038482666015625
4;5690;52.6988308669482;0.0113983154296875;-0.0038909912109375
4;5691;52.7069608669277;0.00894775390624999;-0.003948974609375
4;5692;52.7150908669072;0.00653686523437499;-0.0040130615234375
4;5693;52.7232208668867;0.0040924072265625;-0.00408325195312501
4;5694;52.7313508668661;0.0016448974609375;-0.00414123535156249
4;5695;52.7394808668456;-0.000772094726562506;-0.0041961669921875
4;5696;52.7476108668251;-0.00322875976562501;-0.0042724609375
4;5697;52.7557408668046;-0.0056793212890625;-0.004315185546875
4;5698;52.763870866784;-0.0080902099609375;-0.00439453125
4;5699;52.7720008667635;-0.0105224609375;-0.00446166992187499
4;5700;52.780130866743;-0.012994384765625;-0.00455627441406251
4;5701;52.7882608667225;-0.015399169921875;-0.004608154296875
4;5702;52.7963908667019;-0.0178497314453125;-0.00469360351562501
4;5703;52.8045208666814;-0.0202880859375;-0.00476684570312499
4;5704;52.8126508666609;-0.02271728515625;-0.00485839843749999
4;5705;52.8207808666403;-0.0251708984375;-0.0049285888671875
4;5706;52.8289108666198;-0.0275970458984375;-0.0050201416015625
4;5707;52.8370408665993;-0.03004150390625;-0.0051116943359375
4;5708;52.8451708665788;-0.032489013671875;-0.0052001953125
4;5709;52.8533008665582;-0.03492431640625;-0.005279541015625
4;5710;52.8614308665377;-0.0373687744140625;-0.00538330078125
4;5711;52.8695608665172;-0.039788818359375;-0.00546874999999999
4;5712;52.8776908664967;-0.042236328125;-0.0055694580078125
4;5713;52.8858208664761;-0.044659423828125;-0.00565185546874999
4;5714;52.8939508664556;-0.0471038818359375;-0.00574951171875
4;5715;52.9020808664351;-0.0495391845703125;-0.005841064453125
4;5716;52.9102108664146;-0.05206298828125;-0.00595703124999999
4;5717;52.918340866394;-0.054443359375;-0.00604858398437499
4;5718;52.9264708663735;-0.056854248046875;-0.0061767578125
4;5719;52.934600866353;-0.05938720703125;-0.006256103515625
4;5720;52.9427308663325;-0.061737060546875;-0.00640258789062501
4;5721;52.9508608663119;-0.064178466796875;-0.0064849853515625
4;5722;52.9589908662914;-0.066650390625;-0.0066192626953125
4;5723;52.9671208662709;-0.069122314453125;-0.006732177734375
4;5724;52.9752508662503;-0.071563720703125;-0.00686035156250001
4;5725;52.9833808662298;-0.073974609375;-0.0069915771484375
4;5726;52.9915108662093;-0.076385498046875;-0.00712890625
4;5727;52.9996408661888;-0.078826904296875;-0.00725402832031249
4;5728;53.0077708661682;-0.081268310546875;-0.00740661621093749
4;5729;53.0159008661477;-0.083709716796875;-0.0075347900390625
4;5730;53.0240308661272;-0.086151123046875;-0.0076873779296875
4;5731;53.0321608661067;-0.08856201171875;-0.00782470703125
