,v / (V/s),sqrt[v / (V/s)],ln[v / (V/s)],Ep / V,ip / A
0,0.05,0.22360679774997896,-2.995732273553991,0.053589,0.0020914
1,0.1,0.31622776601683794,-2.3025850929940455,0.038574,0.0038791
2,0.2,0.4472135954999579,-1.6094379124341003,0.065308,0.0077613
3,0.3,0.5477225575051661,-1.2039728043259361,0.034308,0.010283
4,0.5,0.7071067811865476,-0.6931471805599453,0.045062,0.018546
5,0.7,0.8366600265340756,-0.35667494393873245,0.056763,0.025289
6,1.0,1.0,0.0,0.059021,0.034494
