,Scan,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A
0,2,0.05,0.22360679774997896,-1.133,0.041
1,3,0.05,0.22360679774997896,-1.133,0.041
2,4,0.05,0.22360679774997896,-1.126,0.041
3,2,0.5,0.7071067811865476,-1.126,0.15300000000000002
4,3,0.5,0.7071067811865476,-1.126,0.153
5,4,0.5,0.7071067811865476,-1.126,0.15100000000000002
6,2,0.175,0.4183300132670378,-1.119,0.08700000000000001
7,3,0.175,0.4183300132670378,-1.119,0.08600000000000001
8,4,0.175,0.4183300132670378,-1.119,0.08600000000000001
9,2,0.15,0.3872983346207417,-1.112,0.079
10,3,0.15,0.3872983346207417,-1.112,0.079
11,4,0.15,0.3872983346207417,-1.112,0.079
12,2,0.3,0.5477225575051661,-1.126,0.115
13,3,0.3,0.5477225575051661,-1.126,0.113
14,4,0.3,0.5477225575051661,-1.126,0.112
15,2,0.1,0.31622776601683794,-1.155,0.059000000000000004
16,3,0.1,0.31622776601683794,-1.155,0.059000000000000004
17,4,0.1,0.31622776601683794,-1.155,0.059000000000000004
18,2,0.2,0.4472135954999579,-1.176,0.084
19,3,0.2,0.4472135954999579,-1.176,0.084
20,4,0.2,0.4472135954999579,-1.18,0.084
