,v / (V/s),sqrt[v / (V/s)],ln[v / (V/s)],Ep / V,ip / A
0,0.05,0.22360679774997896,-2.995732273553991,0.61008,0.0038408
1,0.1,0.31622776601683794,-2.3025850929940455,0.64432,0.0069682
2,0.2,0.4472135954999579,-1.6094379124341003,0.63266,0.013545
3,0.3,0.5477225575051661,-1.2039728043259361,0.61768,0.021424
4,0.5,0.7071067811865476,-0.6931471805599453,0.63275,0.036147
5,0.7,0.8366600265340756,-0.35667494393873245,0.6391,0.044429
6,1.0,1.0,0.0,0.63605,0.066279
