,Scan,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A
0,2,0.5,0.7071067811865476,-0.524,0.0122
1,3,0.5,0.7071067811865476,-0.516,0.0133
2,4,0.5,0.7071067811865476,-0.516,0.01365
3,2,0.175,0.4183300132670378,-0.509,0.00772
4,3,0.175,0.4183300132670378,-0.509,0.00814
5,4,0.175,0.4183300132670378,-0.509,0.00823
6,2,0.15,0.3872983346207417,-0.509,0.00735
7,3,0.15,0.3872983346207417,-0.502,0.00761
8,4,0.15,0.3872983346207417,-0.502,0.00771
9,2,0.3,0.5477225575051661,-0.509,0.0104
10,3,0.3,0.5477225575051661,-0.502,0.0113
11,4,0.3,0.5477225575051661,-0.509,0.0121
12,2,0.1,0.31622776601683794,-0.509,0.00583
13,3,0.1,0.31622776601683794,-0.509,0.00594
14,4,0.1,0.31622776601683794,-0.509,0.00599
15,2,0.2,0.4472135954999579,-0.516,0.0094
16,3,0.2,0.4472135954999579,-0.509,0.0103
17,4,0.2,0.4472135954999579,-0.516,0.0103
