,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,E / V,e / (A s-1/2)
141,,,,,,,,-0.239777,-0.000575403
142,,,,,,,,-0.240845,-0.000573244
143,,,,,,,,-0.241882,-0.000573491
144,,,,,,,,-0.24295,-0.000576991
145,,,,,,,,-0.244019,-0.000578123
146,,,,,,,,-0.245087,-0.000577501
147,,,,,,,,-0.246124,-0.000579278
148,,,,,,,,-0.247223,-0.00058325
149,,,,,,,,-0.248291,-0.000585164
150,,,,,,,,-0.249329,-0.000585157
151,,,,,,,,-0.250397,-0.000586931
152,,,,,,,,-0.251434,-0.000590622
153,,,,,,,,-0.252502,-0.000592722
154,,,,,,,,-0.253662,-0.000594094
155,,,,,,,,-0.25473,-0.000600686
156,,,,,,,,-0.255737,-0.000605503
157,,,,,,,,-0.256866,-0.000604539
158,,,,,,,,-0.257935,-0.000607578
159,,,,,,,,-0.258911,-0.000614725
160,,,,,,,,-0.259979,-0.000617887
161,,,,,,,,-0.261078,-0.00061901
162,,,,,,,,-0.262207,-0.000625423
163,,,,,,,,-0.263275,-0.00063243
164,,,,,,,,-0.264252,-0.000634873
165,,,,,,,,-0.26532,-0.000636273
166,,,,,,,,-0.266418,-0.000642828
167,,,,,,,,-0.267426,-0.000652712
168,,,,,,,,-0.268555,-0.000657837
169,,,,,,,,-0.269653,-0.000662064
170,,,,,,,,-0.27066,-0.000670006
171,,,,,,,,-0.271729,-0.000675446
172,,,,,,,,-0.272827,-0.000681921
173,,,,,,,,-0.273865,-0.000690973
174,,,,,,,,-0.274933,-0.000698864
175,,,,,,,,-0.276031,-0.000708076
176,,,,,,,,-0.2771,-0.000716295
177,,,,,,,,-0.278198,-0.000719812
178,,,,,,,,-0.279205,-0.000721572
179,,,,,,,,-0.280273,-0.000724884
180,,,,,,,,-0.281342,-0.000730039
181,,,,,,,,-0.28244,-0.000737063
182,,,,,,,,-0.283478,-0.000744402
183,,,,,,,,-0.284546,-0.000753849
184,,,,,,,,-0.285614,-0.000762847
185,,,,,,,,-0.286682,-0.000770043
186,,,,,,,,-0.287781,-0.000780217
187,,,,,,,,-0.288849,-0.000791865
188,,,,,,,,-0.289856,-0.000799787
189,,,,,,,,-0.290924,-0.000804717
190,,,,,,,,-0.291962,-0.000808138
191,,,,,,,,-0.293091,-0.000812112
192,,,,,,,,-0.294159,-0.000817477
193,,,,,,,,-0.295197,-0.000856476
194,,,,,,,,-0.296326,-0.000892141
195,,,,,,,,-0.297394,-0.000853444
196,,,,,,,,-0.298431,-0.000743853
197,,,,,,,,-0.2995,-0.000582283
198,,,,,,,,-0.298401,-0.000393475
199,,,,,,,,-0.297363,-0.000207311
200,,,,,,,,-0.296295,-6.25566e-05
201,,,,,,,,-0.295227,2.70309e-06
202,,,,,,,,-0.294159,3.16538e-05
203,,,,,,,,-0.29303,7.30886e-05
204,,,,,,,,-0.292053,0.000103186
205,,,,,,,,-0.290924,0.000120674
206,,,,,,,,-0.289856,0.000140437
207,,,,,,,,-0.288849,0.000160728
208,,,,,,,,-0.28772,0.000173958
209,,,,,,,,-0.286682,0.000188983
210,,,,,,,,-0.285645,0.0002042
211,,,,,,,,-0.284546,0.000212863
212,,,,,,,,-0.283417,0.000212497
213,,,,,,,,-0.28241,0.000211603
214,,,,,,,,-0.281372,0.000219896
215,,,,,,,,-0.280304,0.0002282
216,,,,,,,,-0.279205,0.000230426
217,,,,,,,,-0.278198,0.000231999
218,,,,,,,,-0.27713,0.000233145
219,,,,,,,,-0.276001,0.000229762
220,,,,,,,,-0.274994,0.000228411
221,,,,,,,,-0.273926,0.000232263
222,,,,,,,,-0.272827,0.000236982
223,,,,,,,,-0.271759,0.000237903
224,,,,,,,,-0.270691,0.000233811
225,,,,,,,,-0.269623,0.000231037
226,,,,,,,,-0.268555,0.000232144
227,,,,,,,,-0.267456,0.000233944
228,,,,,,,,-0.266388,0.000233882
229,,,,,,,,-0.26535,0.000233212
230,,,,,,,,-0.264313,0.000231614
231,,,,,,,,-0.263245,0.00022415
232,,,,,,,,-0.262177,0.000217242
233,,,,,,,,-0.261108,0.000219831
234,,,,,,,,-0.26004,0.000222854
235,,,,,,,,-0.259003,0.000219062
236,,,,,,,,-0.257904,0.000213574
237,,,,,,,,-0.256805,0.00021338
238,,,,,,,,-0.255798,0.000214781
239,,,,,,,,-0.25473,0.000211945
240,,,,,,,,-0.253571,0.000211486
241,,,,,,,,-0.252625,0.000214261
242,,,,,,,,-0.251465,0.000213233
243,,,,,,,,-0.250427,0.000206743
244,,,,,,,,-0.24939,0.000202502
245,,,,,,,,-0.248291,0.000204733
246,,,,,,,,-0.247223,0.000206362
247,,,,,,,,-0.246155,0.000203232
248,,,,,,,,-0.244995,0.000200497
249,,,,,,,,-0.243988,0.000201634
250,,,,,,,,-0.242889,0.000200749
251,,,,,,,,-0.241882,0.000194552
252,,,,,,,,-0.240906,0.000194436
253,,,,,,,,-0.239746,0.00019952
254,,,,,,,,-0.238678,0.000195669
255,,,,,,,,-0.237671,0.000188923
256,,,,,,,,-0.236542,0.000192366
257,,,,,,,,-0.235504,0.000198109
258,,,,,,,,-0.234467,0.000195837
259,,,,,,,,-0.233368,0.000190083
260,,,,,,,,-0.232269,0.000190933
261,,,,,,,,-0.231232,0.000194019
262,,,,,,,,-0.230103,0.000188956
263,,,,,,,,-0.229156,0.000186475
264,,,,,,,,-0.228027,0.000193636
265,,,,,,,,-0.22699,0.000195885
266,,,,,,,,-0.225891,0.000193955
267,,,,,,,,-0.224854,0.000192462
268,,,,,,,,-0.223846,0.000190964
269,,,,,,,,-0.222687,0.00019327
270,,,,,,,,-0.221588,0.000194212
271,,,,,,,,-0.220551,0.000194458
272,,,,,,,,-0.219482,0.000195443
273,,,,,,,,-0.218445,0.000196678
274,,,,,,,,-0.217407,0.000197502
275,,,,,,,,-0.216339,0.000196258
276,,,,,,,,-0.215179,0.000198212
277,,,,,,,,-0.214203,0.000202522
278,,,,,,,,-0.213165,0.000202729
279,,,,,,,,-0.212067,0.000201817
280,,,,,,,,-0.210999,0.000202939
281,,,,,,,,-0.20993,0.000206134
282,,,,,,,,-0.208862,0.000207151
283,,,,,,,,-0.207855,0.000205541
284,,,,,,,,-0.206726,0.000208159
285,,,,,,,,-0.205658,0.000211214
286,,,,,,,,-0.20459,0.000210397
287,,,,,,,,-0.203552,0.000211146
288,,,,,,,,-0.202515,0.000214975
289,,,,,,,,-0.201447,0.000217991
290,,,,,,,,-0.200348,0.000219312
291,,,,,,,,-0.19931,0.000220377
292,,,,,,,,-0.198181,0.000223918
293,,,,,,,,-0.197083,0.000228111
294,,,,,,,,-0.196045,0.000230225
295,,,,,,,,-0.195007,0.000234347
296,,,,,,,,-0.193909,0.000237045
297,,,,,,,,-0.192871,0.000233011
298,,,,,,,,-0.191833,0.0002336
299,,,,,,,,-0.190765,0.000241106
300,,,,,,,,-0.189667,0.000243962
301,,,,,,,,-0.188568,0.000244443
302,,,,,,,,-0.187469,0.00025238
303,,,,,,,,-0.186432,0.000258122
304,,,,,,,,-0.185394,0.000256411
305,,,,,,,,-0.184296,0.000255751
306,,,,,,,,-0.183167,0.00026235
307,,,,,,,,-0.18219,0.000269172
308,,,,,,,,-0.181122,0.00026888
309,,,,,,,,-0.180054,0.000271378
310,,,,,,,,-0.179077,0.000278291
311,,,,,,,,-0.177917,0.000278548
312,,,,,,,,-0.176819,0.000280631
313,,,,,,,,-0.175812,0.000290434
314,,,,,,,,-0.174713,0.000296197
315,,,,,,,,-0.173676,0.00029761
316,,,,,,,,-0.172638,0.000300811
317,,,,,,,,-0.1716,0.000303938
318,,,,,,,,-0.170441,0.000303331
319,,,,,,,,-0.169342,0.000305249
320,,,,,,,,-0.168335,0.000312886
321,,,,,,,,-0.167236,0.000320641
322,,,,,,,,-0.166168,0.000323757
323,,,,,,,,-0.165161,0.000326712
324,,,,,,,,-0.164093,0.000331538
325,,,,,,,,-0.162994,0.000336566
326,,,,,,,,-0.161957,0.000341763
327,,,,,,,,-0.160858,0.00034734
328,,,,,,,,-0.159821,0.000353739
329,,,,,,,,-0.158813,0.000358762
330,,,,,,,,-0.157684,0.000362194
331,,,,,,,,-0.156616,0.000365822
332,,,,,,,,-0.155548,0.000371047
333,,,,,,,,-0.15448,0.000379242
334,,,,,,,,-0.153381,0.000385049
335,,,,,,,,-0.152344,0.000387748
336,,,,,,,,-0.151276,0.000393787
337,,,,,,,,-0.150238,0.000402778
338,,,,,,,,-0.1492,0.000409064
339,,,,,,,,-0.148041,0.000412041
340,,,,,,,,-0.147064,0.000419319
341,,,,,,,,-0.145996,0.0004276
342,,,,,,,,-0.144867,0.000433563
343,,,,,,,,-0.143799,0.0004313
344,,,,,,,,-0.142792,0.000435492
345,,,,,,,,-0.141693,0.000455748
346,,,,,,,,-0.140594,0.000461205
347,,,,,,,,-0.139557,0.000453367
348,,,,,,,,-0.138489,0.000466095
349,,,,,,,,-0.137421,0.000486132
350,,,,,,,,-0.136383,0.00048383
351,,,,,,,,-0.135254,0.000478235
352,,,,,,,,-0.134216,0.000492375
353,,,,,,,,-0.133118,0.000511588
354,,,,,,,,-0.13205,0.00051184
355,,,,,,,,-0.131012,0.000508173
356,,,,,,,,-0.129883,0.000526382
357,,,,,,,,-0.128906,0.000543116
358,,,,,,,,-0.127777,0.000537354
359,,,,,,,,-0.12677,0.000540664
360,,,,,,,,-0.125732,0.000554932
361,,,,,,,,-0.124664,0.000563366
