,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A
0,0.3,0.5477225575051661,-1.0849,-0.17043
1,0.4,0.6324555320336759,-1.0913,-0.18303
2,0.5,0.7071067811865476,-1.0988,-0.20539
3,0.2,0.4472135954999579,-1.0774,-0.14395
4,0.1,0.31622776601683794,-1.0646,-0.12186
5,0.05,0.22360679774997896,-1.0475,-0.10356
