,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index,e / (A/s1/2),BaseLine / (A s-1/2),Fcurve / (A/s1/2),Ecurve / (A/s1/2),Dcurve / (A/s1/2),e Reconstructed / (A/s1/2)
0,-0.60028076171875,235.070906406503,-0.00261535644531249,-0.59912109375,3,10736,-0.000631217,-6.579745240927002e-05,-521.5617356789551,-6.775947266887025e-06,-1.0942704289316446e-09,-521.5618082534489
1,-0.601348876953125,235.092268406449,-0.00261840820312501,-0.600189208984375,3,10737,-0.000608985,-7.332414788435195e-05,-494.9466374003787,-7.011411461392265e-06,-1.1331342871375207e-09,-494.94671773707114
2,-0.6024169921875,235.113630406395,-0.0026092529296875,-0.601318359375,3,10738,-0.000581299,-8.128093923705226e-05,-468.28601598461375,-7.269230595531706e-06,-1.175720781648114e-09,-468.2861045359593
3,-0.603485107421875,235.134992406341,-0.0026092529296875,-0.602325439453125,3,10739,-0.000618691,-8.837753883451666e-05,-445.72160975562264,-7.507162539045014e-06,-1.2150518645193688e-09,-445.721705641539
4,-0.60455322265625,235.156354406287,-0.0026123046875,-0.60345458984375,3,10740,-0.000660355,-9.633433723392568e-05,-421.7125056786718,-7.78320466971071e-06,-1.2607171016015045e-09,-421.71260979747444
5,-0.605621337890625,235.177716406233,-0.00261840820312501,-0.6044921875,3,10741,-0.000627629,-0.0001036459882935532,-400.7920035571131,-8.045801837461591e-06,-1.3041913655264756e-09,-400.7921152502075
6,-0.606689453125,235.199078406179,-0.0026092529296875,-0.60552978515625,3,10742,-0.0005926,-0.00011095763230647201,-380.9093537169719,-8.317255015766976e-06,-1.3491647412130769e-09,-380.90947299320845
7,-0.607757568359375,235.220440406125,-0.0026092529296875,-0.606597900390625,3,10743,-0.000615282,-0.00011848432778155393,-361.47169333874245,-8.606257914045142e-06,-1.3970813664428088e-09,-361.47182043072524
8,-0.60882568359375,235.241802406072,-0.002606201171875,-0.607666015625,3,10744,-0.000527997,-0.00012601103030334543,-343.02591260317627,-8.905298973865618e-06,-1.4466998345982036e-09,-343.02604752095226
9,-0.609893798828125,235.263164406018,-0.00258789062500001,-0.608734130859375,3,10745,-0.000534928,-0.00013353772577842735,-325.5214299092012,-9.214725980644919e-06,-1.4980804933807078e-09,-325.52157266315106
