,v / (V/s),sqrt[v / (V/s)],Ep / V,ip / A
0,0.3,0.5477225575051661,-0.22964,-0.064017
1,0.4,0.6324555320336759,-0.24139,-0.076972
2,0.5,0.7071067811865476,-0.23819,-0.087756
3,0.2,0.4472135954999579,-0.23178,-0.049685
4,0.1,0.31622776601683794,-0.22324,-0.035408
5,0.05,0.22360679774997896,-0.22964,-0.024981
