Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
268.65166932172;-0.15924072265625;0;1;-0.0449981689453125;100 mA;
268.661669321694;-0.18536376953125;0.00999999997475243;2;-0.045001220703125;100 mA;
268.671669321669;-0.202423095703125;0.0199999999495049;3;-0.0449951171875;100 mA;
268.681669321644;-0.21514892578125;0.0299999999242573;4;-0.045001220703125;100 mA;
268.691669321619;-0.225311279296875;0.0399999998990097;5;-0.045001220703125;100 mA;
268.701669321593;-0.23382568359375;0.0499999998737621;6;-0.0449981689453125;100 mA;
268.711669321568;-0.241241455078125;0.0599999998485146;7;-0.045001220703125;100 mA;
268.721669321543;-0.247894287109375;0.069999999823267;8;-0.0449981689453125;100 mA;
268.731669321518;-0.253936767578125;0.0799999997980194;9;-0.045001220703125;100 mA;
268.741669321493;-0.259521484375;0.0899999997727718;10;-0.045001220703125;100 mA;
268.751669321467;-0.264739990234375;0.0999999997475243;11;-0.045001220703125;100 mA;
268.761669321442;-0.2696533203125;0.109999999722277;12;-0.0449981689453125;100 mA;
268.771669321417;-0.27435302734375;0.119999999697029;13;-0.0449981689453125;100 mA;
268.781669321392;-0.278839111328125;0.129999999671782;14;-0.0449920654296875;100 mA;
268.791669321366;-0.28314208984375;0.139999999646534;15;-0.0449981689453125;100 mA;
268.801669321341;-0.28729248046875;0.149999999621286;16;-0.04500732421875;100 mA;
268.811669321316;-0.291290283203125;0.159999999596039;17;-0.0450042724609375;100 mA;
268.821669321291;-0.295166015625;0.169999999570791;18;-0.0449981689453125;100 mA;
268.831669321265;-0.298858642578125;0.179999999545544;19;-0.04500732421875;100 mA;
268.84166932124;-0.302490234375;0.189999999520296;20;-0.0449981689453125;100 mA;
268.851669321215;-0.30596923828125;0.199999999495049;21;-0.045001220703125;100 mA;
268.86166932119;-0.309356689453125;0.209999999469801;22;-0.045001220703125;100 mA;
268.871669321164;-0.31268310546875;0.219999999444553;23;-0.0449981689453125;100 mA;
