Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.477831,-3.276180071,-0.457916,-1.871124328,-0.258472,-0.713682727,
-0.47896,-3.238482687,-0.459015,-1.857413126,-0.259631,-0.700705672,
-0.479998,-3.204210295,-0.460114,-1.823151964,-0.260699,-0.72665553,
-0.481066,-3.248768896,-0.46106,-1.877974315,-0.261768,-0.713682727,
-0.482134,-3.283030057,-0.462189,-1.884835531,-0.262836,-0.635824651,
-0.483232,-3.252193889,-0.463287,-1.860838119,-0.263843,-0.752609639,
-0.48424,-3.228207707,-0.464325,-1.874549321,-0.264941,-0.791536551,
-0.485277,-3.265905091,-0.465424,-1.901971726,-0.266101,-0.635824651,
-0.486406,-3.255618882,-0.466492,-1.891685517,-0.267078,-0.713682727,
-0.487474,-3.224771484,-0.467621,-1.864274342,-0.268176,-0.765586693,
-0.488512,-3.255618882,-0.468597,-1.888260524,-0.269275,-0.765586693,
-0.489641,-3.259043875,-0.469635,-1.932807895,-0.270282,-0.713682727,
-0.490648,-3.224771484,-0.470703,-1.89511051,-0.271381,-0.700705672,
-0.491716,-3.224771484,-0.471771,-1.898535503,-0.272449,-0.713682727,
-0.492815,-3.276180071,-0.472839,-1.946519097,-0.273517,-0.791536551,
-0.493944,-3.265905091,-0.473938,-1.925957908,-0.274615,-0.739632584,
-0.494829,-3.217921498,-0.475037,-1.912246706,-0.275684,-0.752609639,
-0.495989,-3.255618882,-0.476013,-1.953369083,-0.276721,-0.81749066,
-0.497057,-3.279605064,-0.477142,-1.946519097,-0.277789,-0.765586693,
-0.498186,-3.252193889,-0.47818,-1.898535503,-0.278857,-0.869394626,
-0.499193,-3.269330085,-0.479248,-1.922532915,-0.279895,-0.830467714,
-0.500261,-3.300166253,-0.480316,-1.956794077,-0.280994,-0.72665553,
-0.50139,-3.255618882,-0.481415,-1.943094104,-0.282062,-0.791536551,
-0.502367,-3.245332673,-0.482483,-1.925957908,-0.283069,-0.81749066,
-0.503466,-3.279605064,-0.48349,-1.977355265,-0.284198,-0.81749066,
-0.504595,-3.269330085,-0.48465,-1.970505279,-0.285297,-0.843440517,
-0.505602,-3.252193889,-0.485687,-1.953369083,-0.286304,-0.869394626,
-0.506639,-3.303591246,-0.486725,-1.960230299,-0.287402,-0.804513605,
-0.507738,-3.293316267,-0.487793,-2.011627657,-0.288531,-0.843440517,
-0.508837,-3.289891273,-0.488861,-1.967080286,-0.289539,-0.882371681,
-0.509874,-3.255618882,-0.489929,-1.946519097,-0.290637,-0.895344483,
-0.510912,-3.29674126,-0.490997,-2.008202663,-0.291705,-0.869394626,
-0.512041,-3.303591246,-0.492035,-1.997916454,-0.292712,-0.804513605,
-0.513079,-3.24190768,-0.493164,-1.963655293,-0.293842,-0.921298593,
-0.514086,-3.289891273,-0.494202,-2.00477767,-0.294879,-0.960225504,
-0.515215,-3.307027469,-0.495331,-2.011627657,-0.296008,-0.81749066,
-0.516283,-3.265905091,-0.496368,-2.001352677,-0.297046,-0.94724845,
-0.51729,-3.272755078,-0.497375,-2.00477767,-0.298053,-0.960225504,
-0.518419,-3.324163665,-0.498352,-2.049325041,-0.299152,-0.934275647,
-0.519426,-3.293316267,-0.499542,-2.028763852,-0.30022,-0.856417572,
-0.520555,-3.262468869,-0.50061,-2.008202663,-0.301227,-0.973202559,
-0.521532,-3.307027469,-0.501617,-2.039050061,-0.302325,-0.934275647,
-0.522631,-3.337863637,-0.502777,-2.05961125,-0.303424,-0.908321538,
-0.52379,-3.28646628,-0.503845,-2.008202663,-0.304462,-0.908321538,
-0.524797,-3.252193889,-0.504852,-2.035613839,-0.305591,-0.986179614,
-0.525865,-3.310452462,-0.505951,-2.035613839,-0.306628,-0.973202559,
-0.526903,-3.337863637,-0.50705,-2.032188845,-0.307697,-1.025106525,
-0.528032,-3.289891273,-0.508118,-1.997916454,-0.308856,-0.986179614,
-0.529009,-3.317302449,-0.509125,-2.056175027,-0.309833,-0.986179614,
-0.530138,-3.303591246,-0.510223,-2.039050061,-0.310901,-0.973202559,
-0.531176,-3.272755078,-0.511322,-2.032188845,-0.311969,-1.051056383,
-0.532244,-3.313877455,-0.512329,-2.052750034,-0.313068,-1.025106525,
-0.533373,-3.354999833,-0.513367,-2.097308635,-0.314105,-0.921298593,
-0.534441,-3.283030057,-0.514496,-2.028763852,-0.315204,-1.012129471,
-0.535509,-3.289891273,-0.515503,-2.035613839,-0.316272,-1.012129471,
-0.536547,-3.324163665,-0.516602,-2.073311223,-0.31731,-0.999152416,
-0.537615,-3.341288631,-0.51767,-2.073311223,-0.318439,-0.986179614,
-0.538713,-3.307027469,-0.518768,-2.018488873,-0.319446,-1.025106525,
-0.53972,-3.331013651,-0.519806,-2.056175027,-0.320514,-1.012129471,
-0.540789,-3.358424826,-0.520874,-2.063036243,-0.321552,-0.986179614,
-0.541887,-3.310452462,-0.521942,-2.045900048,-0.32265,-1.089987546,
-0.542955,-3.334438644,-0.52298,-2.045900048,-0.323718,-1.03808358,
-0.543993,-3.354999833,-0.524048,-2.080172439,-0.324817,-1.03808358,
-0.545061,-3.313877455,-0.525177,-2.032188845,-0.325885,-1.025106525,
-0.546099,-3.327588658,-0.526215,-2.028763852,-0.326923,-1.102960349,
-0.547167,-3.354999833,-0.527344,-2.080172439,-0.328021,-1.064033437,
-0.548326,-3.344724853,-0.52832,-2.090447419,-0.329028,-0.973202559,
-0.549333,-3.307027469,-0.529358,-2.042475055,-0.330066,-1.051056383,
-0.550432,-3.310452462,-0.530518,-2.063036243,-0.331195,-1.064033437,
-0.55147,-3.392697217,-0.531525,-2.114433601,-0.332294,-0.986179614,
-0.552568,-3.341288631,-0.532593,-2.073311223,-0.333331,-1.064033437,
-0.553667,-3.28646628,-0.533722,-2.039050061,-0.334399,-0.999152416,
-0.554644,-3.354999833,-0.534698,-2.090447419,-0.335498,-1.089987546,
-0.555742,-3.341288631,-0.535858,-2.066461237,-0.336566,-1.012129471,
-0.55681,-3.341288631,-0.536865,-2.049325041,-0.337665,-1.102960349,
-0.557817,-3.372136029,-0.537933,-2.066461237,-0.338641,-1.051056383,
-0.559008,-3.368711035,-0.539001,-2.090447419,-0.33974,-1.03808358,
-0.560045,-3.348149847,-0.54007,-2.052750034,-0.340778,-1.089987546,
-0.561083,-3.361849819,-0.541077,-2.056175027,-0.341937,-1.180818425,
-0.56212,-3.389272224,-0.542175,-2.100733628,-0.342944,-1.102960349,
-0.563219,-3.382411008,-0.543213,-2.083597432,-0.344073,-1.03808358,
-0.564318,-3.317302449,-0.544312,-2.049325041,-0.345081,-1.077010492,
-0.565325,-3.365286042,-0.545349,-2.093872412,-0.346179,-1.102960349,
-0.566393,-3.402983426,-0.546448,-2.100733628,-0.347278,-1.051056383,
-0.567522,-3.389272224,-0.547546,-2.066461237,-0.348346,-1.115937404,
-0.568529,-3.337863637,-0.548553,-2.080172439,-0.349353,-1.141891513,
-0.569628,-3.389272224,-0.549683,-2.093872412,-0.350452,-1.141891513,
-0.570635,-3.375561022,-0.55072,-2.100733628,-0.35155,-1.102960349,
-0.571733,-3.358424826,-0.551819,-2.06988623,-0.352588,-1.193795479,
-0.572832,-3.402983426,-0.552887,-2.090447419,-0.353687,-1.180818425,
-0.573931,-3.399547204,-0.553925,-2.090447419,-0.354755,-1.128914458,
-0.574968,-3.375561022,-0.554993,-2.045900048,-0.355823,-1.206768282,
-0.576006,-3.389272224,-0.556061,-2.073311223,-0.356921,-1.219745336,
-0.577135,-3.420108393,-0.557129,-2.12471981,-0.357898,-1.141891513,
-0.578173,-3.416683399,-0.558167,-2.080172439,-0.358997,-1.154864315,
-0.57921,-3.392697217,-0.559296,-2.056175027,-0.360034,-1.284626357,
-0.580248,-3.430394602,-0.560242,-2.107583614,-0.361133,-1.245699446,
-0.581377,-3.423544615,-0.561371,-2.087022425,-0.362262,-1.206768282,
-0.582476,-3.368711035,-0.562439,-2.073311223,-0.363269,-1.284626357,
-0.583513,-3.402983426,-0.563507,-2.080172439,-0.364337,-1.271649303,
-0.584612,-3.430394602,-0.564575,-2.083597432,-0.365405,-1.245699446,
-0.58571,-3.402983426,-0.565674,-2.066461237,-0.366473,-1.284626357,
-0.586748,-3.420108393,-0.566681,-2.063036243,-0.36748,-1.232722391,
-0.587755,-3.444105804,-0.56778,-2.093872412,-0.36861,-1.271649303,
-0.588854,-3.440669581,-0.568817,-2.087022425,-0.369617,-1.232722391,
-0.589952,-3.399547204,-0.569916,-2.045900048,-0.370685,-1.323553269,
-0.590959,-3.444105804,-0.570984,-2.083597432,-0.371814,-1.297603412,
-0.592058,-3.454380784,-0.572021,-2.107583614,-0.372882,-1.245699446,
-0.593126,-3.437244588,-0.573151,-2.06988623,-0.374011,-1.2586765,
-0.594255,-3.430394602,-0.574158,-2.06988623,-0.375018,-1.297603412,
-0.595262,-3.447530797,-0.575256,-2.097308635,-0.376056,-1.284626357,
-0.596331,-3.454380784,-0.576294,-2.093872412,-0.377185,-1.206768282,
-0.597399,-3.430394602,-0.577362,-2.066461237,-0.378223,-1.284626357,
-0.598436,-3.478366966,-0.578461,-2.097308635,-0.379291,-1.284626357,
-0.599535,-3.457805777,-0.579498,-2.090447419,-0.380359,-1.271649303,
-0.600603,-3.426969609,-0.580597,-2.066461237,-0.381396,-1.310580467,
-0.601641,-3.474941973,-0.581665,-2.080172439,-0.382526,-1.297603412,
-0.60277,-3.519500573,-0.582703,-2.090447419,-0.383563,-1.284626357,
-0.603929,-3.471516979,-0.583801,-2.080172439,-0.384631,-1.2586765,
-0.604906,-3.440669581,-0.584839,-2.063036243,-0.38576,-1.323553269,
-0.605974,-3.478366966,-0.585907,-2.107583614,-0.386768,-1.336530324,
-0.607012,-3.509214364,-0.587036,-2.104158621,-0.387866,-1.206768282,
-0.60808,-3.454380784,-0.588013,-2.052750034,-0.388873,-1.284626357,
-0.609178,-3.502364377,-0.589081,-2.083597432,-0.390033,-1.310580467,
-0.610247,-3.498928155,-0.590179,-2.111008607,-0.391101,-1.284626357,
-0.611284,-3.468091986,-0.591248,-2.080172439,-0.392139,-1.284626357,
-0.612352,-3.485228182,-0.592316,-2.076747446,-0.393207,-1.310580467,
-0.613451,-3.536625539,-0.593384,-2.111008607,-0.394305,-1.284626357,
-0.61458,-3.509214364,-0.594482,-2.087022425,-0.395374,-1.297603412,
-0.615618,-3.481803188,-0.59549,-2.087022425,-0.396411,-1.336530324,
-0.616625,-3.536625539,-0.596558,-2.121294817,-0.397449,-1.349507378,
-0.617723,-3.540061762,-0.597595,-2.131569796,-0.398517,-1.297603412,
-0.618792,-3.519500573,-0.598724,-2.076747446,-0.399646,-1.349507378,
-0.619829,-3.512639357,-0.599792,-2.087022425,-0.400653,-1.38843429,
-0.620928,-3.536625539,-0.600891,-2.121294817,-0.401752,-1.349507378,
-0.622026,-3.526350559,-0.601959,-2.100733628,-0.402789,-1.362484433,
-0.623094,-3.529775553,-0.603027,-2.056175027,-0.403949,-1.414388399,
-0.624163,-3.56062295,-0.604034,-2.104158621,-0.405017,-1.362484433,
-0.6252,-3.57089793,-0.605133,-2.135006019,-0.406055,-1.323553269,
-0.626299,-3.502364377,-0.606171,-2.090447419,-0.407092,-1.453315311,
-0.627397,-3.550336741,-0.607269,-2.087022425,-0.408191,-1.38843429,
-0.628435,-3.584609132,-0.608337,-2.131569796,-0.409229,-1.38843429,
-0.629473,-3.557186728,-0.609467,-2.097308635,-0.410266,-1.38843429,
-0.630632,-3.540061762,-0.610413,-2.087022425,-0.411365,-1.492242223,
-0.631609,-3.584609132,-0.611542,-2.107583614,-0.412433,-1.453315311,
-0.632738,-3.594884112,-0.612549,-2.128144803,-0.413501,-1.375457236,
-0.633745,-3.540061762,-0.613617,-2.076747446,-0.414539,-1.440338257,
-0.634844,-3.584609132,-0.614685,-2.104158621,-0.415607,-1.466292366,
-0.635851,-3.608595314,-0.615753,-2.131569796,-0.416675,-1.453315311,
-0.636949,-3.574322923,-0.616913,-2.093872412,-0.417743,-1.531169135,
-0.638018,-3.581184139,-0.617859,-2.06988623,-0.418842,-1.505219278,
-0.639055,-3.612020308,-0.618988,-2.114433601,-0.41991,-1.492242223,
-0.640093,-3.618881524,-0.620026,-2.117869823,-0.420978,-1.453315311,
-0.641252,-3.594884112,-0.621063,-2.080172439,-0.422015,-1.557123244,
-0.64226,-3.608595314,-0.622131,-2.107583614,-0.423114,-1.492242223,
-0.643358,-3.639442712,-0.62326,-2.12471981,-0.424243,-1.453315311,
-0.644426,-3.62573151,-0.624329,-2.090447419,-0.42525,-1.505219278,
-0.645555,-3.605170321,-0.625366,-2.117869823,-0.426288,-1.544146189,
-0.646563,-3.670278881,-0.626434,-2.128144803,-0.427325,-1.466292366,
-0.647631,-3.636017719,-0.627502,-2.114433601,-0.428455,-1.492242223,
-0.64876,-3.591459119,-0.628571,-2.087022425,-0.429553,-1.479265168,
-0.649767,-3.660003901,-0.629608,-2.117869823,-0.430621,-1.505219278,
-0.650835,-3.663428894,-0.630737,-2.128144803,-0.431659,-1.440338257,
-0.651903,-3.660003901,-0.631866,-2.083597432,-0.432666,-1.518196332,
-0.653002,-3.660003901,-0.632813,-2.087022425,-0.433826,-1.531169135,
-0.654039,-3.677140097,-0.633911,-2.135006019,-0.434924,-1.479265168,
-0.655138,-3.653142685,-0.634949,-2.100733628,-0.435962,-1.518196332,
-0.656145,-3.670278881,-0.636017,-2.107583614,-0.43703,-1.518196332,
-0.657244,-3.694265063,-0.637115,-2.141856005,-0.438037,-1.479265168,
-0.658342,-3.697701286,-0.638184,-2.141856005,-0.439227,-1.414388399,
-0.65938,-3.687415076,-0.639282,-2.090447419,-0.440204,-1.518196332,
-0.660479,-3.701126279,-0.64032,-2.12471981,-0.441302,-1.544146189,
-0.661577,-3.728537454,-0.641418,-2.145280999,-0.442371,-1.479265168,
-0.662615,-3.714837481,-0.642456,-2.117869823,-0.443469,-1.479265168,
-0.663683,-3.68056509,-0.643494,-2.111008607,-0.444507,-1.492242223,
-0.66472,-3.755959859,-0.644592,-2.152130985,-0.445575,-1.505219278,
-0.665819,-3.718262474,-0.645721,-2.138431012,-0.446643,-1.570100299,
-0.666918,-3.718262474,-0.646759,-2.117869823,-0.447711,-1.570100299,
-0.667894,-3.749098643,-0.647797,-2.12471981,-0.448749,-1.544146189,
-0.669023,-3.779946041,-0.648895,-2.155567208,-0.449847,-1.505219278,
-0.670061,-3.755959859,-0.649963,-2.121294817,-0.450916,-1.570100299,
-0.671038,-3.718262474,-0.651031,-2.135006019,-0.451984,-1.544146189,
-0.672258,-3.779946041,-0.6521,-2.165842187,-0.453021,-1.544146189,
-0.673174,-3.786796027,-0.653198,-2.148705992,-0.454089,-1.544146189,
-0.673784,-3.755959859,-0.654175,-2.107583614,-0.455219,-1.570100299,
-0.67531,-3.824493412,-0.655243,-2.162417194,-0.456256,-1.596050156,
-0.67592,-3.810782209,-0.656372,-2.148705992,-0.457355,-1.557123244,
-0.677446,-3.769659832,-0.65744,-2.135006019,-0.458392,-1.583073101,
-0.678362,-3.773096054,-0.658478,-2.131569796,-0.459521,-1.699858089,
-0.679583,-3.838204614,-0.659546,-2.176128396,-0.460498,-1.622004265,
-0.680498,-3.834779621,-0.660614,-2.138431012,-0.461597,-1.647954122,
-0.681414,-3.814218432,-0.661682,-2.128144803,-0.462665,-1.673908231,
-0.682634,-3.834779621,-0.662659,-2.189828369,-0.463702,-1.673908231,
-0.683855,-3.875901998,-0.663849,-2.186403376,-0.464771,-1.660931177,
-0.685076,-3.824493412,-0.664856,-2.135006019,-0.465869,-1.738789252,
-0.685991,-3.879326992,-0.665924,-2.169267181,-0.466907,-1.725812198,
-0.686907,-3.869040782,-0.667023,-2.200114579,-0.468005,-1.699858089,
-0.688433,-3.851915816,-0.668091,-2.158992201,-0.469043,-1.725812198,
-0.689653,-3.851915816,-0.669159,-2.162417194,-0.47005,-1.76473911,
-0.690264,-3.923874362,-0.670258,-2.196689585,-0.471149,-1.699858089,
-0.691484,-3.930735578,-0.671295,-2.186403376,-0.472247,-1.673908231,
-0.6924,-3.879326992,-0.672394,-2.165842187,-0.473315,-1.751762055,
-0.693621,-3.920449369,-0.673431,-2.189828369,-0.474384,-1.76473911,
-0.694536,-3.944435551,-0.674438,-2.220675767,-0.475513,-1.725812198,
-0.695452,-3.906738167,-0.675537,-2.165842187,-0.47652,-1.790693219,
-0.696672,-3.923874362,-0.676666,-2.169267181,-0.477618,-1.751762055,
-0.697893,-3.978707942,-0.677673,-2.224100761,-0.478687,-1.816643076,
-0.699114,-3.975282949,-0.678833,-2.203539572,-0.479785,-1.738789252,
-0.700334,-3.934160572,-0.67984,-2.169267181,-0.480823,-1.816643076,
-0.700945,-3.978707942,-0.680878,-2.213825781,-0.48186,-1.816643076,
-0.70186,-4.00955534,-0.681976,-2.220675767,-0.482959,-1.725812198,
-0.702776,-3.985557929,-0.683044,-2.193264592,-0.484027,-1.816643076,
-0.703997,-4.00955534,-0.684174,-2.193264592,-0.485126,-1.868547042,
-0.705217,-4.043816502,-0.685242,-2.237811963,-0.486102,-1.76473911,
-0.706438,-3.992419145,-0.686279,-2.220675767,-0.487201,-1.829620131,
-0.707048,-4.006119118,-0.687317,-2.210389558,-0.48833,-1.842597185,
-0.708269,-4.078088893,-0.688324,-2.248086943,-0.489368,-1.777716164,
-0.709795,-4.071238907,-0.689453,-2.251511936,-0.490405,-1.868547042,
-0.71071,-4.026691536,-0.690552,-2.196689585,-0.491443,-1.920451009,
-0.711626,-4.050677718,-0.691559,-2.230950747,-0.492603,-1.829620131,
-0.712542,-4.098650082,-0.692627,-2.258373152,-0.49364,-1.881524097,
-0.714067,-4.119211271,-0.693726,-2.227525754,-0.494739,-1.881524097,
-0.715288,-4.105511298,-0.694794,-2.230950747,-0.495776,-1.920451009,
-0.715898,-4.112361284,-0.695862,-2.261798145,-0.496875,-1.868547042,
-0.717424,-4.108936291,-0.69693,-2.268648131,-0.497882,-1.855569988,
-0.718035,-4.102075075,-0.697998,-2.220675767,-0.49892,-1.98533203,
-0.718645,-4.170619858,-0.699127,-2.265223138,-0.500049,-1.998309084,
-0.720171,-4.198031033,-0.700165,-2.285784327,-0.501117,-1.881524097,
-0.720781,-4.167194864,-0.701263,-2.248086943,-0.502155,-1.972354975,
-0.722002,-4.180894837,-0.702362,-2.261798145,-0.503253,-2.024258942,
-0.723223,-4.208317242,-0.703339,-2.292645543,-0.504321,-1.959377921,
-0.724138,-4.225453437,-0.704437,-2.268648131,-0.505389,-2.011281887,
-0.725664,-4.218592222,-0.705475,-2.258373152,-0.506396,-1.998309084,
-0.72658,-4.263150822,-0.706604,-2.302920523,-0.507526,-1.98533203,
-0.7278,-4.276850795,-0.707672,-2.299495529,-0.508594,-2.050213051,
-0.728716,-4.218592222,-0.70871,-2.275509347,-0.509692,-2.089139963,
-0.729937,-4.263150822,-0.709778,-2.285784327,-0.51076,-2.089139963,
-0.730547,-4.297411984,-0.710785,-2.347467893,-0.511829,-2.037235996,
-0.732073,-4.311123186,-0.711914,-2.306345516,-0.512805,-2.076162908,
-0.732683,-4.29398699,-0.712982,-2.282359334,-0.513934,-2.154020984,
-0.733904,-4.338545591,-0.713989,-2.3440429,-0.515002,-2.166998038,
-0.735125,-4.355670557,-0.715088,-2.33376792,-0.516101,-2.011281887,
-0.736345,-4.317973172,-0.716156,-2.302920523,-0.517169,-2.141043929,
-0.737261,-4.352245563,-0.717285,-2.337192914,-0.518268,-2.179970841,
-0.738176,-4.386517955,-0.718323,-2.354329109,-0.519244,-2.179970841,
-0.739702,-4.365956766,-0.71933,-2.326906705,-0.520374,-2.192947895,
-0.740313,-4.359106779,-0.720428,-2.354329109,-0.521381,-2.20592495,
-0.741533,-4.427640332,-0.721497,-2.371465305,-0.52251,-2.141043929,
-0.742449,-4.461912723,-0.722595,-2.364604089,-0.523578,-2.192947895,
-0.743059,-4.431065325,-0.723633,-2.3440429,-0.524677,-2.231874807,
-0.74489,-4.482473912,-0.724701,-2.378315291,-0.525745,-2.218902005,
-0.746416,-4.482473912,-0.725769,-2.412587682,-0.526752,-2.179970841,
-0.747332,-4.441351535,-0.726868,-2.378315291,-0.52782,-2.270805971,
-0.747637,-4.475623926,-0.727936,-2.364604089,-0.528857,-2.33568274,
-0.749773,-4.533882499,-0.728943,-2.416012676,-0.530017,-2.309732883,
-0.749773,-4.530446276,-0.730042,-2.422862662,-0.530994,-2.244851862,
-0.750994,-4.530446276,-0.73114,-2.368029082,-0.532184,-2.33568274,
-0.752214,-4.547582472,-0.732239,-2.436573864,-0.533221,-2.348659795,
-0.75313,-4.612702261,-0.733307,-2.426287655,-0.534259,-2.322709937,
-0.754656,-4.554443688,-0.734283,-2.392026494,-0.535297,-2.42651787,
-0.755571,-4.575004877,-0.735443,-2.433148871,-0.536426,-2.400563761,
-0.757097,-4.63326345,-0.73645,-2.45371006,-0.537402,-2.348659795,
-0.757402,-4.592141072,-0.737549,-2.429723878,-0.538501,-2.42651787,
-0.759233,-4.568143661,-0.738586,-2.422862662,-0.539569,-2.530325803,
-0.759539,-4.650399645,-0.739716,-2.470846256,-0.540668,-2.491394639,
-0.760454,-4.681235814,-0.740784,-2.481121235,-0.541705,-2.491394639,
-0.76198,-4.646963423,-0.741852,-2.457135053,-0.542743,-2.608179627,
-0.762896,-4.677810821,-0.742859,-2.467421262,-0.543842,-2.608179627,
-0.763811,-4.732644401,-0.743958,-2.498257431,-0.54494,-2.595206824,
-0.764727,-4.729219407,-0.745117,-2.46398504,-0.545947,-2.64711079,
-0.765947,-4.732644401,-0.746124,-2.467421262,-0.547076,-2.686037702,
-0.767473,-4.777191771,-0.747162,-2.511968633,-0.548145,-2.64711079,
-0.768389,-4.801177953,-0.74823,-2.505107417,-0.549182,-2.686037702,
-0.768999,-4.756630583,-0.749359,-2.474271249,-0.550311,-2.750918723,
-0.77083,-4.818314149,-0.749817,-2.525679836,-0.551288,-2.724964614,
-0.771135,-4.897133911,-0.751038,-2.556516004,-0.552386,-2.686037702,
-0.772356,-4.832025351,-0.751953,-2.515393626,-0.553394,-2.80282269,
-0.773577,-4.835450345,-0.753479,-2.522243613,-0.554523,-2.867699459,
-0.774492,-4.934831295,-0.755005,-2.559940997,-0.55556,-2.815795492,
-0.776018,-4.873147729,-0.75531,-2.553091011,-0.556659,-2.815795492,
-0.776934,-4.90742012,-0.756531,-2.522243613,-0.557727,-2.906630622,
-0.778154,-4.958817477,-0.758057,-2.549666018,-0.558826,-2.906630622,
-0.77907,-4.975953673,-0.758362,-2.583938409,-0.559863,-2.893653568,
-0.779375,-4.945117504,-0.759888,-2.529104829,-0.560931,-2.945557534,
-0.780596,-4.993089868,-0.760803,-2.566802213,-0.56203,-2.906630622,
-0.782732,-5.08219584,-0.761719,-2.601063375,-0.563068,-2.893653568,
-0.783037,-5.051348442,-0.762634,-2.594213388,-0.564105,-2.971511643,
-0.784258,-5.047923448,-0.76416,-2.577077193,-0.565265,-2.997461501,
-0.784868,-5.07190963,-0.764771,-2.625060786,-0.566333,-2.958534589,
-0.786699,-5.116457001,-0.765991,-2.635335766,-0.56734,-2.919607677,
-0.78731,-5.078770846,-0.766907,-2.604499598,-0.568439,-3.010438555,
-0.78853,-5.130168204,-0.768127,-2.61819957,-0.569507,-3.075319576,
-0.790056,-5.164440595,-0.769348,-2.645621975,-0.570544,-2.984484446,
-0.790667,-5.133593197,-0.769958,-2.621624564,-0.571613,-3.075319576,
-0.791277,-5.140454413,-0.77179,-2.635335766,-0.572681,-3.127223543,
-0.793108,-5.250110343,-0.772705,-2.655896955,-0.573779,-3.088292379,
-0.794023,-5.274107755,-0.773926,-2.676458144,-0.574786,-3.127223543,
-0.794634,-5.24668535,-0.774536,-2.62848578,-0.575885,-3.140196345,
-0.795854,-5.294668944,-0.775757,-2.686744353,-0.576953,-3.114246488,
-0.79738,-5.277532748,-0.776672,-2.714155528,-0.578021,-3.114246488,
-0.797686,-5.304943923,-0.778809,-2.707305542,-0.57912,-3.192100312,
-0.799211,-5.342641308,-0.779114,-2.697019332,-0.580157,-3.269958387,
-0.800127,-5.383763685,-0.779724,-2.751852912,-0.581226,-3.166150454,
-0.801042,-5.373488705,-0.780945,-2.731291724,-0.582294,-3.256981333,
-0.802874,-5.346066301,-0.78186,-2.724441737,-0.583392,-3.282935442,
-0.803484,-5.445447252,-0.783691,-2.741577933,-0.58443,-3.347816463,
-0.80501,-5.442022258,-0.784302,-2.768989108,-0.585529,-3.308885299,
-0.805925,-5.452308467,-0.786133,-2.734716717,-0.586597,-3.37376632,
-0.806536,-5.493430845,-0.786133,-2.772414101,-0.587665,-3.334839408,
-0.807756,-5.531128229,-0.787659,-2.789550297,-0.588733,-3.399720429,
-0.808977,-5.541403209,-0.788574,-2.758714128,-0.589801,-3.451624396,
-0.809893,-5.513992034,-0.78949,-2.731291724,-0.590839,-3.516501165,
-0.810198,-5.599661782,-0.790405,-2.830672674,-0.591937,-3.464597198,
-0.812334,-5.647645376,-0.791931,-2.827247681,-0.592975,-3.503528362,
-0.812944,-5.64078416,-0.793152,-2.803261499,-0.594073,-3.581382186,
-0.814165,-5.664781571,-0.794067,-2.827247681,-0.595142,-3.620309097,
-0.815081,-5.668206565,-0.794678,-2.858095079,-0.59624,-3.59435924,
-0.816606,-5.688767753,-0.796204,-2.830672674,-0.597247,-3.659240261,
-0.817522,-5.75045132,-0.797119,-2.861520072,-0.598315,-3.72411703,
-0.818132,-5.812134886,-0.798035,-2.885506254,-0.599475,-3.659240261,
-0.819658,-5.781298718,-0.799561,-2.885506254,-0.6005127,-3.698167173,
-0.818438,-5.346066301,-0.798035,-2.56336599,-0.6015503,-3.801975106,
-0.816912,-5.157590608,-0.797424,-2.470846256,-0.6026489,-3.72411703,
-0.816606,-4.979378666,-0.795593,-2.364604089,-0.603717,-3.750071139,
-0.814775,-4.811464162,-0.794678,-2.227525754,-0.6047241,-3.853879072,
-0.81386,-4.660674625,-0.794373,-2.138431012,-0.6058838,-3.827929215,
-0.812944,-4.537307492,-0.793152,-2.12471981,-0.6068909,-3.788998051,
-0.811724,-4.472187703,-0.791626,-2.052750034,-0.6079285,-3.853879072,
-0.811113,-4.359106779,-0.79071,-1.956794077,-0.6090576,-3.866856127,
-0.809587,-4.280287017,-0.7901,-1.939657881,-0.6100647,-3.918760093,
-0.809282,-4.174044851,-0.788269,-1.908821713,-0.6111938,-3.853879072,
-0.807146,-4.033541522,-0.787354,-1.830001951,-0.6122009,-3.957687005,
-0.80623,-4.016405327,-0.786743,-1.806015769,-0.613269,-3.918760093,
-0.80562,-3.995844138,-0.785217,-1.775168371,-0.6143677,-3.866856127,
-0.804399,-3.865615789,-0.784607,-1.716909797,-0.6154358,-3.97066406,
-0.803789,-3.797082236,-0.783386,-1.655226231,-0.6165344,-3.996613917,
-0.802263,-3.776521048,-0.782471,-1.662076218,-0.617572,-3.996613917,
-0.801348,-3.721687468,-0.780945,-1.631240049,-0.6187012,-4.022568026,
-0.800127,-3.646292699,-0.779724,-1.55584528,-0.6197388,-4.061494938,
-0.799211,-3.612020308,-0.779114,-1.528422876,-0.6208069,-4.087449047,
-0.797686,-3.567472937,-0.778198,-1.548984064,-0.6218445,-4.061494938,
-0.79738,-3.492078168,-0.776367,-1.477025518,-0.6229736,-4.165302871,
-0.79616,-3.433819595,-0.776062,-1.44617812,-0.6239502,-4.165302871,
-0.795244,-3.420108393,-0.774841,-1.473600525,-0.6250793,-4.165302871,
-0.794023,-3.378986015,-0.773621,-1.432466918,-0.6261169,-4.152330068,
