Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.202745,-1.459889323,-0.1828,-0.729943538,-0.316302,0.999152416,
-0.203752,-1.5010117,-0.183868,-0.777921517,-0.315265,1.064033437,
-0.204821,-1.473600525,-0.184937,-0.781348756,-0.314075,1.102960349,
-0.205919,-1.453039336,-0.186005,-0.75050585,-0.313007,0.986179614,
-0.206987,-1.494161714,-0.187042,-0.767640923,-0.312,0.986179614,
-0.208147,-1.535284091,-0.188171,-0.801909945,-0.310931,1.025106525,
-0.209124,-1.504436694,-0.189117,-0.753933089,-0.309863,0.999152416,
-0.210192,-1.483875505,-0.190308,-0.75050585,-0.308765,0.934275647,
-0.211199,-1.545559071,-0.191315,-0.815617779,-0.307727,0.986179614,
-0.212358,-1.542134078,-0.192383,-0.767640923,-0.306659,0.973202559,
-0.213396,-1.521572889,-0.193512,-0.753933089,-0.30553,0.934275647,
-0.214434,-1.562695267,-0.194519,-0.784775995,-0.304462,0.934275647,
-0.215593,-1.562695267,-0.195587,-0.791629351,-0.303394,1.012129471,
-0.2166,-1.521572889,-0.196655,-0.788202112,-0.302386,0.934275647,
-0.217638,-1.569556483,-0.197754,-0.791629351,-0.301257,0.973202559,
-0.218767,-1.600392651,-0.198761,-0.815617779,-0.30025,1.025106525,
-0.219866,-1.562695267,-0.199921,-0.812191662,-0.299182,0.986179614,
-0.220903,-1.559270274,-0.200928,-0.777921517,-0.298145,0.94724845,
-0.22191,-1.614103853,-0.202026,-0.825899496,-0.297046,0.986179614,
-0.22307,-1.614103853,-0.203094,-0.822472257,-0.295978,1.03808358,
-0.224077,-1.569556483,-0.204132,-0.771068162,-0.294879,0.999152416,
-0.225145,-1.590117671,-0.2052,-0.815617779,-0.293811,0.999152416,
-0.226213,-1.641515029,-0.206299,-0.843033446,-0.292743,1.089987546,
-0.227281,-1.627803826,-0.207367,-0.805337184,-0.291675,1.051056383,
-0.228319,-1.638090035,-0.208374,-0.808764423,-0.290576,1.064033437,
-0.229387,-1.668937433,-0.209473,-0.846460685,-0.289539,1.077010492,
-0.230455,-1.668937433,-0.210571,-0.832752851,-0.288501,1.154864315,
-0.231615,-1.631240049,-0.211578,-0.791629351,-0.287372,1.025106525,
-0.232561,-1.6860624,-0.212646,-0.829325612,-0.286334,1.154864315,
-0.233721,-1.730621,-0.213715,-0.846460685,-0.285297,1.2586765,
-0.234758,-1.658651224,-0.214813,-0.812191662,-0.284198,1.141891513,
-0.235826,-1.624378833,-0.21582,-0.815617779,-0.28313,1.193795479,
-0.236925,-1.723759784,-0.216919,-0.867022997,-0.282092,1.245699446,
-0.237963,-1.716909797,-0.218048,-0.83618009,-0.280994,1.232722391,
-0.239061,-1.662076218,-0.219055,-0.79505659,-0.279895,1.219745336,
-0.240099,-1.727196007,-0.220154,-0.860168518,-0.278888,1.141891513,
-0.241228,-1.737470986,-0.221222,-0.873876352,-0.277789,1.232722391,
-0.242235,-1.716909797,-0.22226,-0.829325612,-0.276691,1.206768282,
-0.243242,-1.727196007,-0.223389,-0.853315163,-0.275653,1.206768282,
-0.244432,-1.758032175,-0.224396,-0.877303591,-0.274554,1.193795479,
-0.24547,-1.740895979,-0.225494,-0.867022997,-0.273517,1.180818425,
-0.246477,-1.751182189,-0.226532,-0.829325612,-0.272449,1.141891513,
-0.247515,-1.795729559,-0.2276,-0.870449113,-0.271381,1.16784137,
-0.248644,-1.78545458,-0.228668,-0.884158069,-0.270343,1.193795479,
-0.249681,-1.768318384,-0.229706,-0.843033446,-0.269244,1.128914458,
-0.25075,-1.761457168,-0.230835,-0.843033446,-0.268085,1.154864315,
-0.251818,-1.826576957,-0.231842,-0.891011424,-0.267139,1.232722391,
-0.252947,-1.795729559,-0.23291,-0.856741279,-0.266071,1.180818425,
-0.253893,-1.78545458,-0.233978,-0.867022997,-0.265002,1.102960349,
-0.255052,-1.847138146,-0.235046,-0.894438664,-0.263843,1.089987546,
-0.256121,-1.809440762,-0.236145,-0.894438664,-0.262744,1.154864315,
-0.257189,-1.799154553,-0.237183,-0.853315163,-0.261798,1.089987546,
-0.258257,-1.850563139,-0.23819,-0.904719258,-0.260669,1.128914458,
-0.259294,-1.877974315,-0.239349,-0.904719258,-0.259692,1.193795479,
-0.260332,-1.853988133,-0.240387,-0.884158069,-0.258502,1.064033437,
-0.2614,-1.860838119,-0.241425,-0.856741279,-0.257465,1.077010492,
-0.262468,-1.898535503,-0.242493,-0.92528157,-0.256458,1.128914458,
-0.263567,-1.891685517,-0.243652,-0.897865903,-0.255328,1.154864315,
-0.264604,-1.867699335,-0.244629,-0.856741279,-0.25426,0.986179614,
-0.265642,-1.908821713,-0.245728,-0.891011424,-0.253223,1.128914458,
-0.266741,-1.919096692,-0.246826,-0.918427091,-0.252124,1.128914458,
-0.267839,-1.898535503,-0.247925,-0.870449113,-0.251056,1.115937404,
-0.268877,-1.912246706,-0.248901,-0.918427091,-0.249988,1.03808358,
-0.269976,-1.946519097,-0.25,-0.932134925,-0.248981,1.128914458,
-0.271044,-1.929382901,-0.251068,-0.914999852,-0.247852,1.128914458,
-0.272081,-1.908821713,-0.252136,-0.887584185,-0.246814,1.16784137,
-0.27318,-1.980791488,-0.253143,-0.945842759,-0.245746,1.089987546,
-0.274187,-1.987641475,-0.254272,-0.921854331,-0.244647,1.16784137,
-0.275225,-1.953369083,-0.25528,-0.894438664,-0.243549,1.089987546,
-0.276323,-1.953369083,-0.256378,-0.911573736,-0.24248,1.141891513,
-0.277422,-2.042475055,-0.257477,-0.945842759,-0.241412,1.180818425,
-0.278521,-1.997916454,-0.258514,-0.897865903,-0.240375,1.180818425,
-0.279558,-2.011627657,-0.259613,-0.894438664,-0.239276,1.089987546,
-0.280657,-2.028763852,-0.260651,-0.938989403,-0.238269,1.16784137,
-0.281664,-2.028763852,-0.261719,-0.938989403,-0.23717,1.193795479,
-0.282762,-2.025338859,-0.262817,-0.911573736,-0.236133,1.180818425,
-0.2838,-2.052750034,-0.263855,-0.942415519,-0.235034,1.193795479,
-0.284929,-2.05961125,-0.264893,-0.949269998,-0.233997,1.245699446,
-0.285967,-2.042475055,-0.26593,-0.918427091,-0.232959,1.245699446,
-0.287035,-2.056175027,-0.266968,-0.928707686,-0.231891,1.284626357,
-0.288042,-2.097308635,-0.268097,-0.990393498,-0.230792,1.310580467,
-0.28911,-2.107583614,-0.269196,-0.938989403,-0.229724,1.362484433,
-0.290209,-2.049325041,-0.270203,-0.935562164,-0.228625,1.310580467,
-0.291277,-2.06988623,-0.271301,-0.956123353,-0.227588,1.375457236,
-0.292314,-2.128144803,-0.272369,-0.96640507,-0.22655,1.453315311,
-0.293413,-2.083597432,-0.273438,-0.914999852,-0.225452,1.466292366,
-0.294512,-2.12471981,-0.274536,-0.938989403,-0.224353,1.414388399,
-0.29561,-2.176128396,-0.275574,-0.969831186,-0.223346,1.531169135,
-0.296678,-2.138431012,-0.276642,-0.956123353,-0.222156,1.544146189,
-0.297686,-2.131569796,-0.27771,-0.952697237,-0.221149,1.518196332,
-0.298723,-2.213825781,-0.278778,-1.000674093,-0.220142,1.505219278,
-0.299791,-2.148705992,-0.279816,-0.976685665,-0.219012,1.634977068,
-0.300829,-2.141856005,-0.280945,-0.949269998,-0.217975,1.492242223,
-0.301897,-2.200114579,-0.281952,-0.976685665,-0.216846,1.583073101,
-0.302965,-2.200114579,-0.283051,-1.007528571,-0.215808,1.622004265,
-0.304094,-2.206964565,-0.284119,-0.980112904,-0.214771,1.634977068,
-0.305132,-2.193264592,-0.285126,-0.959550592,-0.213672,1.570100299,
-0.306139,-2.227525754,-0.286255,-1.007528571,-0.212604,1.622004265,
-0.307299,-2.261798145,-0.287323,-1.004101332,-0.211505,1.647954122,
-0.308336,-2.224100761,-0.28833,-0.962977831,-0.210468,1.647954122,
-0.309374,-2.248086943,-0.289368,-1.01095581,-0.209399,1.60902721,
-0.310472,-2.272084354,-0.290527,-1.017809165,-0.208362,1.712835143,
-0.31151,-2.282359334,-0.291565,-0.973258426,-0.207294,1.634977068,
-0.312609,-2.251511936,-0.292572,-0.986966259,-0.206165,1.699858089,
-0.313677,-2.296070536,-0.293732,-1.05207931,-0.205096,1.725812198,
-0.314714,-2.313206732,-0.294769,-1.01095581,-0.204089,1.790693219,
-0.315813,-2.268648131,-0.295837,-0.997247976,-0.202991,1.712835143,
-0.316881,-2.326906705,-0.296906,-1.034944238,-0.201923,1.816643076,
-0.317949,-2.340617907,-0.297974,-1.05207931,-0.200854,1.855569988,
