"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-1.11359,-25.33264675
-1.1142,-25.54169161
-1.11542,-25.72438871
-1.11633,-25.89521484
-1.11755,-26.05716187
-1.11786,-26.21621355
-1.12,-26.36349077
-1.12061,-26.60496364
-1.12213,-26.81120965
-1.12274,-26.9054053
-1.12396,-27.14398282
-1.12518,-27.30892172
-1.12579,-27.51806309
-1.12671,-27.65646121
-1.12823,-27.9303621
-1.12946,-28.15426979
-1.13068,-28.33687038
-1.13098,-28.56956067
-1.13251,-28.82579986
-1.13312,-28.96419799
-1.13495,-29.17333936
-1.13525,-29.45602283
-1.13647,-29.60040469
-1.138,-29.76534359
-1.13892,-30.02158279
-1.13953,-30.3013709
-1.14105,-30.53106931
-1.14227,-30.68722563
-1.14288,-30.93458573
-1.14441,-31.22914017
-1.14471,-31.44416877
-1.14655,-31.67097182
-1.14746,-31.94776806
-1.14838,-32.14214311
-1.1496,-32.34838912
-1.14868,-29.29108392
-1.14746,-27.32368805
-1.14655,-25.82157623
-1.14563,-24.63168054
-1.14349,-23.57130386
-1.14349,-22.56400876
-1.14166,-21.72464442
-1.14075,-21.0235817
-1.13983,-20.25486411
-1.13831,-19.63342373
-1.1377,-19.02964504
-1.13647,-18.43175358
-1.13617,-17.82208766
-1.13434,-17.34792451
-1.13342,-16.90898821
-1.13251,-16.34651663
-1.13159,-15.84282082
-1.13037,-15.47173241
-1.12854,-14.98869016
-1.12823,-14.54985037
-1.12732,-14.21997257
-1.12579,-13.84888416
-1.12488,-13.45125497
-1.12396,-13.12137717
-1.12274,-12.84747628
-1.12152,-12.50871938
-1.12091,-12.14940543
-1.1203,-11.85195563
-1.11816,-11.56628029
-1.11664,-11.26583863
-1.11603,-10.91829914
-1.11603,-10.73569855
-1.1142,-10.39694164
-1.11359,-10.14369431
-1.11176,-9.955109986
-1.11176,-9.639998506
-1.11023,-9.407317872
-1.10901,-9.224717284
-1.10779,-9.018538829
-1.10657,-8.756412403
-1.10535,-8.562018055
-1.10474,-8.402976031
-1.10291,-8.19974119
-1.1026,-7.970013822
-1.10138,-7.775619475
-1.09985,-7.613624185
-1.09924,-7.354441373
-1.09833,-7.207173806
-1.0968,-7.098202176
-1.0965,-6.87140877
-1.09497,-6.750653032
-1.09375,-6.562155564
-1.09283,-6.470845619
-1.09192,-6.235221371
-1.0907,-6.155695534
-1.09009,-5.964254452
-1.08887,-5.83465822
-1.08795,-5.663832088
-1.08612,-5.578419022
-1.0849,-5.419367347
-1.08429,-5.272109431
-1.08307,-5.136625971
-1.08185,-5.101273648
-1.08063,-4.895104844
-1.08032,-4.792020442
-1.0788,-4.700720148
-1.07819,-4.541668472
-1.07635,-4.453311792
-1.07574,-4.397344519
-1.07483,-4.264814324
-1.07361,-4.149945815
-1.073,-4.052748641
-1.07178,-3.976166417
-1.07025,-3.823011622
-1.06934,-3.781781721
-1.06873,-3.711086726
-1.06659,-3.628626925
-1.06628,-3.487246586
-1.06567,-3.416561242
-1.06384,-3.366490848
-1.06262,-3.269293674
-1.0614,-3.180936994
-1.06079,-3.136753829
-1.05957,-3.048397149
-1.05804,-2.980655419
-1.05835,-2.924697797
-1.05682,-2.877571017
-1.0556,-2.745031171
-1.05408,-2.650777612
-1.05316,-2.650777612
-1.05194,-2.562420932
-1.05103,-2.462280144
-1.05042,-2.45343965
-1.04919,-2.382754306
-1.04797,-2.326796684
-1.04645,-2.261998568
-1.04523,-2.194256838
-1.04492,-2.147130058
-1.0437,-2.067604221
-1.04309,-2.058773378
-1.04156,-2.029317935
-1.04034,-1.914449425
-1.03943,-1.893834475
-1.03821,-1.858491803
-1.03729,-1.761294629
-1.03607,-1.705337007
-1.03516,-1.717111463
-1.03363,-1.649369734
-1.03333,-1.587524883
-1.03149,-1.543341717
-1.03119,-1.493271324
-1.03027,-1.452041423
-1.02814,-1.39607415
-1.02783,-1.431416822
-1.026,-1.360731478
-1.02509,-1.301830242
-1.02448,-1.28710252
-1.02325,-1.254703462
-1.02203,-1.19284896
-1.02081,-1.122163616
-1.0199,-1.148675446
-1.01868,-1.10449228
-1.01776,-1.039694164
-1.01685,-1.030863322
-1.01532,-0.983736542
-1.01532,-0.924827585
-1.01349,-0.904210704
-1.01288,-0.877702735
-1.01105,-0.833522465
-1.01013,-0.771671824
-1.00922,-0.786397615
-1.00891,-0.771671824
-1.00708,-0.695093461
-1.00647,-0.680366704
-1.00525,-0.668585492
-1.00403,-0.633241855
-1.00281,-0.56255458
-1.0022,-0.606733885
-1.00098,-0.541936735
-0.999756,-0.503648518
-0.999451,-0.483030673
-0.998535,-0.49775743
-0.996399,-0.418234487
-0.995178,-0.409397854
-0.994873,-0.406453275
-0.993652,-0.371108673
-0.992737,-0.300421398
-0.991211,-0.285695607
-0.98999,-0.259187638
-0.989075,-0.209117244
-0.988464,-0.185554819
-0.987549,-0.215007367
-0.986023,-0.144320093
-0.985107,-0.091304637
-0.982971,-0.094249892
-0.982971,-0.094249892
-0.980835,-0.005890625
-0.98114,-0.04123434
-0.979309,-0.008835929
-0.978394,0.014726564
-0.977478,0.055960904
-0.976563,0.032398382
-0.975342,0.085414031
-0.973816,0.132538881
-0.973206,0.126648757
-0.97229,0.108976456
-0.971069,0.209117244
-0.969849,0.203226155
-0.968628,0.200281576
-0.967712,0.217952912
-0.966187,0.265077761
-0.965881,0.235625213
-0.964661,0.259187638
-0.96344,0.282750062
-0.962524,0.315148155
-0.961609,0.27096885
-0.960083,0.341656124
-0.959778,0.368164093
-0.957947,0.374054217
-0.957031,0.33871058
-0.956421,0.438851368
-0.954895,0.421179067
-0.954285,0.409397854
-0.952454,0.435905823
-0.952148,0.453578124
-0.950623,0.438851368
-0.949707,0.488921762
-0.948486,0.494811885
-0.947266,0.483030673
-0.946655,0.483030673
-0.94574,0.51837431
-0.943909,0.56255458
-0.942993,0.530155522
-0.941772,0.556663491
-0.940857,0.594952673
-0.939941,0.56255458
-0.939026,0.577281337
-0.93811,0.577281337
-0.937195,0.627350766
-0.935974,0.606733885
-0.934753,0.63029631
-0.933228,0.650913191
-0.932312,0.639131978
-0.931396,0.63029631
-0.930481,0.692147916
-0.929565,0.706874673
-0.92865,0.653858735
-0.927429,0.698039005
-0.926208,0.718655886
-0.925293,0.686257793
-0.923767,0.703929129
-0.923157,0.74221831
-0.921936,0.736327222
-0.921326,0.72160143
-0.9198,0.753999523
-0.918274,0.780507492
-0.917358,0.739272766
-0.916443,0.765780735
-0.915527,0.795234249
-0.914307,0.801124372
-0.913086,0.774616403
-0.91217,0.824686797
-0.91095,0.845303677
-0.910034,0.786397615
-0.908508,0.812905585
-0.907288,0.824686797
-0.906982,0.818796673
-0.906067,0.807015461
-0.904846,0.839413554
-0.903625,0.857085855
-0.90271,0.827632341
-0.901794,0.842359098
-0.900574,0.871811647
-0.899048,0.854140311
-0.898438,0.854140311
-0.897217,0.915991917
-0.896606,0.907155284
-0.895386,0.883592859
-0.89386,0.892429492
-0.892944,0.930717708
-0.891724,0.898319616
-0.890503,0.913046372
-0.888977,0.933663253
-0.888977,0.94839001
-0.887146,0.915991917
-0.886536,0.942499886
-0.88562,0.957225678
-0.884705,0.927773129
-0.883484,0.936608797
-0.881958,0.966065206
-0.881042,0.974896048
-0.879822,0.963116766
-0.879211,0.986680156
-0.878296,1.007295106
-0.87677,0.954281098
-0.875244,0.992567384
-0.874634,1.024966442
-0.873413,0.983736542
-0.872498,0.974896048
-0.871582,1.022022828
-0.870361,1.001407878
-0.869446,1.004351492
-0.86853,1.030863322
-0.867615,1.042637778
-0.866089,1.022022828
-0.865479,1.019079214
-0.864258,1.066205994
-0.862427,1.069149608
-0.862122,1.03675055
-0.859985,1.060309114
-0.85968,1.0573655
-0.85907,1.042637778
-0.858154,1.0573655
-0.856628,1.08387733
-0.856018,1.048534658
-0.854187,1.051478272
-0.852661,1.08387733
-0.852356,1.086820944
-0.85144,1.063252729
-0.849915,1.092708172
-0.848999,1.12510723
-0.848694,1.113323122
-0.846863,1.066205994
-0.845947,1.13100411
-0.844727,1.142778566
-0.843811,1.101548666
-0.842896,1.116276388
-0.841675,1.14572218
-0.840759,1.098605052
-0.839233,1.133947724
-0.838318,1.160449902
-0.837708,1.15161906
-0.836792,1.133947724
-0.834961,1.154562674
-0.834351,1.195792574
-0.832825,1.15161906
-0.831909,1.163393516
-0.831299,1.21936079
-0.829468,1.157506288
-0.829163,1.17223401
-0.827942,1.204633068
-0.826721,1.21346391
-0.825806,1.181064852
-0.82428,1.210520296
-0.823364,1.242919354
-0.822449,1.216417176
-0.821228,1.195792574
-0.820007,1.251759848
-0.819397,1.257647076
-0.818176,1.210520296
-0.81665,1.23997574
-0.81543,1.275318412
-0.814514,1.228191632
-0.814209,1.251759848
-0.812988,1.278262026
-0.811462,1.290046134
-0.811157,1.28120564
-0.809631,1.28710252
-0.808716,1.298886627
-0.80719,1.278262026
-0.80658,1.298886627
-0.805359,1.32833242
-0.803833,1.316557963
-0.802917,1.304773856
-0.802307,1.351900635
-0.801086,1.363675092
-0.800171,1.343060142
-0.799255,1.357787864
-0.797729,1.387243307
-0.797119,1.372515586
-0.795593,1.372515586
-0.794678,1.399017764
-0.793152,1.416698751
-0.791931,1.381346428
-0.791016,1.407858258
-0.790405,1.422585979
-0.789185,1.404914643
-0.788269,1.413745486
-0.787048,1.466769145
-0.786133,1.434370087
-0.784912,1.437313701
-0.783997,1.457928652
-0.782776,1.513886274
-0.78186,1.457928652
-0.780945,1.481487216
-0.779419,1.513886274
-0.778809,1.490327709
-0.777588,1.481487216
-0.776367,1.513886274
-0.775452,1.499158552
-0.774231,1.496214938
-0.77301,1.522726767
-0.772095,1.558069439
-0.771179,1.534510875
-0.769958,1.540398103
-0.769348,1.590468497
-0.768127,1.611083447
-0.766907,1.555125825
-0.765991,1.590468497
-0.765076,1.608139833
-0.763855,1.59929934
-0.762024,1.596355725
-0.761108,1.631698398
-0.759888,1.611083447
-0.758972,1.611083447
-0.758362,1.631698398
-0.757446,1.661153841
-0.755615,1.628754783
-0.7547,1.646426119
-0.754089,1.699440127
-0.753174,1.696496513
-0.751648,1.66704107
-0.750732,1.708280621
-0.749786,1.711224235
-0.748688,1.693552899
-0.747589,1.717111463
-0.746613,1.720064729
-0.745483,1.705337007
-0.744476,1.714167849
-0.743347,1.776022351
-0.742218,1.758351015
-0.741241,1.740679679
-0.740173,1.778965965
-0.739105,1.808421409
-0.738007,1.761294629
-0.736938,1.796637301
-0.735931,1.823149131
-0.734833,1.802534181
-0.733704,1.796637301
-0.732727,1.837876853
-0.731598,1.852604574
-0.73053,1.817252251
-0.729492,1.840820467
-0.728455,1.879106753
-0.727325,1.831979973
-0.726257,1.852604574
-0.725281,1.911505811
-0.724152,1.905618583
-0.723022,1.852604574
-0.721985,1.908562197
-0.720886,1.949792097
-0.719849,1.923289919
-0.718842,1.926233533
-0.717712,1.958632591
-0.716675,1.967463433
-0.715515,1.932120761
-0.714569,1.979247541
-0.71344,1.988088034
-0.712402,1.973360312
-0.711334,1.967463433
-0.710297,2.032261549
-0.709198,2.008702984
-0.708069,1.991031648
-0.707123,2.046989271
-0.705994,2.082331943
-0.704865,2.011646599
-0.703857,2.046989271
-0.702728,2.0735011
-0.701691,2.058773378
-0.700684,2.079388329
-0.699585,2.105900158
-0.698547,2.117674615
-0.697418,2.088228822
-0.696381,2.117674615
-0.695282,2.150073673
-0.694244,2.12062788
-0.693115,2.114731001
-0.692139,2.170698274
-0.69104,2.153017287
-0.689911,2.144186444
-0.688904,2.18836961
-0.687866,2.20898456
-0.686737,2.170698274
-0.685699,2.185416345
-0.684601,2.223712282
-0.683533,2.220768668
-0.682465,2.191313224
-0.681366,2.244327232
-0.680328,2.261998568
-0.67926,2.223712282
-0.678192,2.241383618
-0.677185,2.282613518
-0.676056,2.267885796
-0.674988,2.273782676
-0.67392,2.31795619
-0.672821,2.32385307
-0.671783,2.282613518
-0.670776,2.329740298
-0.669647,2.356252128
-0.668579,2.326796684
-0.66748,2.332683912
-0.666412,2.382754306
-0.665344,2.356252128
-0.664337,2.326796684
-0.663269,2.376867078
-0.662201,2.394538414
-0.661072,2.353298862
-0.660065,2.400425642
-0.658905,2.421040592
-0.657837,2.429881086
-0.656799,2.388651186
-0.655731,2.45343965
-0.654694,2.45343965
-0.653564,2.435768314
-0.652527,2.45933653
-0.65152,2.503510044
-0.650421,2.450496036
-0.649323,2.482895094
-0.648285,2.506463309
-0.647247,2.506463309
-0.646179,2.474064251
-0.645081,2.530021874
-0.644043,2.54769321
-0.642914,2.530021874
-0.641907,2.535909102
-0.640808,2.577148653
-0.63974,2.574205039
-0.638641,2.556533703
-0.637573,2.600707218
-0.636444,2.603650832
-0.635437,2.577148653
-0.634277,2.597763604
-0.633362,2.647833997
-0.632233,2.61543494
-0.631165,2.594819989
-0.630157,2.671392562
-0.628998,2.659618105
-0.62793,2.641946769
-0.626923,2.677289441
-0.625885,2.724416221
-0.624786,2.683176669
-0.623688,2.697904391
-0.622681,2.721462956
-0.621552,2.718519342
-0.620544,2.727359835
-0.619476,2.745031171
-0.618378,2.774486615
-0.61731,2.742087557
-0.616241,2.768589735
-0.615173,2.812772901
-0.614105,2.77153335
-0.613037,2.768589735
-0.612,2.821603743
-0.610901,2.868730523
-0.609863,2.824557009
-0.608734,2.848115573
-0.607697,2.886401859
-0.606628,2.883458245
-0.60556,2.862843295
-0.604523,2.912913689
-0.603394,2.918800917
-0.602417,2.895242353
-0.601379,2.939415867
-0.60025,2.989486261
-0.599213,2.960040469
-0.598145,2.960040469
-0.597046,3.010110863
-0.595917,3.018941705
-0.59491,2.977711805
-0.593903,3.015998091
-0.592804,3.057227991
-0.591675,3.04250992
-0.590637,3.071955713
-0.589569,3.101411157
-0.588562,3.11025165
-0.587433,3.080796207
-0.586395,3.127922986
-0.585297,3.148537937
-0.584259,3.119082493
-0.583191,3.163265658
-0.582123,3.207439173
-0.581024,3.186824223
-0.580017,3.228063774
-0.578888,3.231007388
-0.57785,3.275180903
-0.576843,3.222166895
-0.575714,3.28696501
-0.574646,3.31347684
-0.573517,3.295805504
-0.57254,3.289908625
-0.571411,3.351763126
-0.570374,3.331148176
-0.569305,3.345875898
-0.568268,3.387105798
-0.567169,3.434232578
-0.566101,3.407720748
-0.565094,3.42244847
-0.563995,3.463688022
-0.562927,3.44306342
-0.561859,3.44306342
-0.56076,3.499030694
-0.559692,3.531429752
-0.558685,3.519645644
-0.557556,3.540260594
-0.556488,3.587387374
-0.55545,3.540260594
-0.554382,3.560885195
-0.553314,3.590330988
-0.552246,3.637457768
-0.551208,3.590330988
-0.55011,3.634514154
-0.549011,3.669856826
-0.547943,3.666913212
-0.546967,3.661016332
-0.545868,3.749382663
-0.5448,3.734654941
-0.543671,3.711086726
-0.542664,3.755269892
-0.541595,3.796509443
-0.540527,3.752326278
-0.539429,3.828908501
-0.538391,3.843626572
-0.537354,3.825955236
-0.536255,3.796509443
-0.535126,3.878978895
-0.534119,3.887809737
-0.533081,3.864251173
-0.532013,3.899593845
-0.530914,3.955551467
-0.529846,3.917265181
-0.528748,3.929039638
-0.527771,3.993837753
-0.526672,3.982063297
-0.525635,3.967335575
-0.524567,4.008565475
-0.523468,4.052748641
-0.522308,3.996791019
-0.521332,4.023293197
-0.520264,4.108706263
-0.519165,4.096931807
-0.518127,4.082204085
-0.51709,4.138161707
-0.515991,4.144048935
-0.514923,4.105762649
-0.513855,4.158776657
-0.512787,4.173504379
-0.511719,4.176447993
-0.510681,4.182344872
-0.509613,4.229462001
-0.508484,4.208847051
-0.507446,4.197062943
-0.506378,4.229462001
-0.505341,4.285429274
-0.504242,4.244189723
-0.503143,4.28248566
-0.502167,4.332556054
-0.501038,4.323715561
-0.499969,4.300156996
-0.498962,4.362001847
-0.497864,4.356114618
-0.496796,4.347274125
-0.495697,4.362001847
-0.494659,4.406185012
-0.493622,4.388513676
-0.492493,4.376729569
-0.491486,4.435640456
-0.490417,4.465086249
-0.489319,4.435640456
-0.488312,4.444471299
-0.487213,4.491598078
-0.486115,4.468039514
-0.485077,4.476870356
-0.484039,4.529884364
-0.483002,4.535781244
-0.481842,4.503382186
-0.480835,4.57406753
-0.479706,4.585851638
-0.478668,4.541668472
-0.477661,4.538724858
-0.476532,4.632978418
-0.475464,4.603522974
-0.474426,4.577011144
-0.473358,4.632978418
-0.47229,4.656536982
-0.471191,4.627081538
-0.470154,4.64180926
-0.469116,4.697766882
-0.467987,4.697766882
-0.466949,4.665367824
-0.465942,4.73606282
-0.464813,4.75667777
-0.463684,4.712494604
-0.462708,4.750790541
-0.461578,4.768461877
-0.460571,4.727222326
-0.459503,4.759621384
-0.458435,4.821475886
-0.457397,4.800860935
-0.456268,4.768461877
-0.455231,4.80380455
-0.454193,4.862705786
-0.453033,4.830306728
-0.452026,4.830306728
-0.450958,4.886274001
-0.44986,4.8656494
-0.448822,4.853874943
-0.447754,4.874489894
-0.446655,4.903945337
-0.445618,4.856818558
-0.44458,4.901001723
-0.443512,4.936344395
-0.442352,4.93339113
-0.441315,4.903945337
-0.440277,4.962846574
-0.43924,4.974630681
-0.43811,4.945175238
-0.437103,4.968743453
-0.436066,5.009973353
-0.434906,4.954015731
-0.433899,4.983461524
-0.432831,4.992302017
-0.431702,5.004086125
-0.430695,5.00113286
-0.429657,5.015860582
-0.428558,5.015860582
-0.42746,5.009973353
-0.426422,4.995245632
-0.425323,5.065930976
-0.424286,5.04825964
-0.423157,5.015860582
-0.422211,5.068884241
-0.421112,5.101273648
-0.420013,5.051203254
-0.418915,5.036485183
-0.417938,5.095386419
-0.416779,5.089499191
-0.41571,5.086555577
-0.414734,5.113057755
-0.413605,5.098330033
-0.412537,5.039428797
-0.41156,5.071827855
-0.410492,5.157240921
-0.409363,5.083602312
-0.408295,5.080658697
-0.407257,5.104226913
-0.406128,5.142513199
-0.405121,5.086555577
-0.404053,5.124841863
-0.402954,5.139569585
-0.401947,5.089499191
-0.400848,5.098330033
-0.39975,5.142513199
-0.398682,5.113057755
-0.397644,5.086555577
-0.396576,5.118954635
-0.395508,5.151344042
-0.394409,5.083602312
-0.393402,5.080658697
-0.392303,5.151344042
-0.391296,5.110114141
-0.390167,5.071827855
-0.38913,5.121898249
-0.388062,5.127785477
-0.386963,5.092442805
-0.385925,5.107170527
-0.384857,5.139569585
-0.383789,5.107170527
-0.382721,5.077715083
-0.381622,5.139569585
-0.380585,5.121898249
-0.379486,5.045316025
-0.378448,5.074771469
-0.377319,5.104226913
-0.376282,5.068884241
-0.375244,5.057100133
-0.374146,5.098330033
-0.373108,5.086555577
-0.37204,5.04825964
-0.370972,5.083602312
-0.369904,5.074771469
-0.368805,5.04825964
-0.367798,5.045316025
-0.36673,5.054156519
-0.365601,5.018813847
-0.364563,5.007029739
-0.363495,5.021757461
-0.362457,5.045316025
-0.361389,4.974630681
-0.360321,4.995245632
-0.359253,5.021757461
-0.358185,4.992302017
-0.357147,4.983461524
-0.356079,5.033531918
-0.35498,4.986414789
-0.353882,4.968743453
-0.352844,4.968743453
-0.351776,4.974630681
-0.350708,4.91277618
-0.34964,4.91277618
-0.348633,4.954015731
-0.347504,4.918673059
-0.346466,4.886274001
-0.345398,4.924560287
-0.34436,4.93339113
-0.343231,4.880377122
-0.342163,4.868602665
-0.341156,4.889217615
-0.340057,4.853874943
-0.33902,4.850931329
-0.337982,4.868602665
-0.336823,4.836203607
-0.335785,4.800860935
-0.334717,4.818532271
-0.333679,4.812635392
-0.332581,4.77729272
-0.331573,4.753734156
-0.330475,4.786133213
-0.329346,4.771405492
-0.328339,4.741950048
-0.327271,4.762564998
-0.326233,4.744893662
-0.325104,4.721335098
-0.324066,4.697766882
-0.323059,4.724278712
-0.32193,4.712494604
-0.320862,4.653593368
-0.319824,4.677151932
-0.318726,4.680095546
-0.317627,4.632978418
-0.31665,4.630025152
-0.315552,4.66832109
-0.314514,4.650649754
-0.313385,4.591738866
-0.312378,4.618250696
-0.311279,4.630025152
-0.310089,4.550508966
-0.309113,4.568180302
-0.308014,4.571123916
-0.306915,4.5063258
-0.305908,4.535781244
-0.304871,4.547555701
-0.303741,4.521053522
-0.302704,4.476870356
-0.301666,4.48571085
-0.300537,4.500438572
-0.299469,4.447414913
-0.298462,4.447414913
-0.297394,4.476870356
-0.296326,4.441527684
-0.295227,4.391457291
-0.294128,4.41796912
-0.293152,4.420912734
-0.291992,4.359058233
-0.290955,4.400297784
-0.289886,4.382626448
-0.28891,4.347274125
-0.287781,4.338443282
-0.286743,4.338443282
-0.285614,4.344330511
-0.284576,4.285429274
-0.283539,4.288372889
-0.282471,4.317828332
-0.281342,4.285429274
-0.280334,4.241246109
-0.279297,4.276588781
-0.278198,4.247133337
-0.27713,4.229462001
-0.276062,4.241246109
-0.274994,4.235358881
-0.273895,4.188232101
-0.272919,4.188232101
-0.27182,4.211790665
-0.270691,4.164673536
-0.269653,4.1470022
-0.268616,4.158776657
-0.267487,4.167617151
-0.266418,4.091034927
-0.265381,4.096931807
-0.264282,4.135218093
-0.263184,4.096931807
-0.262238,4.067476363
-0.261078,4.096931807
-0.260071,4.073363591
-0.258972,4.043908147
-0.257874,4.035077305
-0.256836,4.067476363
-0.255798,3.993837753
-0.254669,3.979110032
-0.253662,3.990894139
-0.252563,4.014462355
-0.251526,3.946720625
-0.250488,3.982063297
-0.24939,3.990894139
-0.248291,3.952607853
-0.247253,3.920208795
-0.246185,3.946720625
-0.245117,3.914321567
-0.24408,3.902537459
-0.242981,3.896650231
-0.241913,3.896650231
-0.240875,3.840682958
-0.239807,3.840682958
-0.238739,3.849523451
-0.237671,3.817124393
-0.236572,3.802396671
-0.235535,3.828908501
-0.234406,3.823011622
-0.233368,3.752326278
-0.232361,3.752326278
-0.231262,3.78766895
-0.230164,3.746439049
-0.229126,3.737598556
-0.228088,3.737598556
-0.226959,3.711086726
-0.225922,3.661016332
-0.224915,3.699312269
-0.223755,3.699312269
-0.222748,3.661016332
-0.221741,3.649241876
-0.220642,3.675744054
-0.219543,3.63157054
-0.218475,3.58444376
-0.217407,3.610955589
-0.216339,3.63157054
-0.21524,3.575603266
-0.214172,3.569716038
-0.213104,3.599171482
-0.212036,3.540260594
-0.210999,3.513758416
-0.209991,3.53731698
-0.208862,3.53731698
-0.207855,3.487246586
-0.206787,3.481359358
-0.205688,3.519645644
-0.20462,3.478415744
-0.203583,3.440119806
-0.202484,3.481359358
-0.201447,3.475462478
-0.200348,3.416561242
-0.199219,3.419504856
-0.198212,3.410674014
-0.197144,3.387105798
-0.196106,3.384162184
-0.195038,3.395946292
-0.193939,3.384162184
-0.192871,3.322307683
-0.191772,3.339979019
-0.190765,3.35470674
-0.189697,3.28696501
-0.188599,3.304636347
-0.1875,3.337035404
-0.186523,3.28696501
-0.185394,3.257509567
-0.184357,3.278134168
-0.183228,3.295805504
-0.18219,3.222166895
-0.181152,3.231007388
-0.180023,3.251622338
-0.178986,3.210392438
-0.177979,3.192721102
-0.17688,3.231007388
-0.175751,3.19860833
-0.174744,3.145594322
-0.173737,3.154425165
-0.172607,3.175040115
-0.171509,3.122026107
-0.170471,3.107298385
-0.169373,3.139697443
-0.168365,3.107298385
-0.167267,3.060181256
-0.16626,3.083739821
-0.165161,3.092580314
-0.164063,3.054284377
-0.163086,3.036613041
-0.162018,3.071955713
-0.160858,3.030725813
-0.159851,3.010110863
-0.158722,3.010110863
-0.157715,3.033669427
-0.156616,2.965927697
-0.155609,2.974768191
-0.15451,3.021885319
-0.153412,2.977711805
-0.152405,2.948256361
-0.151276,2.980655419
-0.150177,2.954143589
-0.149139,2.909970075
-0.148041,2.901129581
-0.147034,2.936472253
-0.145905,2.851059187
-0.144928,2.874627403
-0.14386,2.889345473
-0.142761,2.862843295
-0.141724,2.839275079
-0.140625,2.862843295
-0.139587,2.865786909
-0.138489,2.818660129
-0.137421,2.806885673
-0.136414,2.836331465
-0.135284,2.798045179
-0.134216,2.792157951
-0.13324,2.792157951
-0.13208,2.795101565
-0.131042,2.762702507
-0.130005,2.756815279
-0.128937,2.762702507
-0.127869,2.747974785
-0.12674,2.70379162
-0.125763,2.736190678
-0.124634,2.739134292
-0.123535,2.653721226
-0.122528,2.686120284
-0.12146,2.750918399
-0.120392,2.650777612
-0.119324,2.641946769
-0.118225,2.653721226
-0.117157,2.665505333
-0.116089,2.618378554
-0.115021,2.621322168
-0.113983,2.633106276
-0.112854,2.600707218
-0.111847,2.585979496
-0.11084,2.61543494
-0.10965,2.600707218
-0.108612,2.571251774
-0.107574,2.585979496
-0.106476,2.594819989
-0.105316,2.535909102
-0.104431,2.54769321
-0.103271,2.559477317
-0.102203,2.532965488
-0.101135,2.515294152
-0.100128,2.538862367
-0.0990601,2.518237766
-0.0979309,2.482895094
-0.0968628,2.488791973
-0.0958557,2.524134645
-0.0947876,2.465223758
-0.093689,2.465223758
-0.0926819,2.50056643
-0.0915222,2.474064251
-0.0905151,2.444608808
-0.0894165,2.45343965
-0.0883484,2.468167372
-0.0872498,2.423993858
-0.0862122,2.421040592
-0.0851746,2.462280144
-0.0841064,2.409266136
-0.0830688,2.400425642
-0.0820007,2.423993858
-0.0809326,2.435768314
-0.0798035,2.376867078
-0.0787964,2.38569792
-0.0777893,2.429881086
-0.0766296,2.376867078
-0.0755615,2.347411634
-0.0745239,2.379810692
-0.0735168,2.394538414
-0.0724182,2.356252128
-0.0713501,2.356252128
-0.0701904,2.359195742
-0.0692139,2.335627526
-0.0681458,2.31795619
-0.0671692,2.350355248
-0.065979,2.31795619
-0.0649414,2.303228468
-0.0638428,2.315012576
-0.0627747,2.315012576
-0.0617371,2.27672629
-0.0606384,2.279669904
-0.0596008,2.309125348
-0.0585022,2.300284854
-0.0574036,2.253158075
-0.056366,2.300284854
-0.0552979,2.288510398
-0.0542297,2.253158075
-0.0532227,2.247270846
-0.0521545,2.288510398
-0.0510864,2.226655896
-0.0499878,2.244327232
-0.0488983,2.25021446
-0.0478241,2.244327232
-0.046759,2.203087681
-0.0457214,2.226655896
-0.0446411,2.25611134
-0.0435486,2.22959951
-0.0424927,2.194256838
-0.0414429,2.22959951
-0.0403656,2.235486738
-0.0392731,2.167745009
-0.0382385,2.200144066
-0.0371613,2.20898456
-0.0360748,2.158914166
-0.0350342,2.170698274
-0.0339569,2.200144066
-0.032901,2.206040946
-0.0318115,2.14124283
-0.0307617,2.176585502
-0.0296753,2.18247273
-0.0286194,2.167745009
-0.0275848,2.167745009
-0.0265228,2.18836961
-0.0254333,2.176585502
-0.0243774,2.164801394
-0.0233154,2.16185778
-0.0222382,2.150073673
-0.0211609,2.135345951
-0.0201324,2.164801394
-0.0190399,2.158914166
-0.0179657,2.132402337
-0.0168915,2.091172436
-0.0158417,2.155970552
-0.0147766,2.14124283
-0.0136932,2.12062788
-0.0126373,2.129458722
-0.0115753,2.176585502
-0.0104858,2.102956544
-0.00944824,2.102956544
-0.0084198,2.123571494
-0.00731812,2.126515108
-0.00622864,2.09411605
-0.00519714,2.111787386
-0.00410767,2.117674615
-0.00305176,2.09411605
-0.0019989,2.09411605
-0.000918579,2.126515108
0.000167847,2.105900158
0.0012146,2.079388329
0.00227356,2.108843772
0.00336609,2.126515108
0.00444336,2.091172436
0.00549011,2.12062788
0.00656738,2.12062788
0.00763855,2.097059665
0.00871582,2.09411605
0.00976257,2.117674615
0.0108063,2.108843772
0.0119019,2.076444714
0.0129486,2.076444714
0.0140198,2.114731001
0.0151154,2.097059665
0.0161621,2.067604221
0.0172516,2.102956544
0.0182953,2.108843772
0.0193787,2.064660607
0.0204529,2.091172436
0.0214966,2.105900158
0.0226074,2.070557486
0.0236664,2.070557486
0.0247223,2.123571494
0.0257965,2.102956544
0.0268707,2.079388329
0.0279236,2.102956544
