"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.250458,-3.098467543
-0.251556,-3.048397149
-0.252563,-3.048397149
-0.253662,-3.101411157
-0.2547,-3.086683435
-0.255768,-3.039556655
-0.256897,-3.107298385
-0.257965,-3.113195264
-0.258972,-3.092580314
-0.26004,-3.104354771
-0.261139,-3.142650708
-0.262177,-3.148537937
-0.263245,-3.127922986
-0.264374,-3.17799338
-0.265411,-3.163265658
-0.266449,-3.151481551
-0.267517,-3.157368779
-0.268555,-3.19860833
-0.269623,-3.163265658
-0.270691,-3.151481551
-0.27179,-3.236894617
-0.272888,-3.180936994
-0.273895,-3.163265658
-0.275024,-3.201551945
-0.276093,-3.231007388
-0.27713,-3.189767837
-0.278168,-3.192721102
-0.279236,-3.231007388
-0.280334,-3.228063774
-0.281433,-3.210392438
-0.28241,-3.257509567
-0.283508,-3.281077782
-0.284546,-3.231007388
-0.285675,-3.225110509
-0.286713,-3.284021396
-0.287781,-3.275180903
-0.288879,-3.257509567
-0.289886,-3.295805504
-0.290955,-3.322307683
-0.292053,-3.304636347
-0.293091,-3.322307683
-0.294189,-3.345875898
-0.295319,-3.319364068
-0.296295,-3.325251297
-0.297394,-3.395946292
-0.298431,-3.378274956
-0.299561,-3.322307683
-0.300537,-3.384162184
-0.301636,-3.416561242
-0.302704,-3.363547234
-0.303772,-3.384162184
-0.30481,-3.431288964
-0.305908,-3.425392084
-0.307007,-3.390049412
-0.308044,-3.434232578
-0.309082,-3.475462478
-0.310242,-3.451903914
-0.311249,-3.42244847
-0.312317,-3.487246586
-0.313416,-3.460744408
-0.314484,-3.44306342
-0.315521,-3.493133814
-0.316559,-3.4901902
-0.317719,-3.466631636
-0.318726,-3.522589258
-0.319794,-3.56382881
-0.320892,-3.540260594
-0.32196,-3.525532872
-0.322998,-3.55793193
-0.324005,-3.578556532
-0.325165,-3.56382881
-0.326141,-3.602115096
-0.327301,-3.646298261
-0.328369,-3.593274602
-0.329407,-3.60505871
-0.330414,-3.65218549
-0.331543,-3.637457768
-0.332611,-3.608002324
-0.333649,-3.678697319
-0.334808,-3.702255884
-0.335754,-3.661016332
-0.336884,-3.681640933
-0.337952,-3.705199498
-0.33905,-3.705199498
-0.340057,-3.684584548
-0.341064,-3.758213506
-0.342224,-3.769997614
-0.343231,-3.737598556
-0.344299,-3.767053999
-0.345367,-3.814180779
-0.346436,-3.764110385
-0.347504,-3.758213506
-0.348602,-3.814180779
-0.349701,-3.799453057
-0.350708,-3.775884842
-0.351746,-3.811227514
-0.352905,-3.831852115
-0.353973,-3.796509443
-0.355011,-3.837739343
-0.356049,-3.87602563
-0.357086,-3.861297908
-0.358185,-3.846579837
-0.359283,-3.849523451
-0.360291,-3.881922509
-0.361389,-3.855410679
-0.362396,-3.867194787
-0.363464,-3.902537459
-0.364624,-3.893696966
-0.365631,-3.849523451
-0.366699,-3.917265181
-0.367767,-3.929039638
-0.368835,-3.870138401
-0.369904,-3.896650231
-0.371033,-3.979110032
-0.372009,-3.940823745
-0.373138,-3.937880131
-0.374176,-3.985006911
-0.375244,-3.993837753
-0.376251,-3.955551467
-0.377411,-3.973222803
-0.378418,-4.026236811
-0.379517,-3.993837753
-0.380585,-3.985006911
-0.381653,-4.061579483
-0.382751,-4.005621861
-0.383789,-3.993837753
-0.384857,-4.002678247
-0.385986,-4.058635869
-0.386993,-4.035077305
-0.388031,-4.055692255
-0.389099,-4.070419977
-0.390167,-4.093978541
-0.391205,-4.096931807
-0.392334,-4.129321213
-0.393372,-4.129321213
-0.39447,-4.085147699
-0.395508,-4.093978541
-0.396667,-4.114603143
-0.397644,-4.061579483
-0.398712,-4.076307205
-0.399719,-4.132274479
-0.400879,-4.141105321
-0.401917,-4.091034927
-0.402985,-4.126377599
-0.404022,-4.179391607
-0.405121,-4.155833043
-0.406158,-4.135218093
-0.407257,-4.197062943
-0.408295,-4.155833043
-0.409332,-4.144048935
-0.410431,-4.197062943
-0.411438,-4.205903437
-0.412567,-4.155833043
-0.413635,-4.194119329
-0.414673,-4.211790665
-0.415741,-4.21474393
-0.416809,-4.188232101
-0.417908,-4.220631159
-0.418945,-4.253030217
-0.419983,-4.191175715
-0.421112,-4.229462001
-0.42215,-4.276588781
-0.423218,-4.232415266
-0.424347,-4.226518387
-0.425323,-4.264814324
-0.426453,-4.258917445
-0.42749,-4.197062943
-0.428528,-4.235358881
-0.429657,-4.261861059
-0.430756,-4.238302495
-0.431763,-4.232415266
-0.4328,-4.250086602
-0.43396,-4.250086602
-0.434937,-4.235358881
-0.436096,-4.258917445
-0.437164,-4.285429274
-0.438202,-4.261861059
-0.43924,-4.244189723
-0.440277,-4.323715561
-0.441406,-4.253030217
-0.442444,-4.232415266
-0.443481,-4.28248566
-0.444611,-4.28248566
-0.445679,-4.250086602
-0.446686,-4.238302495
-0.447784,-4.264814324
-0.448822,-4.235358881
-0.449951,-4.238302495
-0.450989,-4.244189723
-0.452026,-4.270701553
-0.453125,-4.202959823
-0.454132,-4.238302495
-0.4552,-4.258917445
-0.456329,-4.21474393
-0.457397,-4.21474393
-0.458466,-4.279532395
-0.459503,-4.267757938
-0.460632,-4.226518387
-0.461609,-4.261861059
-0.462646,-4.273645167
-0.463745,-4.255973831
-0.464752,-4.229462001
-0.465881,-4.270701553
-0.466949,-4.241246109
-0.467987,-4.208847051
-0.469147,-4.238302495
-0.470123,-4.247133337
-0.471191,-4.182344872
-0.47229,-4.188232101
-0.473419,-4.220631159
-0.474518,-4.179391607
-0.475464,-4.1470022
-0.476532,-4.194119329
-0.477631,-4.179391607
-0.478699,-4.152889429
-0.479706,-4.161720271
-0.480804,-4.205903437
-0.481903,-4.1470022
-0.482941,-4.152889429
-0.483978,-4.173504379
-0.485046,-4.149945815
-0.486145,-4.099875421
-0.487213,-4.141105321
-0.488281,-4.129321213
-0.48938,-4.108706263
-0.490387,-4.058635869
-0.491516,-4.132274479
-0.492554,-4.082204085
-0.493591,-4.064532749
-0.49469,-4.082204085
-0.495697,-4.108706263
-0.496826,-4.067476363
-0.497894,-4.079250819
-0.498901,-4.091034927
-0.499969,-4.076307205
-0.501068,-4.020349583
-0.502136,-4.085147699
-0.503235,-4.052748641
-0.504242,-3.999734633
-0.505341,-4.029180425
-0.506439,-4.067476363
-0.507507,-3.990894139
-0.508484,-3.993837753
-0.509613,-4.014462355
-0.510681,-4.002678247
-0.511749,-3.979110032
-0.512787,-3.996791019
-0.513885,-3.999734633
-0.514984,-3.967335575
-0.515991,-3.958495081
-0.517059,-4.017405969
-0.518158,-3.973222803
-0.519196,-3.931992903
-0.520233,-3.970279189
-0.521393,-3.973222803
-0.52243,-3.890753351
-0.523499,-3.914321567
-0.524506,-3.929039638
-0.525543,-3.923152409
-0.526672,-3.881922509
-0.52774,-3.911368302
-0.528778,-3.914321567
-0.529907,-3.881922509
-0.530945,-3.896650231
-0.532043,-3.929039638
-0.533112,-3.881922509
-0.534149,-3.834795729
-0.535217,-3.911368302
-0.536255,-3.881922509
-0.537354,-3.843626572
-0.538391,-3.884866123
-0.539429,-3.893696966
-0.540466,-3.852467065
-0.541595,-3.861297908
-0.542603,-3.887809737
-0.543732,-3.873082015
-0.544769,-3.837739343
-0.545898,-3.867194787
-0.546967,-3.884866123
-0.548035,-3.840682958
-0.548981,-3.840682958
-0.55011,-3.881922509
-0.551208,-3.834795729
-0.552246,-3.76115712
-0.553345,-3.825955236
-0.554443,-3.855410679
-0.55545,-3.799453057
-0.556458,-3.8082839
-0.557648,-3.805340286
-0.558655,-3.734654941
-0.559723,-3.716983605
-0.56073,-3.755269892
-0.561829,-3.749382663
-0.562958,-3.705199498
-0.563934,-3.743485784
-0.565094,-3.746439049
-0.566101,-3.699312269
-0.567169,-3.69341539
-0.568268,-3.722870834
-0.569336,-3.702255884
-0.570404,-3.643344996
-0.571411,-3.690471776
-0.57254,-3.681640933
-0.573547,-3.63157054
-0.574646,-3.613899204
-0.575714,-3.655129104
-0.576813,-3.658072718
-0.57785,-3.649241876
-0.578949,-3.65218549
-0.580017,-3.669856826
-0.581055,-3.640401382
-0.582092,-3.646298261
-0.583191,-3.684584548
-0.584259,-3.649241876
-0.585388,-3.637457768
-0.586334,-3.675744054
-0.587463,-3.67280044
-0.588531,-3.610955589
-0.589569,-3.655129104
-0.590637,-3.666913212
-0.591705,-3.661016332
-0.592804,-3.65218549
-0.593872,-3.669856826
-0.594971,-3.649241876
-0.595947,-3.63157054
-0.597015,-3.666913212
-0.598114,-3.687528162
-0.599213,-3.640401382
-0.60025,-3.640401382
-0.601318,-3.67280044
-0.602386,-3.681640933
-0.603424,-3.65218549
-0.604523,-3.663969597
-0.605652,-3.699312269
-0.606659,-3.663969597
-0.607727,-3.661016332
-0.608826,-3.666913212
-0.609863,-3.67280044
-0.610962,-3.666913212
-0.611969,-3.722870834
-0.613068,-3.708143112
-0.614136,-3.666913212
-0.615143,-3.699312269
-0.616272,-3.728767713
-0.61731,-3.690471776
-0.618408,-3.69341539
-0.619415,-3.737598556
-0.620483,-3.734654941
-0.621552,-3.699312269
-0.622681,-3.690471776
-0.623749,-3.716983605
-0.624817,-3.705199498
-0.625916,-3.687528162
-0.626892,-3.758213506
-0.627991,-3.728767713
-0.629059,-3.702255884
-0.630066,-3.764110385
-0.631226,-3.758213506
-0.632202,-3.722870834
