time (min),Temperature (K),time (min),2 m/z,18 m/z,36 m/z
,,739.82275,0.687031993,0.281821163,2.373031028
,,741.6307167,0.655956622,0.278478251,2.350293373
,,743.4386833,0.597893425,0.276607453,2.517329403
,,745.24665,0.566701991,0.282426415,2.890818252
,,747.0546167,0.553647164,0.301484535,3.754234963
,,748.8625833,0.576296046,0.296008226,3.503246573
,,750.67055,0.625712165,0.286909135,3.141600136
,,752.4785167,0.704800093,0.284882775,2.905296756
,,754.2864833,0.626011996,0.276485661,2.593075986
,,756.09445,0.615107144,0.275123541,2.526670499
,,757.9024167,0.639042695,0.28235508,2.495170168
,,759.7103833,0.581106546,0.272626277,2.498490104
,,761.51835,0.470765316,0.274239687,2.449861998
,,763.3263167,0.399660237,0.274772082,2.544968224
,,765.1342833,0.342918932,0.278248536,2.496177787
,,766.94225,0.305519322,0.273542049,2.382471447
,,768.7502167,0.273229623,0.262646521,2.213444311
