Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.702362,0.030188,94.495,2.45E+00,94.451,2.48E+00,94.612,1.97E+00
0.704803,0.0305176,94.811,2.47E+00,94.767,2.35E+00,94.928,2.17E+00
0.707245,0.0307739,95.126,2.61E+00,95.082,2.25E+00,95.243,2.19E+00
0.709686,0.0310181,95.442,2.61E+00,95.398,2.31E+00,95.559,2.21E+00
0.712128,0.0312347,95.758,2.73E+00,95.713,2.34E+00,95.875,2.57E+00
0.714569,0.0314178,96.073,2.30E+00,96.029,2.41E+00,96.19,2.54E+00
0.71701,0.0315735,96.389,2.14E+00,96.345,2.48E+00,96.506,2.63E+00
0.719452,0.0317169,96.704,2.19E+00,96.66,2.44E+00,96.821,2.59E+00
0.721893,0.0318359,97.02,2.17E+00,96.976,2.46E+00,97.137,2.36E+00
0.724335,0.0319214,97.336,2.02E+00,97.291,2.53E+00,97.453,2.19E+00
0.726776,0.0320099,97.651,2.34E+00,97.607,2.51E+00,97.768,2.17E+00
0.729218,0.0321075,97.967,2.30E+00,97.923,2.59E+00,98.084,2.26E+00
0.731659,0.0321869,98.282,2.44E+00,98.238,2.21E+00,98.399,2.08E+00
0.7341,0.0322662,98.598,2.46E+00,98.554,2.38E+00,98.715,2.07E+00
0.736542,0.0323456,98.914,2.48E+00,98.869,2.21E+00,99.031,2.26E+00
0.738983,0.0324219,99.229,2.59E+00,99.185,2.16E+00,99.346,2.40E+00
0.741425,0.0325012,99.545,2.53E+00,99.501,2.41E+00,99.662,2.41E+00
0.743866,0.0325989,99.86,2.51E+00,99.816,2.72E+00,99.977,2.47E+00
0.746307,0.0326904,100.176,2.22E+00,100.132,2.73E+00,100.293,2.59E+00
0.748749,0.0327759,100.492,2.09E+00,100.447,2.56E+00,100.609,2.56E+00
0.75119,0.0328247,100.807,2.03E+00,100.763,2.68E+00,100.924,2.73E+00
0.753632,0.0328918,101.123,2.08E+00,101.079,2.77E+00,101.24,2.44E+00
0.756073,0.0329315,101.438,2.11E+00,101.394,2.48E+00,101.555,2.33E+00
0.758514,0.0329742,101.754,2.26E+00,101.71,2.37E+00,101.871,2.40E+00
0.760956,0.0330109,102.07,2.28E+00,102.025,2.39E+00,102.187,2.27E+00
0.763397,0.033075,102.385,2.41E+00,102.341,2.20E+00,102.502,2.26E+00
0.765839,0.0331573,102.701,2.58E+00,102.657,2.22E+00,102.818,2.11E+00
0.76828,0.033252,103.016,2.81E+00,102.972,2.23E+00,103.133,2.35E+00
0.770721,0.0333618,103.332,2.68E+00,103.288,2.41E+00,103.449,2.36E+00
0.773163,0.0334961,103.648,2.36E+00,103.603,2.38E+00,103.765,2.62E+00
0.775604,0.0336487,103.963,2.47E+00,103.919,2.59E+00,104.08,2.56E+00
0.778046,0.0338135,104.279,2.10E+00,104.235,2.68E+00,104.396,2.51E+00
0.780487,0.0339966,104.594,2.43E+00,104.55,2.78E+00,104.711,2.63E+00
0.782928,0.0341705,104.91,2.36E+00,104.866,2.75E+00,105.027,2.40E+00
0.78537,0.0343323,105.226,2.25E+00,105.181,2.83E+00,105.343,2.32E+00
0.787811,0.0344849,105.541,2.37E+00,105.497,2.65E+00,105.658,2.00E+00
0.790253,0.0346161,105.857,2.30E+00,105.813,2.58E+00,105.974,2.00E+00
0.792694,0.0347565,106.172,2.55E+00,106.128,2.28E+00,106.289,1.98E+00
0.795135,0.0348938,106.488,2.46E+00,106.444,2.20E+00,106.605,2.10E+00
0.797577,0.0350372,106.804,2.58E+00,106.759,2.58E+00,106.921,2.29E+00
0.800018,0.035202,107.119,2.52E+00,107.075,2.16E+00,107.236,2.27E+00
0.80246,0.0354004,107.435,2.44E+00,107.391,2.57E+00,107.552,2.56E+00
0.804901,0.0356201,107.75,2.36E+00,107.706,2.53E+00,107.867,2.49E+00
0.807343,0.0358459,108.066,2.28E+00,108.022,2.65E+00,108.183,2.54E+00
0.809784,0.0360931,108.382,2.25E+00,108.337,2.74E+00,108.499,2.58E+00
0.812225,0.0363159,108.697,2.17E+00,108.653,2.79E+00,108.814,2.45E+00
0.814667,0.0365356,109.013,2.30E+00,108.969,2.79E+00,109.13,2.43E+00
0.817108,0.0368286,109.328,2.11E+00,109.284,2.57E+00,109.445,2.38E+00
0.81955,0.0370239,109.644,2.49E+00,109.6,2.66E+00,109.761,2.08E+00
0.821991,0.0371368,109.96,2.51E+00,109.915,2.27E+00,110.077,2.03E+00
0.824432,0.0373077,110.275,2.56E+00,110.231,2.31E+00,110.392,2.04E+00
0.826874,0.0375641,110.591,2.61E+00,110.547,2.19E+00,110.708,2.24E+00
0.829315,0.0377472,110.906,2.73E+00,110.862,2.35E+00,111.023,2.16E+00
0.831757,0.0379089,111.222,2.64E+00,111.178,2.33E+00,111.339,2.42E+00
0.834198,0.0381866,111.538,2.36E+00,111.493,2.58E+00,111.655,2.54E+00
0.836639,0.0385071,111.853,2.45E+00,111.809,2.75E+00,111.97,2.58E+00
0.839081,0.0387329,112.169,2.28E+00,112.125,2.53E+00,112.286,2.69E+00
0.841522,0.038974,112.484,2.00E+00,112.44,2.62E+00,112.601,2.54E+00
0.843964,0.0393341,112.8,2.19E+00,112.756,2.66E+00,112.917,2.45E+00
0.846405,0.0396393,113.116,2.20E+00,113.071,2.58E+00,113.233,2.28E+00
0.848846,0.0398163,113.431,2.34E+00,113.387,2.46E+00,113.548,2.25E+00
0.851288,0.0400024,113.747,2.43E+00,113.703,2.40E+00,113.864,2.11E+00
0.853729,0.0402588,114.062,2.37E+00,114.018,2.10E+00,114.179,2.25E+00
0.856171,0.040451,114.378,2.56E+00,114.334,2.16E+00,114.495,2.14E+00
0.858612,0.0405518,114.694,2.77E+00,114.649,2.42E+00,114.811,2.21E+00
0.861053,0.0407532,115.009,2.57E+00,114.965,2.45E+00,115.126,2.60E+00
0.863495,0.041037,115.325,2.52E+00,115.281,2.65E+00,115.442,2.59E+00
0.865936,0.0412537,115.64,2.41E+00,115.596,2.64E+00,115.757,2.76E+00
0.868378,0.0414581,115.956,2.05E+00,115.912,2.80E+00,116.073,2.66E+00
0.870819,0.0417816,116.272,2.20E+00,116.227,2.78E+00,116.389,2.54E+00
0.87326,0.042099,116.587,2.32E+00,116.543,2.77E+00,116.704,2.45E+00
0.875702,0.0423218,116.903,2.15E+00,116.859,2.64E+00,117.02,2.58E+00
0.878143,0.0425323,117.218,2.49E+00,117.174,2.57E+00,117.335,2.30E+00
0.880585,0.0428314,117.534,2.46E+00,117.49,2.49E+00,117.651,2.15E+00
0.883026,0.0430756,117.85,2.68E+00,117.805,2.38E+00,117.967,2.13E+00
0.885468,0.0432098,118.165,2.67E+00,118.121,2.23E+00,118.282,2.32E+00
0.887909,0.0433807,118.481,2.56E+00,118.437,2.38E+00,118.598,2.31E+00
0.89035,0.0435822,118.796,2.60E+00,118.752,2.71E+00,118.913,2.59E+00
0.892792,0.0437653,119.112,2.40E+00,119.068,2.65E+00,119.229,2.70E+00
0.895233,0.0439941,119.428,2.32E+00,119.383,2.75E+00,119.545,2.72E+00
0.897675,0.0442413,119.743,2.33E+00,119.699,2.86E+00,119.86,2.67E+00
0.900116,0.0444977,120.059,2.26E+00,120.015,2.84E+00,120.176,2.57E+00
0.902557,0.0447479,120.374,2.08E+00,120.33,2.84E+00,120.491,2.61E+00
0.904999,0.0449738,120.69,2.07E+00,120.646,2.60E+00,120.807,2.58E+00
0.90744,0.0451813,121.006,2.29E+00,120.961,2.46E+00,121.123,2.50E+00
0.909882,0.0453888,121.321,2.52E+00,121.277,2.53E+00,121.438,2.17E+00
0.912323,0.045575,121.637,2.36E+00,121.593,2.39E+00,121.754,2.39E+00
0.914764,0.0457764,121.952,2.75E+00,121.908,2.40E+00,122.069,2.08E+00
0.917206,0.0459625,122.268,2.58E+00,122.224,2.35E+00,122.385,2.43E+00
0.919647,0.0461639,122.584,2.69E+00,122.539,2.44E+00,122.701,2.45E+00
0.922089,0.0463226,122.899,2.75E+00,122.855,2.64E+00,123.016,2.54E+00
0.92453,0.0464966,123.215,2.59E+00,123.171,2.78E+00,123.332,2.63E+00
0.926971,0.0467133,123.53,2.40E+00,123.486,2.73E+00,123.647,2.77E+00
0.929413,0.0469513,123.846,2.24E+00,123.802,2.70E+00,123.963,2.85E+00
0.931854,0.0472229,124.162,2.20E+00,124.117,2.91E+00,124.279,2.56E+00
0.934296,0.0474976,124.477,2.18E+00,124.433,2.58E+00,124.594,2.73E+00
0.936737,0.0477936,124.793,2.19E+00,124.749,2.66E+00,124.91,2.60E+00
0.939178,0.0480835,125.108,2.47E+00,125.064,2.48E+00,125.225,2.32E+00
0.94162,0.0483276,125.424,2.28E+00,125.38,2.44E+00,125.541,2.31E+00
0.944061,0.0485168,125.74,2.54E+00,125.695,2.34E+00,125.857,2.35E+00
0.946503,0.0487152,126.055,2.75E+00,126.011,2.45E+00,126.172,2.37E+00
0.948944,0.04888,126.371,2.71E+00,126.327,2.54E+00,126.488,2.40E+00
0.951385,0.0490234,126.686,2.62E+00,126.642,2.62E+00,126.803,2.53E+00
0.953827,0.0491394,127.002,2.36E+00,126.958,2.61E+00,127.119,2.58E+00
0.956268,0.0493073,127.318,2.29E+00,127.273,2.81E+00,127.435,2.75E+00
0.95871,0.0494568,127.633,2.14E+00,127.589,2.93E+00,127.75,2.74E+00
0.961151,0.0496124,127.949,2.12E+00,127.905,2.99E+00,128.066,2.66E+00
0.963593,0.0498352,128.264,2.19E+00,128.22,2.73E+00,128.381,2.48E+00
0.966034,0.0500488,128.58,2.30E+00,128.536,2.65E+00,128.697,2.48E+00
0.968475,0.0503235,128.896,2.30E+00,128.851,2.63E+00,129.013,2.37E+00
0.970917,0.0505981,129.211,2.36E+00,129.167,2.38E+00,129.328,2.52E+00
0.973358,0.0508728,129.527,2.61E+00,129.483,2.29E+00,129.644,2.12E+00
0.9758,0.0511475,129.842,2.64E+00,129.798,2.57E+00,129.959,2.32E+00
0.978241,0.0514221,130.158,2.64E+00,130.114,2.31E+00,130.275,2.16E+00
0.980682,0.0516663,130.474,2.58E+00,130.429,2.51E+00,130.591,2.59E+00
0.983124,0.0519104,130.789,2.41E+00,130.745,2.64E+00,130.906,2.59E+00
0.985565,0.0520935,131.105,2.40E+00,131.061,2.68E+00,131.222,2.95E+00
0.988007,0.0523071,131.42,2.16E+00,131.376,2.84E+00,131.537,2.75E+00
0.990448,0.0524597,131.736,2.41E+00,131.692,2.73E+00,131.853,2.72E+00
0.992889,0.0525818,132.052,2.23E+00,132.007,2.67E+00,132.169,2.60E+00
0.995331,0.0527649,132.367,2.11E+00,132.323,2.72E+00,132.484,2.52E+00
0.997772,0.052948,132.683,2.24E+00,132.639,2.59E+00,132.8,2.46E+00
1.00021,0.0531921,132.998,2.52E+00,132.954,2.33E+00,133.115,2.22E+00
0.997772,0.0498047,133.314,2.61E+00,133.27,2.38E+00,133.431,2.15E+00
0.995331,0.0470215,133.63,2.72E+00,133.585,2.37E+00,133.747,2.20E+00
0.992889,0.0446136,133.945,2.53E+00,133.901,2.31E+00,134.062,2.18E+00
0.990448,0.0424835,134.261,2.61E+00,134.217,2.54E+00,134.378,2.46E+00
0.988007,0.0405151,134.576,2.63E+00,134.532,2.78E+00,134.693,2.40E+00
0.985565,0.0386688,134.892,2.38E+00,134.848,2.66E+00,135.009,2.66E+00
0.983124,0.0370453,135.208,2.12E+00,135.163,2.88E+00,135.325,2.60E+00
0.980682,0.0354797,135.523,2.28E+00,135.479,2.86E+00,135.64,2.64E+00
0.978241,0.0339111,135.839,2.12E+00,135.795,2.77E+00,135.956,2.69E+00
0.9758,0.0324524,136.154,2.36E+00,136.11,2.82E+00,136.271,2.62E+00
0.973358,0.0311157,136.47,2.38E+00,136.426,2.75E+00,136.587,2.49E+00
0.970917,0.0297546,136.786,2.43E+00,136.741,2.46E+00,136.903,2.45E+00
0.968475,0.0283875,137.101,2.50E+00,137.057,2.44E+00,137.218,2.27E+00
0.966034,0.0271423,137.417,2.58E+00,137.373,2.51E+00,137.534,2.47E+00
0.963593,0.0260071,137.732,2.63E+00,137.688,2.36E+00,137.849,2.30E+00
0.961151,0.0248413,138.048,2.67E+00,138.004,2.56E+00,138.165,2.41E+00
0.95871,0.0236816,138.364,2.49E+00,138.319,2.83E+00,138.481,2.54E+00
0.956268,0.0226654,138.679,2.54E+00,138.635,2.60E+00,138.796,2.60E+00
0.953827,0.0217346,138.995,2.29E+00,138.951,2.68E+00,139.112,2.89E+00
0.951385,0.0207672,139.31,2.41E+00,139.266,2.81E+00,139.427,2.83E+00
0.948944,0.0198456,139.626,2.19E+00,139.582,2.77E+00,139.743,2.79E+00
0.946503,0.0190552,139.942,2.51E+00,139.897,2.93E+00,140.059,2.59E+00
0.944061,0.0182526,140.257,2.25E+00,140.213,2.65E+00,140.374,2.52E+00
0.94162,0.017395,140.573,2.34E+00,140.529,2.48E+00,140.69,2.49E+00
0.939178,0.0166168,140.888,2.47E+00,140.844,2.54E+00,141.005,2.55E+00
0.936737,0.0158569,141.204,2.76E+00,141.16,2.29E+00,141.321,2.35E+00
0.934296,0.0150909,141.52,2.62E+00,141.475,2.38E+00,141.637,2.59E+00
0.931854,0.0142761,141.835,2.68E+00,141.791,2.52E+00,141.952,2.64E+00
0.929413,0.0135468,142.151,2.53E+00,142.107,2.64E+00,142.268,2.65E+00
0.926971,0.0128693,142.466,2.65E+00,142.422,2.79E+00,142.583,2.67E+00
0.92453,0.0121429,142.782,2.57E+00,142.738,2.67E+00,142.899,2.80E+00
0.922089,0.0114105,143.098,2.50E+00,143.053,2.81E+00,143.215,2.70E+00
0.919647,0.0107971,143.413,2.24E+00,143.369,2.86E+00,143.53,2.77E+00
0.917206,0.0102081,143.729,2.16E+00,143.685,2.72E+00,143.846,2.73E+00
0.914764,0.00955811,144.044,2.18E+00,144,2.73E+00,144.161,2.60E+00
0.912323,0.0089386,144.36,2.45E+00,144.316,2.62E+00,144.477,2.52E+00
0.909882,0.00843201,144.676,2.56E+00,144.631,2.43E+00,144.793,2.40E+00
0.90744,0.007901,144.991,2.42E+00,144.947,2.44E+00,145.108,2.71E+00
0.904999,0.00732422,145.307,2.72E+00,145.263,2.54E+00,145.424,2.25E+00
0.902557,0.00679016,145.622,2.72E+00,145.578,2.61E+00,145.739,2.37E+00
0.900116,0.00626526,145.938,2.62E+00,145.894,2.64E+00,146.055,2.45E+00
0.897675,0.00576782,146.254,2.68E+00,146.209,2.72E+00,146.371,2.79E+00
0.895233,0.00526123,146.569,2.37E+00,146.525,2.77E+00,146.686,2.84E+00
0.892792,0.004776,146.885,2.39E+00,146.841,2.87E+00,147.002,2.93E+00
0.89035,0.00429321,147.2,2.20E+00,147.156,3.07E+00,147.317,2.86E+00
0.887909,0.00381866,147.516,2.28E+00,147.472,2.95E+00,147.633,2.67E+00
0.885468,0.00336792,147.832,2.26E+00,147.787,2.72E+00,147.949,2.73E+00
0.883026,0.00292206,148.147,2.27E+00,148.103,2.75E+00,148.264,2.64E+00
0.880585,0.00249023,148.463,2.61E+00,148.419,2.51E+00,148.58,2.46E+00
0.878143,0.00207001,148.778,2.43E+00,148.734,2.49E+00,148.895,2.27E+00
0.875702,0.00165771,149.094,2.60E+00,149.05,2.39E+00,149.211,2.34E+00
0.87326,0.0012561,149.41,2.84E+00,149.365,2.71E+00,149.527,2.46E+00
0.870819,0.000865479,149.725,2.80E+00,149.681,2.42E+00,149.842,2.47E+00
0.868378,0.000477905,150.041,2.72E+00,149.997,2.53E+00,150.158,2.49E+00
0.865936,0.000101471,150.356,2.69E+00,150.312,2.72E+00,150.473,2.74E+00
0.863495,-0.000269562,150.672,2.54E+00,150.628,2.88E+00,150.789,2.78E+00
0.861053,-0.000621033,150.988,2.30E+00,150.943,2.86E+00,151.105,2.86E+00
0.858612,-0.00105927,151.303,2.17E+00,151.259,2.75E+00,151.42,2.59E+00
0.856171,-0.00136597,151.619,2.41E+00,151.575,2.78E+00,151.736,2.66E+00
0.853729,-0.00170197,151.934,2.36E+00,151.89,2.58E+00,152.051,2.65E+00
0.851288,-0.00203278,152.25,2.42E+00,152.206,2.56E+00,152.367,2.48E+00
0.848846,-0.00236053,152.566,2.43E+00,152.521,2.42E+00,152.683,2.28E+00
0.846405,-0.00268707,152.881,2.59E+00,152.837,2.46E+00,152.998,2.34E+00
0.843964,-0.00298798,153.197,2.78E+00,153.153,2.46E+00,153.314,2.35E+00
0.841522,-0.00328125,153.512,2.63E+00,153.468,2.52E+00,153.629,2.59E+00
0.839081,-0.00343231,153.828,2.72E+00,153.784,2.59E+00,153.945,2.55E+00
0.836639,-0.00376617,154.144,2.67E+00,154.099,2.62E+00,154.261,2.63E+00
0.834198,-0.00403809,154.459,2.31E+00,154.415,2.79E+00,154.576,2.79E+00
0.831757,-0.0043103,154.775,2.31E+00,154.731,2.75E+00,154.892,2.88E+00
0.829315,-0.00457703,155.09,2.23E+00,155.046,2.68E+00,155.207,2.85E+00
0.826874,-0.00484314,155.406,2.30E+00,155.362,2.58E+00,155.523,2.79E+00
0.824432,-0.00509949,155.722,2.33E+00,155.677,2.67E+00,155.839,2.64E+00
0.821991,-0.00535889,156.037,2.27E+00,155.993,2.46E+00,156.154,2.75E+00
0.81955,-0.00561523,156.353,2.67E+00,156.309,2.44E+00,156.47,2.39E+00
0.817108,-0.00586853,156.668,2.65E+00,156.624,2.41E+00,156.785,2.46E+00
0.814667,-0.00612793,156.984,2.58E+00,156.94,2.26E+00,157.101,2.37E+00
0.812225,-0.00635681,157.3,2.84E+00,157.255,2.57E+00,157.417,2.43E+00
0.809784,-0.00655823,157.615,2.67E+00,157.571,2.57E+00,157.732,2.71E+00
0.807343,-0.0067688,157.931,2.81E+00,157.887,2.71E+00,158.048,2.80E+00
0.804901,-0.00696411,158.246,2.59E+00,158.202,2.81E+00,158.363,2.96E+00
0.80246,-0.00714417,158.562,2.40E+00,158.518,3.07E+00,158.679,2.86E+00
0.800018,-0.00732422,158.878,2.43E+00,158.833,2.83E+00,158.995,2.90E+00
0.797577,-0.00750122,159.193,2.30E+00,159.149,2.99E+00,159.31,2.62E+00
0.795135,-0.00768127,159.509,2.51E+00,159.465,2.76E+00,159.626,2.75E+00
0.792694,-0.00786133,159.824,2.47E+00,159.78,2.62E+00,159.941,2.54E+00
0.790253,-0.00804443,160.14,2.43E+00,160.096,2.50E+00,160.257,2.49E+00
0.787811,-0.00821838,160.456,2.48E+00,160.411,2.51E+00,160.573,2.26E+00
0.78537,-0.00844421,160.771,2.76E+00,160.727,2.47E+00,160.888,2.59E+00
0.782928,-0.00856628,161.087,2.84E+00,161.043,2.27E+00,161.204,2.64E+00
0.780487,-0.00868835,161.402,2.94E+00,161.358,2.61E+00,161.519,2.78E+00
0.778046,-0.00889587,161.718,2.59E+00,161.674,2.52E+00,161.835,2.77E+00
0.775604,-0.00907898,162.034,2.63E+00,161.989,2.83E+00,162.151,2.96E+00
0.773163,-0.00914612,162.349,2.48E+00,162.305,2.80E+00,162.466,2.89E+00
0.770721,-0.00924988,162.665,2.37E+00,162.621,2.99E+00,162.782,2.88E+00
0.76828,-0.00943909,162.98,2.52E+00,162.936,3.00E+00,163.097,2.99E+00
0.765839,-0.00957642,163.296,2.50E+00,163.252,2.89E+00,163.413,2.70E+00
0.763397,-0.00962219,163.612,2.39E+00,163.567,2.67E+00,163.729,2.74E+00
0.760956,-0.00974731,163.927,2.35E+00,163.883,2.61E+00,164.044,2.61E+00
0.758514,-0.00993652,164.243,2.57E+00,164.199,2.49E+00,164.36,2.38E+00
0.756073,-0.010025,164.558,2.67E+00,164.514,2.43E+00,164.675,2.48E+00
0.753632,-0.0100677,164.874,2.78E+00,164.83,2.63E+00,164.991,2.64E+00
0.75119,-0.010202,165.19,2.66E+00,165.145,2.59E+00,165.307,2.55E+00
0.748749,-0.0103668,165.505,2.72E+00,165.461,2.81E+00,165.622,2.73E+00
0.746307,-0.0104034,165.821,2.62E+00,165.777,2.68E+00,165.938,2.79E+00
0.743866,-0.0104462,166.136,2.67E+00,166.092,3.06E+00,166.253,2.90E+00
0.741425,-0.0105865,166.452,2.28E+00,166.408,3.14E+00,166.569,2.88E+00
0.738983,-0.0106903,166.768,2.39E+00,166.723,2.99E+00,166.885,2.97E+00
0.736542,-0.0107086,167.083,2.47E+00,167.039,2.84E+00,167.2,2.78E+00
0.7341,-0.0107788,167.399,2.38E+00,167.355,2.77E+00,167.516,2.59E+00
0.731659,-0.0109406,167.714,2.42E+00,167.67,2.48E+00,167.831,2.65E+00
0.729218,-0.0110382,168.03,2.42E+00,167.986,2.46E+00,168.147,2.50E+00
0.726776,-0.0110565,168.346,2.64E+00,168.301,2.38E+00,168.463,2.49E+00
0.724335,-0.011145,168.661,2.70E+00,168.617,2.54E+00,168.778,2.56E+00
0.721893,-0.0112915,168.977,2.82E+00,168.933,2.58E+00,169.094,2.59E+00
0.719452,-0.011322,169.292,2.68E+00,169.248,2.52E+00,169.409,3.00E+00
0.71701,-0.011319,169.608,2.71E+00,169.564,2.94E+00,169.725,2.79E+00
0.714569,-0.0114105,169.924,2.55E+00,169.879,2.84E+00,170.041,2.86E+00
0.712128,-0.0115143,170.239,2.56E+00,170.195,2.90E+00,170.356,2.97E+00
0.709686,-0.011496,170.555,2.24E+00,170.511,3.00E+00,170.672,2.98E+00
0.707245,-0.0115082,170.87,2.14E+00,170.826,2.85E+00,170.987,2.75E+00
0.704803,-0.0116211,171.186,2.22E+00,171.142,2.79E+00,171.303,2.73E+00
0.702362,-0.0117065,171.502,2.39E+00,171.457,2.59E+00,171.619,2.66E+00
0.699921,-0.0117035,171.817,2.67E+00,171.773,2.55E+00,171.934,2.47E+00
0.697479,-0.0117523,172.133,2.61E+00,172.089,2.49E+00,172.25,2.42E+00
0.695038,-0.0118805,172.448,2.71E+00,172.404,2.73E+00,172.565,2.67E+00
0.692596,-0.0119293,172.764,2.80E+00,172.72,2.67E+00,172.881,2.49E+00
0.690155,-0.011908,173.08,2.78E+00,173.035,2.65E+00,173.197,2.75E+00
0.687714,-0.0119629,173.395,2.69E+00,173.351,2.79E+00,173.512,2.83E+00
0.685272,-0.0120575,173.711,2.57E+00,173.667,2.73E+00,173.828,2.93E+00
0.682831,-0.0120453,174.026,2.40E+00,173.982,2.98E+00,174.143,2.93E+00
0.680389,-0.0120575,174.342,2.33E+00,174.298,2.88E+00,174.459,2.92E+00
0.677948,-0.0120667,174.658,2.34E+00,174.613,3.02E+00,174.775,2.74E+00
0.675507,-0.0120728,174.973,2.35E+00,174.929,2.80E+00,175.09,2.80E+00
0.673065,-0.0120819,175.289,2.41E+00,175.245,2.70E+00,175.406,2.50E+00
0.670624,-0.012088,175.604,2.53E+00,175.56,2.50E+00,175.721,2.50E+00
0.668182,-0.0121033,175.92,2.68E+00,175.876,2.60E+00,176.037,2.42E+00
0.665741,-0.0121155,176.236,2.62E+00,176.191,2.57E+00,176.353,2.29E+00
0.6633,-0.0121246,176.551,2.70E+00,176.507,2.56E+00,176.668,2.37E+00
0.660858,-0.0121216,176.867,2.65E+00,176.823,2.54E+00,176.984,2.59E+00
0.658417,-0.0121216,177.182,2.94E+00,177.138,2.86E+00,177.299,2.80E+00
0.655975,-0.0121094,177.498,2.69E+00,177.454,3.00E+00,177.615,2.86E+00
0.653534,-0.0120941,177.814,2.59E+00,177.769,2.99E+00,177.931,2.94E+00
0.651093,-0.0120728,178.129,2.54E+00,178.085,3.09E+00,178.246,3.07E+00
0.648651,-0.0120483,178.445,2.26E+00,178.401,3.24E+00,178.562,2.88E+00
0.64621,-0.0120209,178.76,2.35E+00,178.716,2.96E+00,178.877,2.99E+00
0.643768,-0.0119934,179.076,2.42E+00,179.032,2.89E+00,179.193,2.89E+00
0.641327,-0.0119598,179.392,2.45E+00,179.347,2.63E+00,179.509,2.65E+00
0.638885,-0.0119293,179.707,2.62E+00,179.663,2.51E+00,179.824,2.71E+00
0.636444,-0.0118927,180.023,2.69E+00,179.979,2.41E+00,180.14,2.48E+00
0.634003,-0.0118591,180.338,2.69E+00,180.294,2.58E+00,180.455,2.42E+00
0.631561,-0.0118195,180.654,2.86E+00,180.61,2.60E+00,180.771,2.65E+00
0.62912,-0.0117798,180.97,2.88E+00,180.925,2.82E+00,181.087,3.01E+00
0.626678,-0.011734,181.285,2.77E+00,181.241,2.99E+00,181.402,2.90E+00
0.624237,-0.0116852,181.601,2.62E+00,181.557,2.86E+00,181.718,2.86E+00
0.621796,-0.0116364,181.916,2.51E+00,181.872,2.90E+00,182.033,2.95E+00
0.619354,-0.0115906,182.232,2.34E+00,182.188,2.78E+00,182.349,2.95E+00
0.616913,-0.0115448,182.548,2.40E+00,182.503,2.80E+00,182.665,3.03E+00
0.614471,-0.0114929,182.863,2.10E+00,182.819,2.91E+00,182.98,2.91E+00
0.61203,-0.0114532,183.179,2.50E+00,183.135,2.60E+00,183.296,2.60E+00
0.609589,-0.0114136,183.494,2.52E+00,183.45,2.63E+00,183.611,2.64E+00
0.607147,-0.0113831,183.81,2.72E+00,183.766,2.46E+00,183.927,2.71E+00
0.604706,-0.0113586,184.126,2.66E+00,184.081,2.93E+00,184.243,2.43E+00
0.602264,-0.0113129,184.441,2.68E+00,184.397,2.60E+00,184.558,2.50E+00
0.599823,-0.0112427,184.757,2.83E+00,184.713,2.65E+00,184.874,2.60E+00
0.597382,-0.0111694,185.072,2.85E+00,185.028,2.77E+00,185.189,2.77E+00
0.59494,-0.0110962,185.388,2.79E+00,185.344,2.86E+00,185.505,2.98E+00
0.592499,-0.0110016,185.704,2.53E+00,185.659,3.07E+00,185.821,3.06E+00
0.590057,-0.0109161,186.019,2.47E+00,185.975,2.98E+00,186.136,2.98E+00
0.587616,-0.0108368,186.335,2.46E+00,186.291,2.98E+00,186.452,2.83E+00
0.585175,-0.0107971,186.65,2.27E+00,186.606,3.04E+00,186.767,2.79E+00
0.582733,-0.0107178,186.966,2.46E+00,186.922,2.68E+00,187.083,2.57E+00
0.580292,-0.0106232,187.282,2.43E+00,187.237,2.60E+00,187.399,2.60E+00
0.57785,-0.0105652,187.597,2.62E+00,187.553,2.45E+00,187.714,2.53E+00
0.575409,-0.0105347,187.913,2.54E+00,187.869,2.43E+00,188.03,2.36E+00
0.572968,-0.0104462,188.228,2.68E+00,188.184,2.58E+00,188.345,2.41E+00
0.570526,-0.0103577,188.544,3.01E+00,188.5,2.64E+00,188.661,2.60E+00
0.568085,-0.0103027,188.86,2.68E+00,188.815,2.55E+00,188.977,2.86E+00
0.565643,-0.0102448,189.175,2.57E+00,189.131,2.91E+00,189.292,2.92E+00
0.563202,-0.0101379,189.491,2.44E+00,189.447,2.92E+00,189.608,3.17E+00
0.56076,-0.0100494,189.806,2.59E+00,189.762,2.96E+00,189.923,3.24E+00
0.558319,-0.00996094,190.122,2.32E+00,190.078,2.99E+00,190.239,3.04E+00
0.555878,-0.00986633,190.438,2.48E+00,190.393,2.74E+00,190.555,2.79E+00
0.553436,-0.00975037,190.753,2.34E+00,190.709,2.61E+00,190.87,2.80E+00
0.550995,-0.00966187,191.069,2.51E+00,191.025,2.60E+00,191.186,2.65E+00
0.548553,-0.00961609,191.384,2.56E+00,191.34,2.45E+00,191.501,2.53E+00
0.546112,-0.00952759,191.7,2.71E+00,191.656,2.79E+00,191.817,2.61E+00
0.543671,-0.00941772,192.016,2.89E+00,191.971,2.46E+00,192.133,2.52E+00
0.541229,-0.00934448,192.331,2.93E+00,192.287,2.80E+00,192.448,2.69E+00
0.538788,-0.00928345,192.647,2.72E+00,192.603,2.72E+00,192.764,2.72E+00
