Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.138397,0.00503845,21.592,2.53E+00,21.547,2.12E+00,21.709,2.21E+00
0.140839,0.00502625,21.907,2.15E+00,21.863,2.05E+00,22.024,2.29E+00
0.14328,0.00501404,22.223,2.23E+00,22.179,2.26E+00,22.34,2.21E+00
0.145721,0.00500488,22.538,2.24E+00,22.494,2.09E+00,22.655,2.38E+00
0.148163,0.00498962,22.854,1.93E+00,22.81,2.31E+00,22.971,2.34E+00
0.150604,0.00498047,23.17,2.22E+00,23.125,2.38E+00,23.287,2.33E+00
0.153046,0.00496826,23.485,2.11E+00,23.441,2.54E+00,23.602,2.21E+00
0.155487,0.00495605,23.801,2.21E+00,23.757,2.63E+00,23.918,1.97E+00
0.157928,0.00494781,24.116,2.24E+00,24.072,2.51E+00,24.233,1.97E+00
0.16037,0.00493317,24.432,2.51E+00,24.388,2.44E+00,24.549,2.02E+00
0.162811,0.00492432,24.748,2.47E+00,24.703,2.26E+00,24.865,2.22E+00
0.165253,0.00491089,25.063,2.32E+00,25.019,2.10E+00,25.18,1.96E+00
0.167694,0.00490112,25.379,2.37E+00,25.335,2.01E+00,25.496,2.10E+00
0.170135,0.00488892,25.694,2.48E+00,25.65,2.04E+00,25.811,2.38E+00
0.172577,0.00488007,26.01,2.44E+00,25.966,2.16E+00,26.127,2.47E+00
0.175018,0.00486694,26.326,2.19E+00,26.281,2.14E+00,26.443,2.40E+00
0.17746,0.00485657,26.641,2.08E+00,26.597,2.61E+00,26.758,2.54E+00
0.179901,0.00484283,26.957,2.01E+00,26.913,2.49E+00,27.074,2.45E+00
0.182343,0.00483551,27.272,2.01E+00,27.228,2.45E+00,27.389,2.30E+00
0.184784,0.00482574,27.588,2.16E+00,27.544,2.47E+00,27.705,2.15E+00
0.187225,0.00481415,27.904,2.26E+00,27.859,2.31E+00,28.021,2.10E+00
0.189667,0.00480316,28.219,2.22E+00,28.175,2.34E+00,28.336,2.12E+00
0.192108,0.00479431,28.535,2.19E+00,28.491,2.17E+00,28.652,1.79E+00
0.19455,0.00478424,28.85,2.40E+00,28.806,2.23E+00,28.967,1.91E+00
0.196991,0.00477509,29.166,2.49E+00,29.122,2.07E+00,29.283,2.08E+00
0.199432,0.00476257,29.482,2.29E+00,29.437,2.16E+00,29.599,2.22E+00
0.201874,0.00475494,29.797,2.27E+00,29.753,2.02E+00,29.914,2.52E+00
0.204315,0.00474457,30.113,2.31E+00,30.069,2.17E+00,30.23,2.45E+00
0.206757,0.00473297,30.428,1.97E+00,30.384,2.24E+00,30.545,2.43E+00
0.209198,0.00472748,30.744,2.13E+00,30.7,2.16E+00,30.861,2.44E+00
0.211639,0.00471985,31.06,2.04E+00,31.015,2.40E+00,31.177,2.35E+00
0.214081,0.00470215,31.375,1.96E+00,31.331,2.64E+00,31.492,2.24E+00
0.216522,0.0047168,31.691,2.05E+00,31.647,2.54E+00,31.808,2.11E+00
0.218964,0.00469971,32.006,2.20E+00,31.962,2.41E+00,32.123,1.95E+00
0.221405,0.00467194,32.322,2.38E+00,32.278,2.27E+00,32.439,2.03E+00
0.223846,0.00468109,32.638,2.45E+00,32.593,2.38E+00,32.755,1.89E+00
0.226288,0.00468567,32.953,2.36E+00,32.909,2.08E+00,33.07,2.18E+00
0.228729,0.0046637,33.269,2.43E+00,33.225,2.06E+00,33.386,2.57E+00
0.231171,0.00464417,33.584,2.35E+00,33.54,2.01E+00,33.701,2.19E+00
0.233612,0.00465881,33.9,2.36E+00,33.856,2.12E+00,34.017,2.58E+00
0.236053,0.00466431,34.216,2.30E+00,34.171,2.27E+00,34.333,2.50E+00
0.238495,0.00463745,34.531,1.97E+00,34.487,2.28E+00,34.648,2.38E+00
0.240936,0.00462463,34.847,2.07E+00,34.803,2.34E+00,34.964,2.19E+00
0.243378,0.00464539,35.162,1.99E+00,35.118,2.53E+00,35.279,2.27E+00
0.245819,0.00464355,35.478,2.00E+00,35.434,2.71E+00,35.595,2.19E+00
0.24826,0.00461334,35.794,2.31E+00,35.749,2.71E+00,35.911,2.12E+00
0.250702,0.00462189,36.109,2.42E+00,36.065,2.29E+00,36.226,2.03E+00
