Figure 3 data,,,,,,,,,,,
Exp 1 (11/17),,,,Exp 3 (12/1),,,,Exp 6 (10/11),,,
300 mV/s,,,,300 mV/s,,,,300 mV/s,,,
WE Potential (V),Adjusted Potential (WE Potential + 0 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.2 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.9 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2)
-0.686737,-0.686737,-0.005579101,-5.579100593,-0.686768,-0.886768,-0.004017406,-4.017405969,-0.411407,-1.311407,0.019087751,19.08775061
-0.687836,-0.687836,-0.005589387,-5.589386803,-0.687836,-0.887836,-0.004011509,-4.011509089,-0.4104,-1.3104,0.019373186,19.37318629
-0.688873,-0.688873,-0.005496856,-5.496855838,-0.688873,-0.888873,-0.004052749,-4.052748641,-0.409363,-1.309363,0.019619759,19.61975883
-0.689911,-0.689911,-0.005510567,-5.510567041,-0.689941,-0.889941,-0.004064533,-4.064532749,-0.408234,-1.308234,0.01960679,19.60679028
-0.690979,-0.690979,-0.005537978,-5.537978216,-0.69104,-0.89104,-0.004023293,-4.023293197,-0.407196,-1.307196,0.019269395,19.26939536
-0.692078,-0.692078,-0.005527703,-5.527703236,-0.692078,-0.892078,-0.004067476,-4.067476363,-0.406128,-1.306128,0.019775466,19.77546647
-0.693146,-0.693146,-0.00548657,-5.486569629,-0.693146,-0.893146,-0.004093979,-4.093978541,-0.405029,-1.305029,0.01985332,19.8533203
-0.694183,-0.694183,-0.005541403,-5.541403209,-0.694275,-0.894275,-0.004076307,-4.076307205,-0.403992,-1.303992,0.019957111,19.95711122
-0.695282,-0.695282,-0.005599662,-5.599661782,-0.695282,-0.895282,-0.004064533,-4.064532749,-0.402924,-1.302924,0.019996059,19.99605939
-0.696381,-0.696381,-0.005541403,-5.541403209,-0.69635,-0.89635,-0.004135218,-4.135218093,-0.401886,-1.301886,0.020216652,20.21665231
-0.697418,-0.697418,-0.005544828,-5.544828202,-0.697479,-0.897479,-0.004117547,-4.117546757,-0.400818,-1.300818,0.020346423,20.34642286
-0.698456,-0.698456,-0.005603087,-5.603086776,-0.698517,-0.898517,-0.004099875,-4.099875421,-0.39975,-1.29975,0.020177704,20.17770414
-0.699646,-0.699646,-0.005548264,-5.548264425,-0.699524,-0.899524,-0.00412049,-4.120490371,-0.398682,-1.298682,0.020476151,20.47615089
-0.700623,-0.700623,-0.005527703,-5.527703236,-0.700623,-0.900623,-0.004149946,-4.149945815,-0.397583,-1.297583,0.020567016,20.56701578
-0.701691,-0.701691,-0.005551689,-5.551689418,-0.701813,-0.901813,-0.004117547,-4.117546757,-0.396545,-1.296545,0.020722723,20.72272343
-0.702759,-0.702759,-0.005551689,-5.551689418,-0.70282,-0.90282,-0.004129321,-4.129321213,-0.395447,-1.295447,0.020592953,20.59295288
-0.703857,-0.703857,-0.005510567,-5.510567041,-0.703796,-0.903796,-0.004173504,-4.173504379,-0.394379,-1.294379,0.021008202,21.00820162
-0.704926,-0.704926,-0.005531128,-5.531128229,-0.704987,-0.904987,-0.004182345,-4.182344872,-0.393372,-1.293372,0.020943316,20.94331635
-0.705963,-0.705963,-0.005582526,-5.582525587,-0.705963,-0.905963,-0.004170561,-4.170560765,-0.392273,-1.292273,0.020995191,20.99519055
-0.707062,-0.707062,-0.005531128,-5.531128229,-0.707092,-0.907092,-0.004211791,-4.211790665,-0.391205,-1.291205,0.02102117,21.02117017
-0.708099,-0.708099,-0.005513992,-5.513992034,-0.708099,-0.908099,-0.004226518,-4.226518387,-0.390106,-1.290106,0.021332585,21.33258547
-0.709106,-0.709106,-0.005555114,-5.555114411,-0.709198,-0.909198,-0.004220631,-4.220631159,-0.389099,-1.289099,0.021384502,21.38450219
-0.710297,-0.710297,-0.005565389,-5.565389391,-0.710266,-0.910266,-0.004220631,-4.220631159,-0.38797,-1.28797,0.021319617,21.31961692
-0.711212,-0.711212,-0.005513992,-5.513992034,-0.711304,-0.911304,-0.004258917,-4.258917445,-0.386993,-1.286993,0.02151423,21.51423021
-0.712311,-0.712311,-0.005548264,-5.548264425,-0.712433,-0.912433,-0.004258917,-4.258917445,-0.385864,-1.285864,0.021644001,21.64400076
-0.713379,-0.713379,-0.005596237,-5.596236789,-0.71344,-0.91344,-0.004241246,-4.241246109,-0.384766,-1.284766,0.021566147,21.56614694
-0.714508,-0.714508,-0.005548264,-5.548264425,-0.714539,-0.914539,-0.004279532,-4.279532395,-0.383728,-1.283728,0.02166998,21.66998038
-0.715546,-0.715546,-0.005531128,-5.531128229,-0.715576,-0.915576,-0.004308988,-4.308987839,-0.38269,-1.28269,0.021877562,21.87756223
-0.716583,-0.716583,-0.005585962,-5.585961809,-0.716675,-0.916675,-0.004300157,-4.300156996,-0.381592,-1.281592,0.021734823,21.73482313
-0.717712,-0.717712,-0.005551689,-5.551689418,-0.717743,-0.917743,-0.004320772,-4.320771946,-0.380493,-1.280493,0.021747834,21.74783421
-0.71875,-0.71875,-0.005531128,-5.531128229,-0.71875,-0.91875,-0.004326659,-4.326659175,-0.379456,-1.279456,0.022059249,22.0592495
-0.719757,-0.719757,-0.005572251,-5.572250607,-0.719849,-0.919849,-0.004317828,-4.317828332,-0.378418,-1.278418,0.022137103,22.13710332
-0.720917,-0.720917,-0.005551689,-5.551689418,-0.720947,-0.920947,-0.004329603,-4.329602789,-0.37735,-1.27735,0.022253863,22.2538628
-0.721924,-0.721924,-0.005537978,-5.537978216,-0.722015,-0.922015,-0.004373786,-4.373785955,-0.376343,-1.276343,0.022176009,22.17600898
-0.722992,-0.722992,-0.005568826,-5.568825614,-0.723083,-0.923083,-0.00438557,-4.385570062,-0.375214,-1.275214,0.022253863,22.2538628
-0.72406,-0.72406,-0.005599662,-5.599661782,-0.724152,-0.924152,-0.004364955,-4.364955112,-0.374146,-1.274146,0.022240894,22.24089425
-0.72525,-0.72525,-0.005589387,-5.589386803,-0.72522,-0.92522,-0.004412072,-4.412072241,-0.373077,-1.273077,0.02218902,22.18902005
-0.726257,-0.726257,-0.005537978,-5.537978216,-0.726318,-0.926318,-0.004465086,-4.465086249,-0.372009,-1.272009,0.022448519,22.44851862
-0.727325,-0.727325,-0.005589387,-5.589386803,-0.727356,-0.927356,-0.004423856,-4.423856348,-0.370941,-1.270941,0.022344728,22.34472769
-0.728394,-0.728394,-0.005579101,-5.579100593,-0.728394,-0.928394,-0.00443564,-4.435640456,-0.369904,-1.269904,0.022176009,22.17600898
-0.729462,-0.729462,-0.005575676,-5.5756756,-0.729462,-0.929462,-0.004482767,-4.482767236,-0.368835,-1.268835,0.022331759,22.33175914
-0.730499,-0.730499,-0.005561964,-5.561964398,-0.73056,-0.93056,-0.004491598,-4.491598078,-0.367737,-1.267737,0.02243555,22.43555007
-0.731567,-0.731567,-0.005627084,-5.627084187,-0.731628,-0.931628,-0.004459199,-4.45919902,-0.366669,-1.266669,0.02216304,22.16304042
-0.732605,-0.732605,-0.005565389,-5.565389391,-0.732666,-0.932666,-0.004506326,-4.5063258,-0.365601,-1.265601,0.022214957,22.21495715
-0.733673,-0.733673,-0.005565389,-5.565389391,-0.733734,-0.933734,-0.004538725,-4.538724858,-0.364594,-1.264594,0.022357696,22.35769624
-0.734772,-0.734772,-0.005616798,-5.616797978,-0.734802,-0.934802,-0.004532838,-4.53283763,-0.363464,-1.263464,0.022292811,22.29281097
-0.73587,-0.73587,-0.005596237,-5.596236789,-0.735901,-0.935901,-0.00455934,-4.559339808,-0.362427,-1.262427,0.022098155,22.09815515
-0.736877,-0.736877,-0.005544828,-5.544828202,-0.736938,-0.936938,-0.004600579,-4.60057936,-0.361359,-1.261359,0.022085187,22.0851866
-0.738007,-0.738007,-0.005575676,-5.5756756,-0.738007,-0.938007,-0.004591739,-4.591738866,-0.36026,-1.26026,0.022253863,22.2538628
-0.739075,-0.739075,-0.005630509,-5.63050918,-0.739105,-0.939105,-0.004597626,-4.597626094,-0.359253,-1.259253,0.022007333,22.00733278
-0.740173,-0.740173,-0.005575676,-5.5756756,-0.740173,-0.940173,-0.00465065,-4.650649754,-0.358215,-1.258215,0.021942448,21.9424475
-0.741211,-0.741211,-0.005579101,-5.579100593,-0.741241,-0.941241,-0.004665368,-4.665367824,-0.357086,-1.257086,0.02203327,22.03326988
-0.74231,-0.74231,-0.005537978,-5.537978216,-0.74234,-0.94234,-0.004632978,-4.632978418,-0.356049,-1.256049,0.021903542,21.90354185
-0.743408,-0.743408,-0.005476295,-5.476294649,-0.743408,-0.943408,-0.004674208,-4.674208318,-0.354919,-1.254919,0.021747834,21.74783421
-0.744446,-0.744446,-0.00548657,-5.486569629,-0.744476,-0.944476,-0.004703664,-4.703663762,-0.353912,-1.253912,0.021825688,21.82568803
-0.745483,-0.745483,-0.005490006,-5.490005852,-0.745514,-0.945514,-0.004703664,-4.703663762,-0.352814,-1.252814,0.021838657,21.83865658
-0.746552,-0.746552,-0.005520842,-5.52084202,-0.746613,-0.946613,-0.004706607,-4.706607376,-0.351715,-1.251715,0.021475325,21.47532456
-0.74765,-0.74765,-0.005513992,-5.513992034,-0.747681,-0.947681,-0.004756678,-4.75667777,-0.350677,-1.250677,0.021527241,21.52724129
-0.748718,-0.748718,-0.005517417,-5.517417027,-0.74881,-0.94881,-0.004774349,-4.774349106,-0.349609,-1.249609,0.021605095,21.60509511
-0.749756,-0.749756,-0.005575676,-5.5756756,-0.749786,-0.949786,-0.004809692,-4.809691778,-0.348602,-1.248602,0.021423408,21.42340784
-0.750732,-0.750732,-0.005572251,-5.572250607,-0.751038,-0.951038,-0.00479202,-4.792020442,-0.347443,-1.247443,0.021384502,21.38450219
-0.751343,-0.751343,-0.005490006,-5.490005852,-0.752258,-0.952258,-0.004850931,-4.850931329,-0.346436,-1.246436,0.02151423,21.51423021
-0.752258,-0.752258,-0.005507131,-5.507130818,-0.752869,-0.952869,-0.004815579,-4.815579006,-0.345337,-1.245337,0.021384502,21.38450219
-0.753784,-0.753784,-0.005548264,-5.548264425,-0.754395,-0.954395,-0.004821476,-4.821475886,-0.344269,-1.244269,0.02113793,21.13792965
-0.755005,-0.755005,-0.005500281,-5.500280832,-0.75531,-0.95531,-0.004901002,-4.901001723,-0.343231,-1.243231,0.021215783,21.21578347
-0.756226,-0.756226,-0.005507131,-5.507130818,-0.756226,-0.956226,-0.004892161,-4.89216123,-0.342163,-1.242163,0.021215783,21.21578347
-0.756836,-0.756836,-0.005551689,-5.551689418,-0.757446,-0.957446,-0.004886274,-4.886274001,-0.341095,-1.241095,0.021111993,21.11199255
-0.758667,-0.758667,-0.005527703,-5.527703236,-0.758057,-0.958057,-0.004909833,-4.909832566,-0.339996,-1.239996,0.020878431,20.87843108
-0.759277,-0.759277,-0.005503706,-5.503705825,-0.758972,-0.958972,-0.004951062,-4.951062466,-0.338959,-1.238959,0.020943316,20.94331635
-0.760193,-0.760193,-0.005555114,-5.555114411,-0.760193,-0.960193,-0.004948119,-4.948118852,-0.33786,-1.23786,0.020930348,20.9303478
-0.761719,-0.761719,-0.005466008,-5.46600844,-0.761414,-0.961414,-0.004962847,-4.962846574,-0.336792,-1.236792,0.020657838,20.65783815
-0.762329,-0.762329,-0.005414611,-5.414611083,-0.762634,-0.962634,-0.005015861,-5.015860582,-0.335785,-1.235785,0.020748661,20.74866053
-0.76355,-0.76355,-0.00540775,-5.407749867,-0.763855,-0.963855,-0.005012917,-5.012916968,-0.334656,-1.234656,0.020735692,20.73569198
-0.764465,-0.764465,-0.005448872,-5.448872245,-0.76416,-0.96416,-0.005018814,-5.018813847,-0.333618,-1.233618,0.020476151,20.47615089
-0.765076,-0.765076,-0.005424886,-5.424886063,-0.765381,-0.965381,-0.005077715,-5.077715083,-0.332581,-1.232581,0.020554005,20.55400471
-0.766602,-0.766602,-0.005387189,-5.387188678,-0.766907,-0.966907,-0.005101274,-5.101273648,-0.331482,-1.231482,0.020579984,20.57998433
-0.767822,-0.767822,-0.005438597,-5.438597265,-0.768127,-0.968127,-0.00509833,-5.098330033,-0.330414,-1.230414,0.020541036,20.54103616
-0.768738,-0.768738,-0.005462583,-5.462583447,-0.769043,-0.969043,-0.005121898,-5.121898249,-0.329346,-1.229346,0.020320443,20.32044324
-0.770264,-0.770264,-0.005418036,-5.418036076,-0.770264,-0.970264,-0.005183743,-5.183743099,-0.328278,-1.228278,0.020307475,20.30747469
-0.770569,-0.770569,-0.005424886,-5.424886063,-0.770874,-0.970874,-0.005163128,-5.163128149,-0.327179,-1.227179,0.020333412,20.33341179
-0.7724,-0.7724,-0.005469445,-5.469444663,-0.77179,-0.97179,-0.005183743,-5.183743099,-0.326141,-1.226141,0.020112819,20.11281887
-0.773315,-0.773315,-0.005442022,-5.442022258,-0.77301,-0.97301,-0.005254438,-5.254438095,-0.325043,-1.225043,0.019996059,19.99605939
-0.773926,-0.773926,-0.00539405,-5.394049894,-0.774231,-0.974231,-0.005275053,-5.275053045,-0.324005,-1.224005,0.020009028,20.00902794
-0.774841,-0.774841,-0.005455733,-5.455733461,-0.775757,-0.975757,-0.005242654,-5.242653987,-0.322876,-1.222876,0.019970122,19.97012229
-0.776978,-0.776978,-0.005445447,-5.445447252,-0.776367,-0.976367,-0.005310396,-5.310395717,-0.321838,-1.221838,0.019840352,19.84035175
-0.777588,-0.777588,-0.005404325,-5.404324874,-0.776978,-0.976978,-0.005342795,-5.342794775,-0.320831,-1.220831,0.019957111,19.95711122
-0.778503,-0.778503,-0.005428311,-5.428311056,-0.778198,-0.978198,-0.005360466,-5.360466111,-0.319794,-1.219794,0.01985332,19.8533203
-0.779724,-0.779724,-0.005421461,-5.42146107,-0.779419,-0.979419,-0.005351626,-5.351625617,-0.318695,-1.218695,0.019580811,19.58081066
-0.78064,-0.78064,-0.005397475,-5.397474888,-0.78064,-0.98064,-0.005419367,-5.419367347,-0.317596,-1.217596,0.019554874,19.55487355
-0.78125,-0.78125,-0.005414611,-5.414611083,-0.782166,-0.982166,-0.005428208,-5.428207841,-0.316559,-1.216559,0.019775466,19.77546647
-0.782776,-0.782776,-0.005462583,-5.462583447,-0.782776,-0.982776,-0.005437039,-5.437038683,-0.31546,-1.21546,0.019502957,19.50295683
-0.783691,-0.783691,-0.005418036,-5.418036076,-0.784302,-0.984302,-0.005472391,-5.472391006,-0.314392,-1.214392,0.019360218,19.36021774
-0.784607,-0.784607,-0.005411186,-5.41118609,-0.784607,-0.984607,-0.005540133,-5.540132736,-0.313354,-1.213354,0.01947702,19.47701973
-0.786743,-0.786743,-0.005438597,-5.438597265,-0.786133,-0.986133,-0.005507734,-5.507733678,-0.312286,-1.212286,0.019464051,19.46405118
-0.786743,-0.786743,-0.005466008,-5.46600844,-0.786743,-0.986743,-0.005528349,-5.528348628,-0.311157,-1.211157,0.019217479,19.21747864
-0.788574,-0.788574,-0.005428311,-5.428311056,-0.787964,-0.987964,-0.00559609,-5.596090358,-0.31015,-1.21015,0.019269395,19.26939536
-0.78949,-0.78949,-0.005442022,-5.442022258,-0.789185,-0.989185,-0.00558725,-5.587249865,-0.309082,-1.209082,0.019217479,19.21747864
-0.79071,-0.79071,-0.005452308,-5.452308467,-0.789795,-0.989795,-0.005557804,-5.557804072,-0.307983,-1.207983,0.019087751,19.08775061
-0.791321,-0.791321,-0.005448872,-5.448872245,-0.791321,-0.991321,-0.005634377,-5.634376645,-0.306915,-1.206915,0.019009897,19.00989679
-0.792542,-0.792542,-0.005428311,-5.428311056,-0.792542,-0.992542,-0.005657945,-5.65794486,-0.305908,-1.205908,0.019087751,19.08775061
-0.793152,-0.793152,-0.005507131,-5.507130818,-0.793457,-0.993457,-0.005634377,-5.634376645,-0.304779,-1.204779,0.01895798,18.95798007
-0.794678,-0.794678,-0.005462583,-5.462583447,-0.794373,-0.994373,-0.005666776,-5.666775702,-0.303741,-1.203741,0.018789304,18.78930387
-0.795288,-0.795288,-0.005414611,-5.414611083,-0.795593,-0.995593,-0.00571979,-5.71978971,-0.302673,-1.202673,0.018841178,18.84117807
-0.796509,-0.796509,-0.005452308,-5.452308467,-0.796204,-0.996204,-0.005734517,-5.734517432,-0.301575,-1.201575,0.018854147,18.85414662
-0.797424,-0.797424,-0.005496856,-5.496855838,-0.798035,-0.998035,-0.005737461,-5.737461046,-0.300507,-1.200507,0.018581679,18.5816795
-0.798645,-0.798645,-0.005418036,-5.418036076,-0.798645,-0.998645,-0.005758086,-5.758085648,-0.299469,-1.199469,0.018620585,18.62058515
-0.799866,-0.799866,-0.005442022,-5.442022258,-0.799866,-0.999866,-0.005787531,-5.78753144,-0.298401,-1.198401,0.018633554,18.6335537
-0.800781,-0.800781,-0.005455733,-5.455733461,-0.801392,-1.001392,-0.005799316,-5.799315548,-0.297363,-1.197363,0.018581679,18.5816795
-0.802002,-0.802002,-0.005500281,-5.500280832,-0.801697,-1.001697,-0.005849386,-5.849385942,-0.296234,-1.196234,0.018348118,18.34811803
-0.802917,-0.802917,-0.005466008,-5.46600844,-0.802917,-1.002917,-0.005887672,-5.887672228,-0.295197,-1.195197,0.018412961,18.41296078
-0.804443,-0.804443,-0.005527703,-5.527703236,-0.803833,-1.003833,-0.005884729,-5.884728614,-0.294098,-1.194098,0.018399992,18.39999223
-0.805359,-0.805359,-0.005531128,-5.531128229,-0.805359,-1.005359,-0.005875898,-5.875897772,-0.29306,-1.19306,0.018192368,18.19236786
-0.806885,-0.806885,-0.005476295,-5.476294649,-0.806274,-1.006274,-0.005949527,-5.94952673,-0.291962,-1.191962,0.018205379,18.20537893
-0.807495,-0.807495,-0.005448872,-5.448872245,-0.807495,-1.007495,-0.005949527,-5.94952673,-0.290924,-1.190924,0.018257253,18.25725313
-0.808411,-0.808411,-0.005496856,-5.496855838,-0.808411,-1.008411,-0.005931855,-5.931855394,-0.289825,-1.189825,0.01806264,18.06263983
-0.809021,-0.809021,-0.005452308,-5.452308467,-0.809326,-1.009326,-0.005981926,-5.981925788,-0.288849,-1.188849,0.017932869,17.93286929
-0.810547,-0.810547,-0.005442022,-5.442022258,-0.810547,-1.010547,-0.006017268,-6.01726846,-0.287689,-1.187689,0.018088577,18.08857694
-0.811462,-0.811462,-0.005455733,-5.455733461,-0.812073,-1.012073,-0.006031996,-6.031996182,-0.286682,-1.186682,0.01803666,18.03666021
-0.812683,-0.812683,-0.005483145,-5.483144636,-0.813599,-1.013599,-0.006058508,-6.058508011,-0.285614,-1.185614,0.017829078,17.82907836
-0.813599,-0.813599,-0.005435172,-5.435172272,-0.813904,-1.013904,-0.006096794,-6.096794297,-0.284515,-1.184515,0.017816067,17.81606729
-0.815125,-0.815125,-0.005459158,-5.459158454,-0.81543,-1.01543,-0.006120353,-6.120352862,-0.283447,-1.183447,0.01779013,17.79013019
-0.815735,-0.815735,-0.005455733,-5.455733461,-0.815735,-1.015735,-0.006102682,-6.102681526,-0.28241,-1.18241,0.017712276,17.71227637
-0.81665,-0.81665,-0.005411186,-5.41118609,-0.816956,-1.016956,-0.006161592,-6.161592413,-0.281342,-1.181342,0.017517621,17.51762055
-0.817871,-0.817871,-0.005390625,-5.390624901,-0.818176,-1.018176,-0.00617632,-6.176320135,-0.280273,-1.180273,0.017647391,17.6473911
-0.818787,-0.818787,-0.005421461,-5.42146107,-0.819397,-1.019397,-0.006182207,-6.182207363,-0.279205,-1.179205,0.017465746,17.46574635
-0.820007,-0.820007,-0.005431747,-5.431747279,-0.820313,-1.020313,-0.006205766,-6.205765928,-0.278137,-1.178137,0.017387893,17.38789252
-0.821228,-0.821228,-0.005366627,-5.36662749,-0.821228,-1.021228,-0.00625879,-6.258789587,-0.2771,-1.1771,0.017387893,17.38789252
-0.822144,-0.822144,-0.0054009,-5.400899881,-0.822449,-1.022449,-0.006226391,-6.226390529,-0.276031,-1.176031,0.017452735,17.45273528
-0.823059,-0.823059,-0.005418036,-5.418036076,-0.823364,-1.023364,-0.006249949,-6.249949093,-0.274872,-1.174872,0.017232142,17.23214236
-0.824585,-0.824585,-0.005376914,-5.376913699,-0.824585,-1.024585,-0.006305907,-6.305906715,-0.273895,-1.173895,0.017206205,17.20620526
-0.826111,-0.826111,-0.005404325,-5.404324874,-0.825806,-1.025806,-0.006317691,-6.317690823,-0.272827,-1.172827,0.017297028,17.29702763
-0.826721,-0.826721,-0.005462583,-5.462583447,-0.826721,-1.026721,-0.006323578,-6.323578051,-0.271729,-1.171729,0.017115383,17.11538288
-0.827942,-0.827942,-0.005493431,-5.493430845,-0.827942,-1.027942,-0.006353033,-6.353033495,-0.27063,-1.17063,0.016998581,16.99858089
-0.828552,-0.828552,-0.005431747,-5.431747279,-0.829163,-1.029163,-0.006397217,-6.397216661,-0.269592,-1.169592,0.017024561,17.02456051
-0.829468,-0.829468,-0.005455733,-5.455733461,-0.830383,-1.030383,-0.006373648,-6.373648445,-0.268524,-1.168524,0.017011549,17.01154944
-0.830994,-0.830994,-0.005493431,-5.493430845,-0.830994,-1.030994,-0.006417832,-6.417831611,-0.267456,-1.167456,0.016907759,16.90775851
-0.831909,-0.831909,-0.00548657,-5.486569629,-0.831604,-1.031604,-0.006470846,-6.470845619,-0.266357,-1.166357,0.016803968,16.80396759
-0.83313,-0.83313,-0.005507131,-5.507130818,-0.83313,-1.03313,-0.006450231,-6.450230669,-0.26535,-1.16535,0.016790957,16.79095652
-0.834351,-0.834351,-0.005575676,-5.5756756,-0.834045,-1.034045,-0.006459062,-6.459061511,-0.264252,-1.164252,0.016777988,16.77798797
-0.835266,-0.835266,-0.005537978,-5.537978216,-0.835266,-1.035266,-0.006503245,-6.503244677,-0.263153,-1.163153,0.016570364,16.5703636
-0.836182,-0.836182,-0.005510567,-5.510567041,-0.836182,-1.036182,-0.006520916,-6.520916013,-0.262146,-1.162146,0.016661228,16.66122849
-0.837402,-0.837402,-0.005548264,-5.548264425,-0.837097,-1.037097,-0.006497357,-6.497357449,-0.261108,-1.161108,0.01662228,16.62228032
-0.838318,-0.838318,-0.005561964,-5.561964398,-0.838318,-1.038318,-0.006556259,-6.556258685,-0.259949,-1.159949,0.016388719,16.38871885
-0.839844,-0.839844,-0.005531128,-5.531128229,-0.839539,-1.039539,-0.006603385,-6.603385465,-0.258911,-1.158911,0.016453604,16.45360412
-0.840149,-0.840149,-0.005565389,-5.565389391,-0.840454,-1.040454,-0.006618113,-6.618113187,-0.257843,-1.157843,0.016414656,16.41465595
-0.841675,-0.841675,-0.005589387,-5.589386803,-0.841675,-1.041675,-0.006621057,-6.621056801,-0.256805,-1.156805,0.016271917,16.27191685
-0.843201,-0.843201,-0.005599662,-5.599661782,-0.84259,-1.04259,-0.006656399,-6.656399473,-0.255768,-1.155768,0.016194063,16.19406303
-0.843811,-0.843811,-0.005568826,-5.568825614,-0.843811,-1.043811,-0.00670647,-6.706469867,-0.254669,-1.154669,0.016233011,16.2330112
-0.844727,-0.844727,-0.005592812,-5.592811796,-0.844727,-1.044727,-0.006700583,-6.700582638,-0.253601,-1.153601,0.016207074,16.2070741
-0.845642,-0.845642,-0.005616798,-5.616797978,-0.845642,-1.045642,-0.006718254,-6.718253974,-0.252594,-1.152594,0.01599945,15.99944973
-0.846252,-0.846252,-0.005551689,-5.551689418,-0.847473,-1.047473,-0.006785996,-6.785995704,-0.251495,-1.151495,0.015947533,15.94753301
-0.847778,-0.847778,-0.005572251,-5.572250607,-0.848389,-1.048389,-0.006762437,-6.76243714,-0.250366,-1.150366,0.016051324,16.05132393
-0.848999,-0.848999,-0.005575676,-5.5756756,-0.849304,-1.049304,-0.006783052,-6.78305209,-0.249329,-1.149329,0.015856711,15.85671063
-0.849915,-0.849915,-0.005579101,-5.579100593,-0.85022,-1.05022,-0.006850794,-6.85079382,-0.248322,-1.148322,0.015791825,15.79182536
-0.851135,-0.851135,-0.005585962,-5.585961809,-0.85144,-1.05144,-0.006836066,-6.836066098,-0.247253,-1.147253,0.015739909,15.73990864
-0.852966,-0.852966,-0.005637359,-5.637359167,-0.852661,-1.052661,-0.006821338,-6.821338376,-0.246124,-1.146124,0.015765888,15.76588826
-0.853271,-0.853271,-0.005541403,-5.541403209,-0.853577,-1.053577,-0.006853737,-6.853737434,-0.245026,-1.145026,0.015519316,15.51931572
-0.854187,-0.854187,-0.005606523,-5.606522998,-0.854492,-1.054492,-0.006921479,-6.921479164,-0.243958,-1.143958,0.015558264,15.55826389
-0.855408,-0.855408,-0.005633934,-5.633934173,-0.855408,-1.055408,-0.006947991,-6.947990994,-0.24295,-1.14295,0.015636118,15.63611771
-0.856934,-0.856934,-0.005664782,-5.664781571,-0.856018,-1.056018,-0.006965662,-6.96566233,-0.241943,-1.141943,0.015389545,15.38954517
-0.857849,-0.857849,-0.005603087,-5.603086776,-0.857849,-1.057849,-0.006998061,-6.998061388,-0.240814,-1.140814,0.015415525,15.41552479
-0.85907,-0.85907,-0.005572251,-5.572250607,-0.858154,-1.058154,-0.007036348,-7.036347674,-0.239746,-1.139746,0.015402556,15.40255624
-0.85968,-0.85968,-0.005647645,-5.647645376,-0.859985,-1.059985,-0.00703046,-7.030460446,-0.238647,-1.138647,0.015298723,15.2987228
-0.860596,-0.860596,-0.00565107,-5.651070369,-0.860901,-1.060901,-0.007080531,-7.080530839,-0.23764,-1.13764,0.015194932,15.19493187
-0.862427,-0.862427,-0.005623648,-5.623647964,-0.861816,-1.061816,-0.007109977,-7.109976632,-0.236572,-1.136572,0.015143015,15.14301515
-0.863037,-0.863037,-0.005664782,-5.664781571,-0.863037,-1.063037,-0.007098202,-7.098202176,-0.235474,-1.135474,0.015220869,15.22086897
-0.863953,-0.863953,-0.005695618,-5.69561774,-0.864258,-1.064258,-0.007139432,-7.139432076,-0.234436,-1.134436,0.015026256,15.02625567
-0.864868,-0.864868,-0.005647645,-5.647645376,-0.865479,-1.065479,-0.007210117,-7.21011742,-0.233337,-1.133337,0.01496137,14.9613704
-0.866089,-0.866089,-0.005647645,-5.647645376,-0.866394,-1.066394,-0.00719539,-7.195389698,-0.2323,-1.1323,0.015052193,15.05219278
-0.86731,-0.86731,-0.005692193,-5.692192747,-0.866699,-1.066699,-0.007186559,-7.186558856,-0.231201,-1.131201,0.014883517,14.88351658
-0.86792,-0.86792,-0.005702479,-5.702478956,-0.86853,-1.06853,-0.007274916,-7.274915536,-0.230164,-1.130164,0.014740777,14.74077748
-0.869446,-0.869446,-0.005712754,-5.712753935,-0.869446,-1.069446,-0.007277859,-7.27785915,-0.229126,-1.129126,0.0148316,14.83159986
-0.870667,-0.870667,-0.005760726,-5.760726299,-0.870056,-1.070056,-0.007316155,-7.316155087,-0.228088,-1.128088,0.014766715,14.76671458
-0.871582,-0.871582,-0.005733315,-5.733315124,-0.871887,-1.071887,-0.007395671,-7.395671274,-0.226959,-1.126959,0.014546122,14.54612166
-0.872498,-0.872498,-0.005712754,-5.712753935,-0.872498,-1.072498,-0.007410399,-7.410398995,-0.225922,-1.125922,0.014572059,14.57205876
-0.873413,-0.873413,-0.005764163,-5.764162522,-0.873718,-1.073718,-0.007431014,-7.431013946,-0.224854,-1.124854,0.014662924,14.66292366
-0.874939,-0.874939,-0.005784724,-5.784723711,-0.874329,-1.074329,-0.007431014,-7.431013946,-0.223785,-1.123785,0.014520185,14.52018456
-0.875854,-0.875854,-0.005788149,-5.788148704,-0.875549,-1.075549,-0.00751938,-7.519380277,-0.222809,-1.122809,0.014455299,14.45529929
-0.876465,-0.876465,-0.005740165,-5.740165111,-0.87677,-1.07677,-0.007537052,-7.537051613,-0.221619,-1.121619,0.014455299,14.45529929
-0.87738,-0.87738,-0.005798424,-5.798423684,-0.878296,-1.078296,-0.007554723,-7.554722949,-0.22052,-1.12052,0.014403383,14.40338257
