Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
143.541329637593;-0.140533447265625;0;1;-0.035009765625;100 mA;
143.551329637568;-0.165496826171875;0.00999999997475243;2;-0.035003662109375;100 mA;
143.561329637542;-0.181884765625;0.0199999999495049;3;-0.0350067138671875;100 mA;
143.571329637517;-0.194122314453125;0.0299999999242573;4;-0.035009765625;100 mA;
143.581329637492;-0.203857421875;0.0399999998990097;5;-0.035009765625;100 mA;
143.591329637467;-0.211944580078125;0.0499999998737621;6;-0.035009765625;100 mA;
143.601329637441;-0.21893310546875;0.0599999998485146;7;-0.035009765625;100 mA;
143.611329637416;-0.225067138671875;0.069999999823267;8;-0.0350067138671875;100 mA;
143.621329637391;-0.230560302734375;0.0799999997980194;9;-0.0350067138671875;100 mA;
143.631329637366;-0.235565185546875;0.0899999997727718;10;-0.035009765625;100 mA;
143.641329637341;-0.240203857421875;0.0999999997475243;11;-0.035009765625;100 mA;
143.651329637315;-0.244537353515625;0.109999999722277;12;-0.0350067138671875;100 mA;
143.66132963729;-0.24859619140625;0.119999999697029;13;-0.0350128173828125;100 mA;
143.671329637265;-0.25244140625;0.129999999671782;14;-0.0350128173828125;100 mA;
143.68132963724;-0.256134033203125;0.139999999646534;15;-0.0350067138671875;100 mA;
143.691329637214;-0.2596435546875;0.149999999621286;16;-0.035009765625;100 mA;
143.701329637189;-0.263031005859375;0.159999999596039;17;-0.0350006103515625;100 mA;
143.711329637164;-0.26629638671875;0.169999999570791;18;-0.0350067138671875;100 mA;
143.721329637139;-0.26947021484375;0.179999999545544;19;-0.035003662109375;100 mA;
143.731329637113;-0.27252197265625;0.189999999520296;20;-0.0350128173828125;100 mA;
143.741329637088;-0.2755126953125;0.199999999495049;21;-0.0350067138671875;100 mA;
143.751329637063;-0.278411865234375;0.209999999469801;22;-0.0350128173828125;100 mA;
143.761329637038;-0.281219482421875;0.219999999444553;23;-0.0350067138671875;100 mA;
143.771329637012;-0.283966064453125;0.229999999419306;24;-0.035003662109375;100 mA;
143.781329636987;-0.286651611328125;0.239999999394058;25;-0.035003662109375;100 mA;
143.791329636962;-0.28924560546875;0.249999999368811;26;-0.035009765625;100 mA;
143.801329636937;-0.29180908203125;0.259999999343563;27;-0.035009765625;100 mA;
143.811329636911;-0.294281005859375;0.269999999318316;28;-0.0350006103515625;100 mA;
143.821329636886;-0.296722412109375;0.279999999293068;29;-0.035009765625;100 mA;
143.831329636861;-0.299072265625;0.28999999926782;30;-0.035009765625;100 mA;
143.841329636836;-0.3013916015625;0.299999999242573;31;-0.035009765625;100 mA;
143.85132963681;-0.303680419921875;0.309999999217325;32;-0.0350128173828125;100 mA;
143.861329636785;-0.305877685546875;0.319999999192078;33;-0.035009765625;100 mA;
143.87132963676;-0.30804443359375;0.32999999916683;34;-0.035009765625;100 mA;
143.881329636735;-0.3101806640625;0.339999999141583;35;-0.035009765625;100 mA;
143.891329636709;-0.312255859375;0.349999999116335;36;-0.035003662109375;100 mA;
143.901329636684;-0.3143310546875;0.359999999091087;37;-0.035009765625;100 mA;
143.911329636659;-0.316314697265625;0.36999999906584;38;-0.0350006103515625;100 mA;
143.921329636634;-0.31829833984375;0.379999999040592;39;-0.035003662109375;100 mA;
143.931329636608;-0.320220947265625;0.389999999015345;40;-0.035003662109375;100 mA;
143.941329636583;-0.322113037109375;0.399999998990097;41;-0.035009765625;100 mA;
143.951329636558;-0.324005126953125;0.40999999896485;42;-0.035009765625;100 mA;
143.961329636533;-0.325836181640625;0.419999998939602;43;-0.0350067138671875;100 mA;
143.971329636507;-0.32763671875;0.429999998914354;44;-0.0350067138671875;100 mA;
143.981329636482;-0.32940673828125;0.439999998889107;45;-0.035003662109375;100 mA;
143.991329636457;-0.331146240234375;0.449999998863859;46;-0.0350128173828125;100 mA;
144.001329636432;-0.3328857421875;0.459999998838612;47;-0.035003662109375;100 mA;
144.011329636406;-0.334564208984375;0.469999998813364;48;-0.035009765625;100 mA;
144.021329636381;-0.33624267578125;0.479999998788116;49;-0.035003662109375;100 mA;
144.031329636356;-0.337890625;0.489999998762869;50;-0.0350128173828125;100 mA;
144.041329636331;-0.339508056640625;0.499999998737621;51;-0.035009765625;100 mA;
144.051329636305;-0.34112548828125;0.509999998712374;52;-0.0350067138671875;100 mA;
144.06132963628;-0.34271240234375;0.519999998687126;53;-0.035009765625;100 mA;
144.071329636255;-0.344268798828125;0.529999998661879;54;-0.035003662109375;100 mA;
144.08132963623;-0.3458251953125;0.539999998636631;55;-0.035003662109375;100 mA;
144.091329636204;-0.34735107421875;0.549999998611383;56;-0.035003662109375;100 mA;
144.101329636179;-0.348846435546875;0.559999998586136;57;-0.0350067138671875;100 mA;
144.111329636154;-0.350341796875;0.569999998560888;58;-0.0350006103515625;100 mA;
144.121329636129;-0.351806640625;0.579999998535641;59;-0.0350067138671875;100 mA;
144.131329636103;-0.353271484375;0.589999998510393;60;-0.0350067138671875;100 mA;
144.141329636078;-0.354736328125;0.599999998485146;61;-0.035003662109375;100 mA;
144.151329636053;-0.356170654296875;0.609999998459898;62;-0.0350067138671875;100 mA;
144.161329636028;-0.357574462890625;0.61999999843465;63;-0.0350067138671875;100 mA;
144.171329636002;-0.358978271484375;0.629999998409403;64;-0.035009765625;100 mA;
144.181329635977;-0.3603515625;0.639999998384155;65;-0.035003662109375;100 mA;
144.191329635952;-0.361724853515625;0.649999998358908;66;-0.0350067138671875;100 mA;
144.201329635927;-0.36309814453125;0.65999999833366;67;-0.0350128173828125;100 mA;
144.211329635901;-0.36444091796875;0.669999998308413;68;-0.0350067138671875;100 mA;
144.221329635876;-0.365814208984375;0.679999998283165;69;-0.0350067138671875;100 mA;
144.231329635851;-0.36712646484375;0.689999998257917;70;-0.0350067138671875;100 mA;
144.241329635826;-0.368438720703125;0.69999999823267;71;-0.0350067138671875;100 mA;
144.2513296358;-0.3697509765625;0.709999998207422;72;-0.0350067138671875;100 mA;
144.261329635775;-0.371063232421875;0.719999998182175;73;-0.0350067138671875;100 mA;
144.27132963575;-0.372344970703125;0.729999998156927;74;-0.0350067138671875;100 mA;
144.281329635725;-0.373626708984375;0.73999999813168;75;-0.035003662109375;100 mA;
144.291329635699;-0.374908447265625;0.749999998106432;76;-0.0350006103515625;100 mA;
144.301329635674;-0.376190185546875;0.759999998081184;77;-0.0350006103515625;100 mA;
144.311329635649;-0.377410888671875;0.769999998055937;78;-0.035003662109375;100 mA;
144.321329635624;-0.378692626953125;0.779999998030689;79;-0.03499755859375;100 mA;
144.331329635598;-0.379913330078125;0.789999998005442;80;-0.035003662109375;100 mA;
144.341329635573;-0.38116455078125;0.799999997980194;81;-0.0350067138671875;100 mA;
144.351329635548;-0.38238525390625;0.809999997954947;82;-0.0350067138671875;100 mA;
144.361329635523;-0.38360595703125;0.819999997929699;83;-0.0350006103515625;100 mA;
144.371329635497;-0.38482666015625;0.829999997904451;84;-0.035003662109375;100 mA;
144.381329635472;-0.386016845703125;0.839999997879204;85;-0.0350067138671875;100 mA;
144.391329635447;-0.38720703125;0.849999997853956;86;-0.0350067138671875;100 mA;
144.401329635422;-0.388427734375;0.859999997828709;87;-0.0350067138671875;100 mA;
