Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
326.267513176254;-0.478363037109375;0;1;-0.309478759765625;1 A;
326.26881317625;-0.53167724609375;0.00129999999671782;2;-0.3096923828125;1 A;
326.270113176247;-0.562896728515625;0.00259999999343563;3;-0.309844970703125;1 A;
326.271413176244;-0.584259033203125;0.00389999999015345;4;-0.309844970703125;1 A;
326.272713176241;-0.60150146484375;0.00519999998687126;5;-0.309844970703125;1 A;
326.274013176237;-0.6162109375;0.00649999998358908;6;-0.309844970703125;1 A;
326.275313176234;-0.628509521484375;0.00779999998030689;7;-0.309814453125;1 A;
326.276613176231;-0.639312744140625;0.00909999997702471;8;-0.30987548828125;1 A;
326.277913176227;-0.64996337890625;0.0103999999737425;9;-0.309906005859375;1 A;
326.279213176224;-0.660675048828125;0.0116999999704603;10;-0.309844970703125;1 A;
326.280513176221;-0.67120361328125;0.0129999999671782;11;-0.309844970703125;1 A;
326.281813176218;-0.681610107421875;0.014299999963896;12;-0.309906005859375;1 A;
326.283113176214;-0.692047119140625;0.0155999999606138;13;-0.3099365234375;1 A;
326.284413176211;-0.702392578125;0.0168999999573316;14;-0.309906005859375;1 A;
326.285713176208;-0.71246337890625;0.0181999999540494;15;-0.30987548828125;1 A;
326.287013176204;-0.722198486328125;0.0194999999507672;16;-0.309844970703125;1 A;
326.288313176201;-0.73138427734375;0.020799999947485;17;-0.30987548828125;1 A;
326.289613176198;-0.73992919921875;0.0220999999442029;18;-0.30987548828125;1 A;
326.290913176195;-0.747589111328125;0.0233999999409207;19;-0.3099365234375;1 A;
326.292213176191;-0.75439453125;0.0246999999376385;20;-0.309844970703125;1 A;
326.293513176188;-0.7598876953125;0.0259999999343563;21;-0.30987548828125;1 A;
326.294813176185;-0.7647705078125;0.0272999999310741;22;-0.309967041015625;1 A;
326.296113176182;-0.76751708984375;0.0285999999277919;23;-0.309967041015625;1 A;
326.297413176178;-0.76751708984375;0.0298999999245098;24;-0.309906005859375;1 A;
326.298713176175;-0.7659912109375;0.0311999999212276;25;-0.30999755859375;1 A;
