Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
82.470910791781;-0.16864013671875;0;1;-0.0179901123046875;100 mA
82.4809107917557;-0.17852783203125;0.00999999997475243;2;-0.0179901123046875;100 mA
82.4909107917305;-0.185699462890625;0.0199999999495049;3;-0.0179901123046875;100 mA
82.5009107917052;-0.191314697265625;0.0299999999242573;4;-0.017999267578125;100 mA
82.51091079168;-0.196014404296875;0.0399999998990097;5;-0.0179931640625;100 mA
82.5209107916547;-0.2000732421875;0.0499999998737621;6;-0.0179962158203125;100 mA
82.5309107916295;-0.203582763671875;0.0599999998485146;7;-0.0179931640625;100 mA
82.5409107916042;-0.206787109375;0.069999999823267;8;-0.0179962158203125;100 mA
82.550910791579;-0.209686279296875;0.0799999997980194;9;-0.0179931640625;100 mA
82.5609107915537;-0.21234130859375;0.0899999997727718;10;-0.017999267578125;100 mA
82.5709107915285;-0.21478271484375;0.0999999997475243;11;-0.0179962158203125;100 mA
82.5809107915032;-0.217071533203125;0.109999999722277;12;-0.0179962158203125;100 mA
82.590910791478;-0.219207763671875;0.119999999697029;13;-0.0179962158203125;100 mA
82.6009107914527;-0.22119140625;0.129999999671782;14;-0.0179901123046875;100 mA
82.6109107914275;-0.22308349609375;0.139999999646534;15;-0.0179931640625;100 mA
82.6209107914023;-0.224884033203125;0.149999999621286;16;-0.017987060546875;100 mA
82.630910791377;-0.226593017578125;0.159999999596039;17;-0.0179901123046875;100 mA
82.6409107913518;-0.228240966796875;0.169999999570791;18;-0.0179962158203125;100 mA
82.6509107913265;-0.22979736328125;0.179999999545544;19;-0.0179901123046875;100 mA
82.6609107913013;-0.231292724609375;0.189999999520296;20;-0.0179931640625;100 mA
82.670910791276;-0.232757568359375;0.199999999495049;21;-0.017999267578125;100 mA
82.6809107912508;-0.234100341796875;0.209999999469801;22;-0.0179901123046875;100 mA
82.6909107912255;-0.235443115234375;0.219999999444553;23;-0.0179901123046875;100 mA
82.7009107912003;-0.236724853515625;0.229999999419306;24;-0.0179962158203125;100 mA
82.710910791175;-0.238006591796875;0.239999999394058;25;-0.017999267578125;100 mA
82.7209107911498;-0.239227294921875;0.249999999368811;26;-0.017987060546875;100 mA
82.7309107911245;-0.2403564453125;0.259999999343563;27;-0.0179962158203125;100 mA
82.7409107910993;-0.241546630859375;0.269999999318316;28;-0.0179931640625;100 mA
82.750910791074;-0.242645263671875;0.279999999293068;29;-0.0179962158203125;100 mA
82.7609107910488;-0.24371337890625;0.28999999926782;30;-0.0179931640625;100 mA
82.7709107910235;-0.244781494140625;0.299999999242573;31;-0.0179962158203125;100 mA
82.7809107909983;-0.24578857421875;0.309999999217325;32;-0.017999267578125;100 mA
82.790910790973;-0.246795654296875;0.319999999192078;33;-0.0179962158203125;100 mA
82.8009107909478;-0.247772216796875;0.32999999916683;34;-0.0179901123046875;100 mA
82.8109107909225;-0.248748779296875;0.339999999141583;35;-0.0179962158203125;100 mA
82.8209107908973;-0.249664306640625;0.349999999116335;36;-0.0179931640625;100 mA
82.8309107908721;-0.250579833984375;0.359999999091087;37;-0.0179931640625;100 mA
82.8409107908468;-0.251495361328125;0.36999999906584;38;-0.0179931640625;100 mA
82.8509107908216;-0.252349853515625;0.379999999040592;39;-0.0179962158203125;100 mA
82.8609107907963;-0.253204345703125;0.389999999015345;40;-0.0179931640625;100 mA
82.8709107907711;-0.254058837890625;0.399999998990097;41;-0.0179931640625;100 mA
