Time (s);WE(1).Potential (V);WE(1).Current (A);Corrected time (s);Index;Current range
66.4474518322363;0.299835205078125;0.0009185791015625;0;1;100 mA
66.4574518322111;0.2999267578125;0.00118896484375;0.00999999997475243;2;100 mA
66.4674518321858;0.299896240234375;0.00131683349609375;0.0199999999495049;3;100 mA
66.4774518321606;0.29986572265625;0.001383056640625;0.0299999999242573;4;100 mA
66.4874518321353;0.29986572265625;0.00147674560546875;0.0399999998990097;5;100 mA
66.4974518321101;0.29986572265625;0.00152191162109375;0.0499999998737621;6;100 mA
66.5074518320848;0.2999267578125;0.00154632568359375;0.0599999998485146;7;100 mA
66.5174518320596;0.29986572265625;0.00157928466796875;0.069999999823267;8;100 mA
66.5274518320343;0.299835205078125;0.0015948486328125;0.0799999997980194;9;100 mA
66.5374518320091;0.299835205078125;0.00162689208984375;0.0899999997727718;10;100 mA
66.5474518319838;0.299896240234375;0.00163330078125;0.0999999997475243;11;100 mA
66.5574518319586;0.2998046875;0.00163726806640625;0.109999999722277;12;100 mA
66.5674518319333;0.29986572265625;0.00163482666015625;0.119999999697029;13;100 mA
66.5774518319081;0.299835205078125;0.0016510009765625;0.129999999671782;14;100 mA
66.5874518318828;0.29986572265625;0.00167877197265625;0.139999999646534;15;100 mA
66.5974518318576;0.299896240234375;0.00166534423828125;0.149999999621286;16;100 mA
66.6074518318323;0.299835205078125;0.00167755126953125;0.159999999596039;17;100 mA
66.6174518318071;0.2998046875;0.00169097900390625;0.169999999570791;18;100 mA
66.6274518317819;0.29986572265625;0.0016998291015625;0.179999999545544;19;100 mA
66.6374518317566;0.2998046875;0.0017254638671875;0.189999999520296;20;100 mA
66.6474518317314;0.29986572265625;0.0017120361328125;0.199999999495049;21;100 mA
66.6574518317061;0.29986572265625;0.00170867919921875;0.209999999469801;22;100 mA
66.6674518316809;0.299957275390625;0.00171600341796875;0.219999999444553;23;100 mA
66.6774518316556;0.29986572265625;0.0017462158203125;0.229999999419306;24;100 mA
66.6874518316304;0.299896240234375;0.0017437744140625;0.239999999394058;25;100 mA
66.6974518316051;0.299896240234375;0.00173675537109375;0.249999999368811;26;100 mA
66.7074518315799;0.299835205078125;0.0017401123046875;0.259999999343563;27;100 mA
66.7174518315546;0.2998046875;0.001732177734375;0.269999999318316;28;100 mA
66.7274518315294;0.29986572265625;0.00176361083984375;0.279999999293068;29;100 mA
66.7374518315041;0.299835205078125;0.0017584228515625;0.28999999926782;30;100 mA
66.7474518314789;0.299835205078125;0.0017437744140625;0.299999999242573;31;100 mA
66.7574518314536;0.299835205078125;0.00174560546875;0.309999999217325;32;100 mA
66.7674518314284;0.29986572265625;0.00174163818359375;0.319999999192078;33;100 mA
66.7774518314031;0.29986572265625;0.0017572021484375;0.32999999916683;34;100 mA
66.7874518313779;0.29986572265625;0.0017523193359375;0.339999999141583;35;100 mA
66.7974518313526;0.299896240234375;0.00173675537109375;0.349999999116335;36;100 mA
66.8074518313274;0.299835205078125;0.00173187255859375;0.359999999091087;37;100 mA
66.8174518313022;0.299835205078125;0.00173828125;0.36999999906584;38;100 mA
66.8274518312769;0.29986572265625;0.00174652099609375;0.379999999040592;39;100 mA
66.8374518312517;0.2998046875;0.001729736328125;0.389999999015345;40;100 mA
66.8474518312264;0.29986572265625;0.00173309326171875;0.399999998990097;41;100 mA
66.8574518312012;0.299835205078125;0.00174652099609375;0.40999999896485;42;100 mA
66.8674518311759;0.299896240234375;0.00174407958984375;0.419999998939602;43;100 mA
66.8774518311507;0.29986572265625;0.00176361083984375;0.429999998914354;44;100 mA
66.8874518311254;0.29986572265625;0.00174468994140625;0.439999998889107;45;100 mA
66.8974518311002;0.299957275390625;0.001727294921875;0.449999998863859;46;100 mA
66.9074518310749;0.29986572265625;0.00173370361328125;0.459999998838612;47;100 mA
66.9174518310497;0.29986572265625;0.00175140380859375;0.469999998813364;48;100 mA
66.9274518310244;0.299835205078125;0.001741943359375;0.479999998788116;49;100 mA
66.9374518309992;0.299896240234375;0.0017352294921875;0.489999998762869;50;100 mA
66.9474518309739;0.2998046875;0.0017376708984375;0.499999998737621;51;100 mA
66.9574518309487;0.29986572265625;0.00173858642578125;0.509999998712374;52;100 mA
66.9674518309234;0.299896240234375;0.00177886962890625;0.519999998687126;53;100 mA
66.9774518308982;0.29986572265625;0.00176910400390625;0.529999998661879;54;100 mA
66.9874518308729;0.29986572265625;0.0017535400390625;0.539999998636631;55;100 mA
66.9974518308477;0.299835205078125;0.00175262451171875;0.549999998611383;56;100 mA
