Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range
2;1469;23.6719189402341;-0.087677001953125;-0.00433959960937499;1 A
2;1470;23.6841189402033;-0.090087890625;-0.0044525146484375;1 A
2;1471;23.6963189401725;-0.09259033203125;-0.00458679199218751;1 A
2;1472;23.7085189401417;-0.094970703125;-0.00470886230468751;1 A
2;1473;23.7207189401109;-0.097412109375;-0.0048187255859375;1 A
2;1474;23.7329189400801;-0.09979248046875;-0.00494384765625;1 A
2;1475;23.7451189400493;-0.102294921875;-0.005084228515625;1 A
2;1476;23.7573189400185;-0.104736328125;-0.005218505859375;1 A
2;1477;23.7695189399877;-0.107177734375;-0.00534667968749999;1 A
2;1478;23.7817189399569;-0.109619140625;-0.00549926757812499;1 A
2;1479;23.7939189399261;-0.112060546875;-0.0056488037109375;1 A
2;1480;23.8061189398953;-0.114501953125;-0.0057861328125;1 A
2;1481;23.8183189398645;-0.116973876953125;-0.00592956542968751;1 A
2;1482;23.8305189398337;-0.119354248046875;-0.00609741210937501;1 A
2;1483;23.8427189398029;-0.12176513671875;-0.00627746582031249;1 A
2;1484;23.8549189397721;-0.124237060546875;-0.00641784667968751;1 A
2;1485;23.8671189397413;-0.126708984375;-0.0065887451171875;1 A
2;1486;23.8793189397105;-0.129180908203125;-0.00677490234375;1 A
2;1487;23.8915189396797;-0.131561279296875;-0.0069549560546875;1 A
2;1488;23.9037189396489;-0.134002685546875;-0.00711669921874999;1 A
2;1489;23.9159189396181;-0.13641357421875;-0.0072967529296875;1 A
2;1490;23.9281189395873;-0.13885498046875;-0.00749816894531249;1 A
2;1491;23.9403189395565;-0.1412353515625;-0.0076873779296875;1 A
2;1492;23.9525189395257;-0.14373779296875;-0.0078857421875;1 A
2;1493;23.9647189394949;-0.146209716796875;-0.008099365234375;1 A
2;1494;23.9769189394641;-0.148590087890625;-0.00830993652343751;1 A
2;1495;23.9891189394333;-0.151092529296875;-0.00849304199218751;1 A
2;1496;24.0013189394025;-0.15350341796875;-0.00870666503906251;1 A
2;1497;24.0135189393717;-0.15594482421875;-0.0089569091796875;1 A
2;1498;24.0257189393409;-0.158355712890625;-0.00917663574218749;1 A
2;1499;24.0379189393101;-0.160858154296875;-0.009381103515625;1 A
2;1500;24.0501189392793;-0.163238525390625;-0.0096160888671875;1 A
2;1501;24.0623189392485;-0.165679931640625;-0.0098724365234375;1 A
2;1502;24.0745189392177;-0.168182373046875;-0.0101226806640625;1 A
2;1503;24.0867189391869;-0.1705322265625;-0.0103515625;1 A
2;1504;24.0989189391561;-0.17303466796875;-0.010614013671875;1 A
2;1505;24.1111189391253;-0.175445556640625;-0.010882568359375;1 A
2;1506;24.1233189390945;-0.1778564453125;-0.0111175537109375;1 A
2;1507;24.1355189390637;-0.180267333984375;-0.011395263671875;1 A
2;1508;24.1477189390329;-0.182769775390625;-0.011669921875;1 A
2;1509;24.1599189390021;-0.1851806640625;-0.0119720458984375;1 A
2;1510;24.1721189389713;-0.187652587890625;-0.012213134765625;1 A
2;1511;24.1843189389405;-0.19012451171875;-0.0125152587890625;1 A
2;1512;24.1965189389097;-0.192596435546875;-0.0128448486328125;1 A
2;1513;24.2087189388789;-0.1949462890625;-0.013134765625;1 A
2;1514;24.2209189388481;-0.1973876953125;-0.01339111328125;1 A
2;1515;24.2331189388173;-0.199798583984375;-0.0137054443359375;1 A
2;1516;24.2453189387865;-0.202301025390625;-0.01402587890625;1 A
2;1517;24.2575189387557;-0.204742431640625;-0.0143585205078125;1 A
2;1518;24.2697189387248;-0.207122802734375;-0.0146636962890625;1 A
2;1519;24.281918938694;-0.209625244140625;-0.0150115966796875;1 A
2;1520;24.2941189386632;-0.2120361328125;-0.0153411865234375;1 A
2;1521;24.3063189386324;-0.2144775390625;-0.0156707763671875;1 A
2;1522;24.3185189386016;-0.2169189453125;-0.0160003662109375;1 A
2;1523;24.3307189385708;-0.2193603515625;-0.016375732421875;1 A
2;1524;24.34291893854;-0.2218017578125;-0.016748046875;1 A
2;1525;24.3551189385092;-0.224212646484375;-0.017071533203125;1 A
2;1526;24.3673189384784;-0.226715087890625;-0.0174407958984375;1 A
2;1527;24.3795189384476;-0.2291259765625;-0.01785888671875;1 A
2;1528;24.3917189384168;-0.231536865234375;-0.0182281494140625;1 A
2;1529;24.403918938386;-0.23394775390625;-0.018585205078125;1 A
2;1530;24.4161189383552;-0.236419677734375;-0.0189697265625;1 A
2;1531;24.4283189383244;-0.23883056640625;-0.019403076171875;1 A
2;1532;24.4405189382936;-0.241302490234375;-0.019805908203125;1 A
2;1533;24.4527189382628;-0.24365234375;-0.0202056884765625;1 A
2;1534;24.464918938232;-0.246124267578125;-0.0206329345703125;1 A
2;1535;24.4771189382012;-0.248626708984375;-0.02109375;1 A
2;1536;24.4893189381704;-0.2510986328125;-0.021466064453125;1 A
2;1537;24.5015189381396;-0.253509521484375;-0.0218963623046875;1 A
2;1538;24.5137189381088;-0.255859375;-0.0224151611328125;1 A
2;1539;24.525918938078;-0.25836181640625;-0.0229034423828125;1 A
2;1540;24.5381189380472;-0.26080322265625;-0.0233062744140625;1 A
2;1541;24.5503189380164;-0.263214111328125;-0.0237640380859375;1 A
2;1542;24.5625189379856;-0.26568603515625;-0.0242828369140625;1 A
2;1543;24.5747189379548;-0.26812744140625;-0.024761962890625;1 A
2;1544;24.586918937924;-0.270538330078125;-0.0251983642578125;1 A
2;1545;24.5991189378932;-0.272979736328125;-0.02567138671875;1 A
2;1546;24.6113189378624;-0.27545166015625;-0.0261993408203125;1 A
2;1547;24.6235189378316;-0.27783203125;-0.0266265869140625;1 A
2;1548;24.6357189378008;-0.2802734375;-0.027099609375;1 A
2;1549;24.64791893777;-0.28271484375;-0.02757568359375;1 A
2;1550;24.6601189377392;-0.28509521484375;-0.0280609130859375;1 A
2;1551;24.6723189377084;-0.28765869140625;-0.0284576416015625;1 A
