Time (s);WE(1).Potential (V);WE(1).Current (A);Corrected time (s);Index;Current range;Overload
220.035667444463;0.686614990234375;2.06268310546875;0;1;1 A;Current overload
220.045667444438;0.7503662109375;1.3641357421875;0.00999999997475243;2;1 A;
220.055667444413;0.75;1.02020263671875;0.0199999999495049;3;1 A;
220.065667444388;0.7498779296875;0.78643798828125;0.0299999999242573;4;1 A;
220.075667444362;0.749786376953125;0.6365966796875;0.0399999998990097;5;1 A;
220.085667444337;0.749664306640625;0.54779052734375;0.0499999998737621;6;1 A;
220.095667444312;0.74957275390625;0.49774169921875;0.0599999998485146;7;1 A;
220.105667444287;0.74951171875;0.4639892578125;0.069999999823267;8;1 A;
220.115667444261;0.749542236328125;0.43731689453125;0.0799999997980194;9;1 A;
220.125667444236;0.749542236328125;0.415374755859375;0.0899999997727718;10;1 A;
220.135667444211;0.74957275390625;0.396881103515625;0.0999999997475243;11;1 A;
220.145667444186;0.749542236328125;0.381011962890625;0.109999999722277;12;1 A;
220.15566744416;0.74957275390625;0.367218017578125;0.119999999697029;13;1 A;
220.165667444135;0.74957275390625;0.355072021484375;0.129999999671782;14;1 A;
220.17566744411;0.749542236328125;0.34429931640625;0.139999999646534;15;1 A;
220.185667444085;0.74957275390625;0.334686279296875;0.149999999621286;16;1 A;
220.195667444059;0.749603271484375;0.326019287109375;0.159999999596039;17;1 A;
220.205667444034;0.749481201171875;0.318206787109375;0.169999999570791;18;1 A;
220.215667444009;0.749542236328125;0.31109619140625;0.179999999545544;19;1 A;
220.225667443984;0.749542236328125;0.304595947265625;0.189999999520296;20;1 A;
220.235667443958;0.74957275390625;0.29864501953125;0.199999999495049;21;1 A;
220.245667443933;0.749542236328125;0.293182373046875;0.209999999469801;22;1 A;
220.255667443908;0.74957275390625;0.288116455078125;0.219999999444553;23;1 A;
220.265667443883;0.749481201171875;0.283447265625;0.229999999419306;24;1 A;
220.275667443857;0.74951171875;0.27911376953125;0.239999999394058;25;1 A;
220.285667443832;0.749542236328125;0.27508544921875;0.249999999368811;26;1 A;
220.295667443807;0.749542236328125;0.27130126953125;0.259999999343563;27;1 A;
220.305667443782;0.749542236328125;0.267791748046875;0.269999999318316;28;1 A;
220.315667443756;0.749542236328125;0.2645263671875;0.279999999293068;29;1 A;
220.325667443731;0.74957275390625;0.26141357421875;0.28999999926782;30;1 A;
220.335667443706;0.74945068359375;0.258514404296875;0.299999999242573;31;1 A;
220.345667443681;0.749542236328125;0.255767822265625;0.309999999217325;32;1 A;
220.355667443655;0.749481201171875;0.253204345703125;0.319999999192078;33;1 A;
220.36566744363;0.749542236328125;0.250732421875;0.32999999916683;34;1 A;
220.375667443605;0.749542236328125;0.2484130859375;0.339999999141583;35;1 A;
220.38566744358;0.74957275390625;0.246185302734375;0.349999999116335;36;1 A;
