Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range
1;1378;18.0772769543593;0.1368408203125;-0.000317382812500003;1 A
1;1379;18.0854069543387;0.134368896484375;-0.000314331054687506;1 A
1;1380;18.0935369543182;0.13189697265625;-0.000317382812500003;1 A
1;1381;18.1016669542977;0.1295166015625;-0.0003204345703125;1 A
1;1382;18.1097969542772;0.127044677734375;-0.000326538085937494;1 A
1;1383;18.1179269542566;0.1246337890625;-0.000329589843750006;1 A
1;1384;18.1260569542361;0.122161865234375;-0.000338745117187497;1 A
1;1385;18.1341869542156;0.11968994140625;-0.000338745117187497;1 A
1;1386;18.1423169541951;0.11724853515625;-0.0003509521484375;1 A
1;1387;18.1504469541745;0.11480712890625;-0.0003509521484375;1 A
1;1388;18.158576954154;0.1124267578125;-0.000360107421875006;1 A
1;1389;18.1667069541335;0.1099853515625;-0.000363159179687503;1 A
1;1390;18.1748369541129;0.107513427734375;-0.0003814697265625;1 A
1;1391;18.1829669540924;0.1051025390625;-0.0003814697265625;1 A
1;1392;18.1910969540719;0.1026611328125;-0.000390625000000006;1 A
1;1393;18.1992269540514;0.1002197265625;-0.000393676757812503;1 A
2;1394;18.2073569540308;0.097747802734375;-0.000408935546875003;1 A
2;1395;18.2154869540103;0.0953369140625;-0.0004119873046875;1 A
2;1396;18.2236169539898;0.0928955078125;-0.000424194335937503;1 A
2;1397;18.2317469539693;0.0904541015625;-0.000424194335937503;1 A
2;1398;18.2398769539487;0.0880126953125;-0.000436401367187506;1 A
2;1399;18.2480069539282;0.085540771484375;-0.000439453125000003;1 A
2;1400;18.2561369539077;0.083099365234375;-0.000445556640624997;1 A
2;1401;18.2642669538872;0.080718994140625;-0.000457763671875;1 A
2;1402;18.2723969538666;0.0782470703125;-0.0004730224609375;1 A
2;1403;18.2805269538461;0.075775146484375;-0.000476074218749997;1 A
2;1404;18.2886569538256;0.073455810546875;-0.000485229492187503;1 A
2;1405;18.2967869538051;0.070953369140625;-0.00048828125;1 A
2;1406;18.3049169537845;0.068572998046875;-0.0005035400390625;1 A
2;1407;18.313046953764;0.0660400390625;-0.000509643554687494;1 A
2;1408;18.3211769537435;0.06365966796875;-0.000531005859375003;1 A
2;1409;18.3293069537229;0.061187744140625;-0.000531005859375003;1 A
2;1410;18.3374369537024;0.058807373046875;-0.000546264648437503;1 A
2;1411;18.3455669536819;0.05633544921875;-0.000558471679687506;1 A
2;1412;18.3536969536614;0.05389404296875;-0.000567626953124997;1 A
2;1413;18.3618269536408;0.051422119140625;-0.000585937499999994;1 A
2;1414;18.3699569536203;0.0490386962890625;-0.000585937499999994;1 A
2;1415;18.3780869535998;0.04659423828125;-0.000604248046875006;1 A
