Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range
2;1615;19.7270829501939;-0.44232177734375;-0.056610107421875;1 A
2;1616;19.7352129501734;-0.444732666015625;-0.056610107421875;1 A
2;1617;19.7433429501529;-0.4471435546875;-0.05645751953125;1 A
2;1618;19.7514729501323;-0.449554443359375;-0.05645751953125;1 A
2;1619;19.7596029501118;-0.452117919921875;-0.056304931640625;1 A
2;1620;19.7677329500913;-0.454498291015625;-0.056243896484375;1 A
2;1621;19.7758629500707;-0.456939697265625;-0.056121826171875;1 A
2;1622;19.7839929500502;-0.459381103515625;-0.0560302734375;1 A
2;1623;19.7921229500297;-0.4617919921875;-0.055877685546875;1 A
2;1624;19.8002529500092;-0.4642333984375;-0.055816650390625;1 A
2;1625;19.8083829499886;-0.466644287109375;-0.0556640625;1 A
2;1626;19.8165129499681;-0.46917724609375;-0.055572509765625;1 A
2;1627;19.8246429499476;-0.4715576171875;-0.055419921875;1 A
2;1628;19.8327729499271;-0.474029541015625;-0.0552978515625;1 A
2;1629;19.8409029499065;-0.47650146484375;-0.05511474609375;1 A
2;1630;19.849032949886;-0.4788818359375;-0.055023193359375;1 A
2;1631;19.8571629498655;-0.481353759765625;-0.0548095703125;1 A
2;1632;19.865292949845;-0.483734130859375;-0.054718017578125;1 A
2;1633;19.8734229498244;-0.4862060546875;-0.054534912109375;1 A
2;1634;19.8815529498039;-0.488616943359375;-0.054412841796875;1 A
2;1635;19.8896829497834;-0.4910888671875;-0.054168701171875;1 A
2;1636;19.8978129497629;-0.49346923828125;-0.054046630859375;1 A
2;1637;19.9059429497423;-0.49591064453125;-0.0538330078125;1 A
2;1638;19.9140729497218;-0.498382568359375;-0.0537109375;1 A
2;1639;19.9222029497013;-0.500823974609375;-0.053466796875;1 A
2;1640;19.9303329496807;-0.503265380859375;-0.053314208984375;1 A
2;1641;19.9384629496602;-0.50567626953125;-0.0531005859375;1 A
2;1642;19.9465929496397;-0.508148193359375;-0.05291748046875;1 A
2;1643;19.9547229496192;-0.51055908203125;-0.052734375;1 A
2;1644;19.9628529495986;-0.51300048828125;-0.05255126953125;1 A
2;1645;19.9709829495781;-0.515472412109375;-0.052337646484375;1 A
2;1646;19.9791129495576;-0.517852783203125;-0.052154541015625;1 A
2;1647;19.9872429495371;-0.52032470703125;-0.05194091796875;1 A
2;1648;19.9953729495165;-0.522796630859375;-0.051727294921875;1 A
2;1649;20.003502949496;-0.525238037109375;-0.051513671875;1 A
2;1650;20.0116329494755;-0.527679443359375;-0.05133056640625;1 A
2;1651;20.019762949455;-0.53009033203125;-0.051116943359375;1 A
2;1652;20.0278929494344;-0.532501220703125;-0.050872802734375;1 A
2;1653;20.0360229494139;-0.53497314453125;-0.050689697265625;1 A
2;1654;20.0441529493934;-0.53741455078125;-0.0504150390625;1 A
2;1655;20.0522829493729;-0.53985595703125;-0.050262451171875;1 A
2;1656;20.0604129493523;-0.542266845703125;-0.04998779296875;1 A
2;1657;20.0685429493318;-0.544708251953125;-0.0498046875;1 A
2;1658;20.0766729493113;-0.547149658203125;-0.0495513916015625;1 A
2;1659;20.0848029492907;-0.549560546875;-0.04937744140625;1 A
2;1660;20.0929329492702;-0.552093505859375;-0.0491363525390625;1 A
2;1661;20.1010629492497;-0.554443359375;-0.0489349365234375;1 A
2;1662;20.1091929492292;-0.556884765625;-0.0487152099609375;1 A
2;1663;20.1173229492086;-0.559326171875;-0.0485260009765625;1 A
2;1664;20.1254529491881;-0.561767578125;-0.048297119140625;1 A
2;1665;20.1335829491676;-0.564239501953125;-0.0480987548828125;1 A
2;1666;20.1417129491471;-0.566680908203125;-0.047869873046875;1 A
2;1667;20.1498429491265;-0.569061279296875;-0.047686767578125;1 A
2;1668;20.157972949106;-0.571502685546875;-0.04747314453125;1 A
2;1669;20.1661029490855;-0.574005126953125;-0.047283935546875;1 A
2;1670;20.174232949065;-0.576416015625;-0.047052001953125;1 A
2;1671;20.1823629490444;-0.578826904296875;-0.0468780517578125;1 A
2;1672;20.1904929490239;-0.581268310546875;-0.0466461181640625;1 A
2;1673;20.1986229490034;-0.583740234375;-0.0464569091796875;1 A
2;1674;20.2067529489829;-0.58612060546875;-0.0462371826171875;1 A
2;1675;20.2148829489623;-0.58856201171875;-0.046063232421875;1 A
2;1676;20.2230129489418;-0.591033935546875;-0.0458526611328125;1 A
2;1677;20.2311429489213;-0.593475341796875;-0.0456756591796875;1 A
2;1678;20.2392729489007;-0.59588623046875;-0.0454559326171875;1 A
2;1679;20.2474029488802;-0.59832763671875;-0.0452911376953125;1 A
2;1680;20.2555329488597;-0.60076904296875;-0.0450836181640625;1 A
2;1681;20.2636629488392;-0.603118896484375;-0.0449066162109375;1 A
2;1682;20.2717929488186;-0.60565185546875;-0.044708251953125;1 A
2;1683;20.2799229487981;-0.608154296875;-0.044537353515625;1 A
2;1684;20.2880529487776;-0.61053466796875;-0.0443328857421875;1 A
2;1685;20.2961829487571;-0.61297607421875;-0.044171142578125;1 A
2;1686;20.3043129487365;-0.615447998046875;-0.0439849853515625;1 A
2;1687;20.312442948716;-0.6177978515625;-0.0438018798828125;1 A
2;1688;20.3205729486955;-0.62030029296875;-0.0436279296875;1 A
2;1689;20.328702948675;-0.622650146484375;-0.0434478759765625;1 A
2;1690;20.3368329486544;-0.625091552734375;-0.04327392578125;1 A
2;1691;20.3449629486339;-0.627532958984375;-0.0430877685546875;1 A
2;1692;20.3530929486134;-0.62994384765625;-0.042926025390625;1 A
2;1693;20.3612229485929;-0.632415771484375;-0.042730712890625;1 A
2;1694;20.3693529485723;-0.6348876953125;-0.042596435546875;1 A
2;1695;20.3774829485518;-0.6373291015625;-0.042401123046875;1 A
2;1696;20.3856129485313;-0.639739990234375;-0.0422607421875;1 A
2;1697;20.3937429485107;-0.6422119140625;-0.042071533203125;1 A
2;1698;20.4018729484902;-0.6446533203125;-0.041943359375;1 A
2;1699;20.4100029484697;-0.647064208984375;-0.0417694091796875;1 A
2;1700;20.4181329484492;-0.649444580078125;-0.041632080078125;1 A
